Melanesia_or_not	Smallest_Island_group	COUNTRY NAME	SBZR_group
Not_Melanesia	Tobi	PALAU	Tobi
Not_Melanesia	Mapia	INDONESIA	Mapia
Melanesia	Vanua Levu	FIJI	Fiji
Melanesia	Taveuni	FIJI	Fiji
Not_Melanesia	Rapa Nui	CHILE	Rapa Nui
Melanesia	Yasawa (greater)	FIJI	Fiji
Melanesia	Lomaviti	FIJI	Fiji
Melanesia	Viti Levu	FIJI	Fiji
Melanesia	Lau	FIJI	Fiji
Melanesia	Leveuka (Lomaviti)	FIJI	Fiji
Melanesia	Vatulele	FIJI	Fiji
Melanesia	Kadavu	FIJI	Fiji
Not_Melanesia	Ulithi	FEDERATED STATES OF MICRONESIA	Ulithi + Yap
Not_Melanesia	Yap	FEDERATED STATES OF MICRONESIA	Ulithi + Yap
Not_Melanesia	Wolei	FEDERATED STATES OF MICRONESIA	Woleai
Not_Melanesia	Namonuito	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Paafang	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Nguluwan	FEDERATED STATES OF MICRONESIA	Nguluwan
Not_Melanesia	Oroluk	FEDERATED STATES OF MICRONESIA	Oroluk
Not_Melanesia	Sorol	FEDERATED STATES OF MICRONESIA	Sorol
Not_Melanesia		FEDERATED STATES OF MICRONESIA	
Not_Melanesia	Satawal (Woleai speaking)	FEDERATED STATES OF MICRONESIA	Woleai
Not_Melanesia	Chuuk	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Pollap	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Puluwat	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Satawal	FEDERATED STATES OF MICRONESIA	Woleai
Not_Melanesia		FEDERATED STATES OF MICRONESIA	Pohnpei
Not_Melanesia	Pohnpei	FEDERATED STATES OF MICRONESIA	Pohnpei
Not_Melanesia	Oroluk	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Mwoakilloa	FEDERATED STATES OF MICRONESIA	Pohnpei
Not_Melanesia	Pingelap	FEDERATED STATES OF MICRONESIA	Pohnpei
Not_Melanesia	Mortlock	FEDERATED STATES OF MICRONESIA	Chuuk
Not_Melanesia	Ngatik	FEDERATED STATES OF MICRONESIA	Ngatik
Not_Melanesia	Kosrae	FEDERATED STATES OF MICRONESIA	Kosrae
Not_Melanesia (polynesian outlier)	Nukuoro	FEDERATED STATES OF MICRONESIA	Nukuoro
Not_Melanesia (polynesian outlier)	Kapingamarangi	FEDERATED STATES OF MICRONESIA	Kapingamarangi
Not_Melanesia	Australia	AUSTRALIA	
Not_Melanesia	Uvea (Wallis)	Wallis and Futuna (FRANCE)	Uvea (Wallis)
Not_Melanesia	East Futuna	Wallis and Futuna (FRANCE)	East Futuna
Not_Melanesia	Tokelau	TOKELAU (NEW ZEALAND)	Tokelau
Not_Melanesia	Niuafoou	TONGA	Niuafoou + Niuatoputapu
Not_Melanesia	Niuatoputapu	TONGA	Niuafoou + Niuatoputapu
Not_Melanesia	Tonga	TONGA	Tonga
Not_Melanesia		TONGA	Tonga
Not_Melanesia	Sāmoa	SAMOA	Sāmoa
Not_Melanesia		Pitcairn Islands (UK)	
Not_Melanesia		Pacific Is Refuges (US)	
Not_Melanesia	Niue	Niue (NEW ZEALAND)	Niue
Not_Melanesia		NEW ZEALAND	
Not_Melanesia	Rēkohou	NEW ZEALAND	Rēkohou
Not_Melanesia		KIRIBATI	
Not_Melanesia	Te Henua ‘Enana	French Polynesia (FRANCE)	Te Henua ‘Enana + Te Fenua ’Enata
Not_Melanesia	Te Fenua ’Enata	French Polynesia (FRANCE)	Te Henua ‘Enana + Te Fenua ’Enata
Not_Melanesia	Napuka	French Polynesia (FRANCE)	Napuka
Not_Melanesia	Tuamotu	French Polynesia (FRANCE)	Tuamotu + Puka-puka
Not_Melanesia	Puka-puka	French Polynesia (FRANCE)	Tuamotu + Puka-puka
Not_Melanesia	Raro Matai	French Polynesia (FRANCE)	Raro Matai + Nia Matai
Not_Melanesia	Nia Matai	French Polynesia (FRANCE)	Raro Matai + Nia Matai
Not_Melanesia	Tatakoto	French Polynesia (FRANCE)	Tatakoto + Reao
Not_Melanesia	Reao	French Polynesia (FRANCE)	Tatakoto + Reao
Not_Melanesia	Hereheretue	French Polynesia (FRANCE)	Hereheretue
Not_Melanesia	Nukutaveke	French Polynesia (FRANCE)	Nukutaveke 61
Not_Melanesia	Marutea	French Polynesia (FRANCE)	Marutea
Not_Melanesia	Tureia	French Polynesia (FRANCE)	Tureia
Not_Melanesia	Nukutaveke	French Polynesia (FRANCE)	Nukutaveke 59
Not_Melanesia	Rimatara	French Polynesia (FRANCE)	Rimatara
Not_Melanesia	Rurutu	French Polynesia (FRANCE)	Rurutu
Not_Melanesia	Mangareva	French Polynesia (FRANCE)	Mangareva
Not_Melanesia	Morane	French Polynesia (FRANCE)	Morane
Not_Melanesia	Tupuai	French Polynesia (FRANCE)	Tupuai
Not_Melanesia	Raivavae	French Polynesia (FRANCE)	Raivavae
Not_Melanesia	Rapa Iti	French Polynesia (FRANCE)	Rapa Iti
Not_Melanesia	Māngarongaro	Cook Islands (NEW ZEALAND)	Māngarongaro
Not_Melanesia	Rakahanga-Manihiki	Cook Islands (NEW ZEALAND)	Rakahanga-Manihiki
Not_Melanesia	Pukapuka	Cook Islands (NEW ZEALAND)	Pukapuka
Not_Melanesia		Cook Islands (NEW ZEALAND)	
Not_Melanesia	Ngā Pū Toru	Cook Islands (NEW ZEALAND)	Ngā Pū Toru
Not_Melanesia	Rarotonga	Cook Islands (NEW ZEALAND)	Rarotonga
Not_Melanesia	Mangaia	Cook Islands (NEW ZEALAND)	Mangaia
Not_Melanesia	Sāmoa	American Samoa (US)	
Not_Melanesia	Sāmoa	American Samoa (US)	Sāmoa
Not_Melanesia		UNITED STATES	
Not_Melanesia	Hawaii	UNITED STATES	Hawaii
Melanesia		FIJI	
Melanesia	Indonesia (Non Remote Oceania)	INDONESIA	
Not_Melanesia	Anen-Kio	Pacific Is Refuges (US)	
Melanesia	Hiu	VANUATU	Vanuatu + Temotu
Melanesia	Loh-Toga	VANUATU	Vanuatu + Temotu
Melanesia		VANUATU	
Melanesia	Tegua	VANUATU	Vanuatu + Temotu
Melanesia	Ureparapara	VANUATU	Vanuatu + Temotu
Melanesia	Mota Lava	VANUATU	Vanuatu + Temotu
Melanesia	Vanua Lava	VANUATU	Vanuatu + Temotu
Melanesia	Mota	VANUATU	Vanuatu + Temotu
Melanesia	Gaua	VANUATU	Vanuatu + Temotu
Melanesia	Merelava group	VANUATU	Vanuatu + Temotu
Melanesia	Santo	VANUATU	Vanuatu + Temotu
Melanesia	Maewo	VANUATU	Vanuatu + Temotu
Melanesia	Ambae	VANUATU	Vanuatu + Temotu
Melanesia	Mafea	VANUATU	Vanuatu + Temotu
Melanesia	Pentecost	VANUATU	Vanuatu + Temotu
Melanesia	Aore	VANUATU	Vanuatu + Temotu
