SBZR_group	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Anewetak	3	20.392806125	1	162.8581127822	11.535464243944118	162.28492452597058	8	2000	#60B58B	1	32766	32766	27.00064479603487	57.351794972139245	1970.474666819853	51.80989904964672	7.986057033247062	11.535464243944118
Aotearoa	2	232102960.02850765	1	14264725.893379398	-41.516599112092145	171.57282891400524	3	750	#543BA8	1	171.72252647122002	225.9383910554945	12.6333302890923	276.1852444655026	1353.4415226209883	11.275318330097491	0.06145861255551139	41.516599112092145
Banaba	2	16.0269889456	1	23.0022572888	-0.8866763086	169.539648867	8	2150	#6DF232	1	32766	32766	27.21941375732422	16.455835342407227	1288.4412841796875	26.914831161499023	1.4352201381604477	0.8866763086
Bellona + Rennelle	2	5022.8519289921	1	1604.1475296630001	-11.46928766715	160.022644755	11	3100	#ECD57B	1	1.1783499375	1.1322666333333333	26.903383255004883	79.81468200683594	2766.85400390625	28.91575813293457	0.3193698624488206	11.46928766715
Chuuk	2	9331.2881352089	1	26454.666412111503	7.098845699356279	152.13331377093	9	2300	#7A3D38	6	5173.975372360526	6553.553904995	27.370622714215088	18.256611174690438	3284.4897294102125	22.039255516341335	2.8350497839941857	7.098845699356279
East Futuna	2	855.2524194342	1	667.5884115561	-14.29562847575	-178.1099469575	9	2300	#AFDFE6	1	6554.30989996	8192.466874975	26.66718482971191	87.08333587646484	2533.394287109375	26.359764099121097	0.7805747126652377	14.29562847575
Fiji	3	1894503.273970879	1.3090586145648313	517886.9340693009	-17.49562236569131	58.20225201759654	11	3130	#B4C67E	8	1021.7879055838006	1355.026300392562	25.425344301775173	146.75039427508432	1922.3319244426114	40.49961139951944	0.2733629132156683	17.49562236569131
Hawaii	4	1010491.854032406	1	104191.52844774601	21.154258249202897	-157.33585988869567	4	950	#E7BBE5	1	2521.156420497436	4681.434114271428	23.936608051908188	118.04370968583702	988.1239570949388	19.75984437914862	0.10310971635443252	21.154258249202897
Hereheretue	2	93.40793651519999	1	496.259124714	-19.86379129296	-144.95120680920002	4	1100	#DB3D7D	1	6553.29186	8191.5441625	24.856489181518555	140.0803985595703	1900.4124755859375	23.17574119567871	5.312815411924288	19.86379129296
Kanaky	3	10613696.834459048	27	1619801.6753855664	-21.472194689878688	165.64875393211315	11	3050	#A573DD	34	1095.8889184987147	1439.9454847844595	23.404031809120458	225.5690954891678	1175.0999530838346	56.432491790804896	0.1526142776310158	21.472194689878688
Kapingamarangi	1	4.2097136208	1	49.3481682696	1.0691647252722223	154.7920500706111	4	1000	#E4D341	1	32766	32766	27.446208953857425	10.088061332702637	2091.227294921875	24.850982666015625	11.722452573916904	1.0691647252722223
Kosrae	3	1826.83196744	1	999.6938663743999	5.3303290596	163.00780424533332	8	2100	#F050B1	1	3641.244299988889	4681.403628557143	27.368519465128585	12.529414176940918	3525.9243977864585	24.029882431030273	0.5472281436892655	5.3303290596
Laguas_yan_gani	1	34387.652041743	1.15	16801.8207076988	15.234901130186929	145.1235199042225	12	3500	#639C9C	3	2234.6106795363635	2731.0511999916666	26.763612697465078	81.5277951322283	1802.4183212716239	56.67972246715001	0.4886004047994656	15.234901130186929
Luangiua + Nukumanu	1	49.870539003000005	1	310.4614143118	-4.9304991656630435	159.44733369907607	2	500	#6978DE	2	32766	32766	27.509594419728153	24.95820252791695	3145.4801980723505	20.352074788964313	6.225347079026435	4.9304991656630435
Mangaia	2	361.0995851393	1	204.7432242275	-21.9128317851	-157.925155666	4	960	#6FE9C0	1	1.705899925	1.7705	23.587480545043945	180.8047790527344	1448.5081787109375	31.59469223022461	0.5669993338500153	21.9128317851
Mangareva	2	804.8130777624999	1	3122.0180817524997	-23.141204395423078	-134.928802381	4	920	#9F96E2	1	4681.686164271428	5958.295663609091	23.268709109379696	175.59753711407	1839.483647273137	13.33449726838332	3.8791840838771834	23.141204395423078
Mangarongaro	2	29.819451292	1	223.2828267336	-9.033042457566667	-157.97036915446665	2	550	#E684D7	1	32766	32766	27.22708320617676	23.355909029642746	2572.372762044271	31.93851629892985	7.487824794197423	9.033042457566667
Mapia	NA	0	1	0	0.896674	134.304599	2	500	#C2798A	1	32766	32766	27.574583053588867	11.396363258361816	2123.16845703125	13.87479019165039	NA	0.896674
Marquesas	1	60970.7664100186	1	34399.734260057296	-9.208264774551553	-139.65005822519709	4	950	#F199A4	2	2185.3794616383334	2850.1781239	26.57349778477065	49.06353159130252	1798.3805694300447	78.33400682187876	0.5642004568012908	9.208264774551553
Marutea	2	495.61587897000004	1	3045.1604193139997	-21.519669634167442	-136.06296721769766	4	1100	#9FE5CE	1	8936.309627272727	10922.023422222223	24.11062768448231	153.86912430164426	1877.415402434593	12.895019553428472	6.144194624358121	21.519669634167442
Morane	2	3.9426304488	1	46.1963805936	-23.150653437214284	-137.11822409714284	4	1100	#DE75F2	1	32765	32765	23.232088088989254	180.15646362304688	1814.68896484375	14.559645652770996	11.717147014795813	23.150653437214284
Napuka	2	168.7237204806	1	706.9789571598	-14.162864349671429	-141.26945372742858	4	1100	#69D5E4	1	6553.65654	8191.8582624875	26.57788848876953	70.52010345458984	1940.623291015625	32.066497802734375	4.1901574665732255	14.162864349671429
Nauru	NA	158.71591445849998	1	127.64600773119999	-0.5196901836	166.930007871	8	2150	#EED1E4	1	0.717225	0.7159333333333333	27.30586624145508	15.498370170593262	1421.695556640625	24.185972213745117	0.8042420205100229	0.5196901836
Nga Pu Toru	2	2123.4225614425	1	3175.388383035	-19.1341440181	-159.31371679404762	4	900	#EAB7AA	1	4682.203792828572	5958.733309036364	24.961372557140532	140.73449198404947	1710.2473551432292	33.76245335170201	1.495410494686404	19.1341440181
Ngatik	3	4.5052739530000006	1	27.081973343	5.841294425571428	157.31158955128572	7	1900	#B8F094	1	32766	32766	27.39365005493164	13.315789222717283	3567.3876953125	24.35904884338379	6.011171268501105	5.841294425571428
Nguluwan	NA	2.2936474752000002	1	28.7662401698	8.401374545953846	137.48920702769232	9	2400	#BCBDEC	1	32766	32766	27.389738963200497	21.395051369300255	3078.0142916165864	18.013138110821064	12.541700710695158	8.401374545953846
Niu + Tuvalu	2	238.04892125299997	1	1257.9188796066	-8.1020301823678	178.4350678721446	8	2150	#DAF175	2	32765.25	32765.25	27.45702596633665	21.930988027203462	3733.6671939972903	12.503561042970228	5.284287250643222	8.1020301823678
Niuafoou + Niuatoputapu	NA	566.0213991355	1	477.7135116667	-15.780792435579688	-174.56925449457813	9	2300	#9D8F7A	2	3641.6151888555555	4681.733385714286	26.218218445777893	108.31163454055785	2243.500946044922	32.540146589279175	0.8439848959709384	15.780792435579688
Niue	2	1864.770291181	1	478.22787083400004	-19.052013841	-169.862192027	8	2000	#79809D	1	1.56367495	1.6396666666666666	24.77157211303711	156.13824462890625	1635.032470703125	37.08647918701172	0.2564540378488805	19.052013841
Nukuoro	1	4.6988437772	1	52.591309124	3.8649320282333335	154.97630608171428	2	500	#DC7049	1	32766	32766	27.424253463745117	6.950807889302571	3075.9183175223216	29.705277851649697	11.192393622275032	3.8649320282333335
Nukuria	NA	172.917634005	1	1038.4238852235	-3.2471857113000002	154.60997897316668	2	500	#E175AA	1	9361.47047142857	8191.3328125	27.43462610244751	28.32453966140747	2724.2689208984375	22.71807336807251	6.005309355513583	3.2471857113000002
Nukutaveke_59	2	1028.4773549814001	1	6320.9280845466	-21.607709282373683	-138.82440158271052	4	1100	#EBE9EF	1	6553.28848	8191.4725	24.07054951316432	158.50866137052836	1865.6346499794408	14.975228560598271	6.145908856360686	21.607709282373683
Nukutaveke_61	2	1028.4773549814001	1	6320.9280845466	-21.607709282373683	-138.82440158271052	4	1100	#7068ED	1	6553.28848	8191.4725	24.07054951316432	158.50866137052836	1865.6346499794408	14.975228560598271	6.145908856360686	21.607709282373683
Oroluk	NA	297.52120647419997	1	332.5200650232	7.3544120446444445	154.38391317377778	9	2300	#6086D3	1	32765	32765	27.356582782886647	20.098807864718967	3249.194317853009	21.63820471587005	1.1176348367356967	7.3544120446444445
Palau	2	16125.365409783999	1	10282.445941276	7.397721877304762	134.52803603295237	11	3100	#A55CEA	1	1425.1839652130434	1927.9620588235293	27.426529838925315	18.103815442039853	3193.789597284226	20.85574722290039	0.6376566161432329	7.397721877304762
Pohnpei	3	15505.048038845398	1	9588.7718553272	6.833756113522681	158.39499139632971	7	1900	#7BACE3	3	3932.259168	4681.118671428571	27.368181145709492	17.841334463202433	3419.580157205333	21.71894088413405	0.618429032357983	6.833756113522681
Pukapuka	2	52.171160806799996	1	193.4734193987	-11.04875837752	-165.7607258592	3	750	#D8F434	1	10922.0373	8191.7371	27.28642578125	33.19308319091797	2867.576318359375	20.702892303466797	3.7084361629439275	11.04875837752
Raivavae	2	255.1287359842	1	765.9564631095	-23.873739717363637	-147.62983869818183	3	670	#C290E5	1	14043.076328542857	16383.36921665	22.712799072265625	201.05323791503903	1531.6812744140625	25.41375732421875	3.002235166315939	23.873739717363637
Rakahanga-Manihiki	2	35.5354181894	1	137.4380023892	-10.39652929615	-161.0094220913	2	550	#D8ECB8	1	32766	32766	27.285639762878414	28.07112693786621	2701.6436767578125	24.044196128845215	3.867634303799946	10.39652929615
Rapa Iti	NA	694.1178215296	1	1102.8206637104	-27.67569397223077	-144.1381741986154	4	850	#ED3AE6	1	3641.3967555444447	4681.509428542857	20.581056741567757	233.09999319223255	1409.716299203726	25.86645801250751	1.5888090314122143	27.67569397223077
Rapa Nui	2	1185.9541474549999	1	514.3365686746	-27.1194612948	-109.35894608	3	750	#6E8B35	1	0.97439995	0.8671	20.963329315185547	174.8053436279297	1050.572509765625	48.58991622924805	0.43369009651708823	27.1194612948
Raro Matai + Nia Matai	3	188855.71435216352	1	108917.732087747	-16.86129133815778	-151.15361443715767	4	960	#CBA5B7	1	2657.5818878283785	3449.889342091228	25.977359656375754	102.7882165213337	2066.547449604415	28.57045503380879	0.5767245776034378	16.86129133815778
Rarotonga	2	1139.2570103584	1	636.7749048735999	-21.23886277065	-159.74882014783333	4	900	#DDEFDA	1	3641.7579666555557	4681.9034857	23.82175636291504	174.879638671875	1452.107421875	32.912071228027344	0.5589387636713126	21.23886277065
Ratak + Ralik	3	11378.0405335967	1	84270.2159448428	8.399347824359905	169.8846848952936	8	2000	#E762D6	1	3932.15926	5173.806494736842	27.19283993420811	32.51860973722124	2807.9407159852803	34.04419659727328	7.406390906765757	8.399347824359905
Rekohou	2	43248.755426624	1	17009.0703910468	-44.13660205145	-176.27489921469999	2	450	#4AB6DD	1	1311.61356398	1725.457047363158	12.660635248819988	239.10127665201824	1083.6268513997395	16.94582029978434	0.39328462110093443	44.13660205145
Rimatara	2	13.996562922899999	1	94.238217846	-21.810277456725	-154.70905715825	3	670	#70EB7D	1	6553.60422	8191.820375	23.639610290527344	180.515380859375	1509.385009765625	30.12053108215332	6.732954252062508	21.810277456725
Rotuma	3	193.3789819628	1	227.0477369912	-12.486555054085715	177.03193449657144	5	1300	#D5C8BC	1	16383	16383	27.062312262398855	64.06516865321568	2916.028424944197	18.660390036446707	1.1741076237275714	12.486555054085715
Rurutu	2	692.9662027616	1	651.3512515791999	-22.596920319166667	-152.317964386	3	670	#B9D2EB	1	3642.1285444111113	4682.339885671428	23.249017079671223	190.1643218994141	1497.19580078125	27.95839500427246	0.9399466366230319	22.596920319166667
Samoa	3	314338.7716161468	1	66954.7136205108	-14.093097805342857	-171.06638438589286	10	2800	#9A6EA3	1	1131.0606551551725	1490.5982817909091	26.71945959946205	76.04652681021855	2527.126852101293	25.3300289285594	0.2130017664581072	14.093097805342857
Sikaiana	NA	7.1359638536	1	29.6994455132	-8.373108312875	162.86978314325	2	500	#5EE8A0	1	32766	32766	27.348987579345703	35.757469177246094	3499.7099609375	16.9277286529541	4.161938894662004	8.373108312875
Sonsorol	NA	4.1131236894	1	18.1417935302	4.83895433915	132.26824050599998	3	600	#A82CA8	1	32766	32766	27.50423812866211	12.66972017288208	2801.033935546875	25.27578067779541	4.410709451056267	4.83895433915
Sorol	2	2.9868170774	1	29.9836640188	8.14785202899091	140.38291410163637	8	2000	#F2A1D7	1	32766	32766	27.386457443237305	20.512943267822266	3061.47607421875	18.581886291503903	10.038667665882148	8.14785202899091
Takuu	NA	3.4643994816	1	29.7616561824	-4.743856257877778	157.02116322877777	2	500	#ED9836	1	32766	32766	27.487055672539604	25.79984410603841	3169.3337673611113	21.51039759318034	8.590711417799561	4.743856257877778
Tatakoto + Reao	2	1273.8755834498	1	5331.9885340142	-17.706148932900476	-137.83386980775714	4	1100	#E4B2F4	1	2520.873666666667	3276.8628066666665	25.684452556428454	103.85804930187409	1961.4829944428943	24.39009966169085	4.185643090492848	17.706148932900476
Tobi	NA	5.95	1	0	3.007434	131.12438	2	500	#9D469C	1	0.5065	0.35846666666666666	27.557466506958008	10.524081230163574	2407.669189453125	22.6286678314209	0	3.007434
Tokelau	2	59.8697997444	1	499.3003550824	-9.169440816054545	-171.65562932187274	3	750	#51EA5D	1	32765.5	32765.5	27.414167646928263	20.678506989912552	3431.0249378551134	14.08781446977095	8.339769920962576	9.169440816054545
Tonga	3	130061.528017112	1	159353.625529837	-19.662176822470304	-174.4786564847212	10	2846	#96CC4A	1	304.6218314546296	400.89091948170733	24.58055418765906	171.34443377870502	1573.3233916311551	38.87642588759913	1.2252172334071847	19.662176822470304
Tuamotu + Puka-puka	2	442070.59075276623	1	2084818.7531178463	-16.223257672805826	-143.84926583728554	4	1100	#EAD5AB	1	392.467223680622	525.6066032009616	26.161960274107777	91.17447957359839	2064.279831428788	28.330941657322505	4.716031323340865	16.223257672805826
Tungaru	2	32835.8102512505	1	110603.91153829449	0.8285585378219178	173.67738877419177	8	2150	#D6AB68	1	1787.6674545454546	2457.8236675	27.106843033882036	17.95714763092668	1532.4282878718964	32.19042946541146	3.368392943313537	0.8285585378219178
Tupuai	2	420.6594646287	1	308.4165296046	-23.34823217663333	-149.43173402983334	3	670	#C448E6	1	6554.53783996	8192.799224975	22.956344604492188	196.308349609375	1523.49365234375	26.253236770629883	0.7331738746846632	23.34823217663333
Tureia	2	63.4373394912	1	543.7544278284	-21.694025852646668	-140.63010367846667	4	1100	#A7EA3A	1	6553.45694	8191.7845375	23.93268394470215	164.64622497558594	1824.9658203125	16.734107971191406	8.57152005726579	21.694025852646668
Tuvalu_31	2	233.31416414699999	1	1230.6190154178	-8.378201279695162	178.85722202414516	4	1070	#9FC2B0	1	32765	32765	27.450251210120417	23.243311820491662	3712.195174678679	12.28123095727736	5.274514815321913	8.378201279695162
Tuvalu_32	2	233.31416414699999	1	1230.6190154178	-8.378201279695162	178.85722202414516	4	1070	#5CE8E3	1	32765	32765	27.450251210120417	23.243311820491662	3712.195174678679	12.28123095727736	5.274514815321913	8.378201279695162
Ulithi + Yap	2	527.0258408484	1	2386.2192891546	9.948544352705264	139.64318499103157	9	2400	#6D40E7	2	6898.156105263158	6898.144589473684	27.297063225194027	30.406916929546156	2748.1079898231906	21.560900898983604	4.52770832889957	9.948544352705264
Uvea (Wallis)	2	759.5439953679	1	718.6306001328	-13.293464407893334	-176.1832627114	9	2300	#A7E7AC	1	6554.27617996	8192.498774975	26.940418243408203	69.88013458251953	2736.8828125	22.0856876373291	0.9461342654479379	13.293464407893334
Vanuatu and Temotu	1	623043.0526274677	10.798882681564246	125838.2929374159	-15.039425101224165	167.4645252817369	11	3200	#E65F6B	130	3364.477014544702	4323.364677423404	26.06248681035547	126.59785813300812	2230.0641451770016	41.343321169309135	0.2019736716535665	15.039425101224165
Woleai	2	30.4425282184	1	207.9305428348	7.470135353853919	145.8367478596442	7	1900	#AC27EA	2	32765.5	32765.5	27.3929838102813	17.5524797932855	3211.4742825786147	20.856910351301806	6.830265257309448	7.470135353853919
