Marck_group	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Anewetak	3	20.392806125000003	1	162.85811278219998	11.535464243944118	162.28492452597058	8	2000	#A2968A	1	32766	32766	27.00064479603487	57.351794972139245	1970.474666819853	51.80989904964672	7.986057033247059	11.535464243944118
Anuta-Tikopia	1	13.480775681999999	1	27.027441973800002	-11.93113266995	169.3297636495	11	3000	#E9D4AD	2	32766	32766	27.058802604675293	69.53941345214844	2934.8560791015625	21.28283405303955	2.004887746176801	11.93113266995
Aotearoa	2	232102960.02851105	1	14264725.893379599	-41.51659911209221	171.57282891400527	3	750	#E98D30	1	171.72252647122	225.9383910554946	12.63333028909231	276.1852444655027	1353.4415226209876	11.275318330097512	0.061458612555511355	41.51659911209221
Banaba	2	16.0269889456	1	23.0022572888	-0.8866763086	169.539648867	8	2150	#E742E0	1	32766	32766	27.21941375732422	16.455835342407227	1288.4412841796875	26.914831161499023	1.4352201381604477	0.8866763086
Chuuk	2	9033.766928734682	1	26122.146347088325	7.087050329573748	152.02943995233701	9	2300	#68EFC0	6	4040.0976479369865	5174.004110521052	27.371270711045632	18.171586712073733	3286.1187484051607	22.057765553286163	2.8916117222372413	7.087050329573748
East Futuna	2	855.2524194342001	1	667.5884115561	-14.29562847575	-178.1099469575	9	2300	#BC9A5D	1	6554.30989996	8192.466874975	26.66718482971191	87.08333587646484	2533.394287109375	26.359764099121097	0.7805747126652376	14.29562847575
Fiji	3	1894503.2739709083	1.3090586145648313	517886.93406930094	-17.49562236569131	58.20225201759637	11	3130	#ECADEC	8	1021.7879055838008	1355.0263003925618	25.425344301775173	146.75039427508435	1922.3319244426114	40.499611399519445	0.27336291321566414	17.49562236569131
Hawai'i	4	1010491.8540324052	1	104191.52844774596	21.154258249202897	-157.33585988869567	4	950	#E285D7	1	2521.156420497436	4681.434114271429	23.936608051908188	118.043709685837	988.1239570949388	19.75984437914862	0.10310971635443256	21.154258249202897
Hereheretue	2	93.40793651519996	1	496.2591247139999	-19.86379129296	-144.95120680920002	4	1100	#A1F070	1	6553.29186	8191.544162499999	24.856489181518555	140.0803985595703	1900.4124755859375	23.17574119567871	5.312815411924288	19.86379129296
Kanaky	3	10613696.83445902	27	1619801.6753855797	-21.472194689878688	165.64875393211315	11	3050	#73A69F	34	1095.8889184987147	1439.9454847844595	23.404031809120458	225.5690954891678	1175.0999530838346	56.43249179080491	0.15261427763101743	21.472194689878688
Kapingamarangi	1	4.2097136208000006	1	49.348168269599995	1.0691647252722223	154.7920500706111	4	1000	#58B07C	1	32766	32766	27.446208953857425	10.088061332702637	2091.227294921875	24.850982666015625	11.722452573916899	1.0691647252722223
Kosrae	3	1826.8319674400007	1	999.6938663744003	5.3303290596	163.00780424533332	8	2100	#6D3FE8	1	3641.2442999888885	4681.403628557143	27.368519465128585	12.529414176940918	3525.9243977864585	24.029882431030273	0.5472281436892655	5.3303290596
Laguas_yan_gani	1	34387.65204174301	1.15	16801.820707698796	15.234901130186929	145.1235199042225	12	3500	#A724ED	3	2234.6106795363635	2731.0511999916666	26.763612697465078	81.5277951322283	1802.4183212716239	56.67972246715001	0.4886004047994654	15.234901130186929
Mangaia	2	361.0995851393	1	204.7432242275	-21.9128317851	-157.925155666	4	960	#E56CE3	1	1.705899925	1.7705	23.587480545043945	180.8047790527344	1448.5081787109375	31.59469223022461	0.5669993338500153	21.9128317851
Mangareva	2	804.8130777625003	1	3122.0180817525006	-23.141204395423078	-134.928802381	4	920	#5B4ACB	1	4681.686164271428	5958.295663609091	23.268709109379696	175.59753711407	1839.483647273137	13.33449726838332	3.879184083877183	23.141204395423078
Mangarongaro	2	29.819451291999993	1	223.2828267336	-9.033042457566667	-157.97036915446665	2	550	#E58574	1	32766	32766	27.22708320617676	23.355909029642746	2572.372762044271	31.93851629892985	7.487824794197425	9.033042457566667
Mapia	NA	0	1	0	0.896674	134.304599	2	500	#A8E9B1	1	32766	32766	27.574583053588867	11.396363258361816	2123.16845703125	13.87479019165039	NA	0.896674
Marquesas	1	60970.76641001871	1	34399.734260057245	-9.208264774551553	-139.65005822519709	4	950	#A6F29A	2	2185.3794616383334	2850.1781238999997	26.57349778477065	49.06353159130252	1798.3805694300447	78.33400682187876	0.564200456801289	9.208264774551553
Marutea	2	495.61587896999987	1	3045.1604193139983	-21.519669634167442	-136.06296721769766	4	1100	#A9BC8E	1	8936.309627272727	10922.023422222223	24.11062768448231	153.86912430164426	1877.415402434593	12.895019553428472	6.144194624358121	21.519669634167442
Mo-ava-mo-iki	2	5022.8519289921	1	1604.147529663	-11.46928766715	160.022644755	11	3100	#B49BBA	1	1.1783499375	1.1322666333333333	26.903383255004883	79.81468200683594	2766.85400390625	28.91575813293457	0.31936986244882054	11.46928766715
Morane	2	3.9426304488	1	46.196380593600004	-23.150653437214284	-137.11822409714284	4	1100	#7EBD44	1	32765	32765	23.232088088989254	180.15646362304688	1814.68896484375	14.559645652770996	11.717147014795815	23.150653437214284
Napuka	2	168.72372048059998	1	706.9789571598003	-14.162864349671429	-141.26945372742858	4	1100	#71A9E2	1	6553.65654	8191.8582624875	26.57788848876953	70.52010345458984	1940.623291015625	32.066497802734375	4.190157466573228	14.162864349671429
Nauru	NA	158.7159144585	1	127.6460077312	-0.5196901836	166.930007871	8	2150	#EA4FAD	1	0.717225	0.7159333333333333	27.30586624145508	15.498370170593262	1421.695556640625	24.185972213745117	0.8042420205100229	0.5196901836
Nga Pu Toru	2	2123.4225614425	1	3175.3883830349996	-19.1341440181	-159.31371679404762	4	900	#ABD7E7	1	4682.203792828572	5958.733309036364	24.961372557140532	140.73449198404947	1710.2473551432292	33.76245335170201	1.4954104946864037	19.1341440181
Nia Matai	3	188696.5469582261	1	108034.20494340832	-16.907646167000856	-150.7999925587607	4	960	#82F02F	1	1468.1104820791045	1928.370749003922	25.962527071308887	103.331421876565	2064.782156658988	28.503696832901394	0.572528785952427	16.907646167000856
Niuafoou	NA	367.45608670749994	1	189.2575115494	-15.5972130209	-175.635532195	9	2300	#717594	1	0.65165	0.6071	26.216264724731445	109.48291015625	2242.294921875	32.896148681640625	0.5150479700722758	15.5972130209
Niuatoputapu	NA	198.56531242800003	1	288.45600011729994	-15.923576424775	-173.73992739425	9	2300	#EBABC4	1	6554.38601994	8192.5781	26.219738006591797	107.40064239501952	2244.43896484375	32.26325607299805	1.4527008599344076	15.923576424775
Niue	2	1864.770291181	1	478.22787083400004	-19.052013841	-169.862192027	8	2000	#7A3D38	1	1.56367495	1.6396666666666666	24.77157211303711	156.13824462890625	1635.032470703125	37.08647918701172	0.2564540378488805	19.052013841
Nukumanu-Luangiua	1	49.870539003000005	1	310.46141431180007	-4.9304991656630435	159.44733369907607	2	500	#E076AB	2	32766	32766	27.509594419728153	24.95820252791695	3145.4801980723505	20.352074788964313	6.225347079026437	4.9304991656630435
Nukuoro	1	4.6988437772	1	52.591309124	3.8649320282333335	154.97630608171428	2	500	#AF89D5	1	32766	32766	27.424253463745117	6.950807889302571	3075.9183175223216	29.705277851649697	11.192393622275032	3.8649320282333335
Nukuria (New Guinea Polynesian outlier special case)	NA	172.91763400500002	1	1038.4238852235	-3.2471857113000002	154.60997897316668	2	500	#8172EE	1	9361.47047142857	8191.3328125	27.43462610244751	28.32453966140747	2724.2689208984375	22.71807336807251	6.005309355513582	3.2471857113000002
Nukutaveke	2	2056.954709962798	1	12641.856169093197	-21.607709282373683	-138.82440158271052	4	1100	#E8D98E	1	6553.28848	8191.4725	24.07054951316432	158.50866137052836	1865.6346499794408	14.975228560598271	6.145908856360691	21.607709282373683
Oroluk	NA	595.0424129484002	1	665.0401300464	7.3544120446444445	154.38391317377778	9	2300	#577B35	1	32765	32765	27.356582782886647	20.098807864718967	3249.194317853009	21.63820471587005	1.1176348367356963	7.3544120446444445
Palau	2	16125.365409783992	1	10282.445941276012	7.397721877304762	134.52803603295237	11	3100	#AF65EE	1	1425.1839652130434	1927.9620588235296	27.426529838925315	18.103815442039853	3193.789597284226	20.85574722290039	0.6376566161432339	7.397721877304762
Paumotu	2	441801.3035631254	1	2082943.4755766368	-16.381491870171192	-144.41615636346432	4	1100	#9F30A2	1	261.9557654220745	351.56554606821425	26.132108323689593	93.03682413647375	2085.86435880283	27.98085269675908	4.714661226161416	16.381491870171192
Pohnpei	3	15509.553312798396	1	9615.853828670204	6.792403543191379	158.34984965278622	7	1900	#DDEDCA	3	5041.2492	5957.704186363637	27.369242350260418	17.65277007818222	3425.7388046264646	21.82894538243612	0.6199955366048651	6.792403543191379
Puka-puka	2	269.28718964620015	1	1875.2775411856032	-14.820532896161538	-138.82385792953846	4	1100	#63E77B	1	1560.8555166619046	2048.4658531124996	26.426593780517575	74.66504669189453	1872.9359130859375	31.43443298339844	6.963857224881046	14.820532896161538
Pukapuka	2	52.171160806799996	1	193.47341939869997	-11.04875837752	-165.7607258592	3	750	#E1457A	1	10922.0373	8191.7371	27.28642578125	33.19308319091797	2867.576318359375	20.702892303466797	3.708436162943927	11.04875837752
Raivavae	2	255.12873598419998	1	765.9564631095001	-23.873739717363637	-147.62983869818183	3	670	#E6D5E8	1	14043.076328542858	16383.36921665	22.712799072265625	201.05323791503903	1531.6812744140625	25.41375732421875	3.0022351663159395	23.873739717363637
Rakahanga-Manihiki	2	35.53541818939999	1	137.4380023892	-10.39652929615	-161.0094220913	2	550	#A4DECB	1	32766	32766	27.285639762878414	28.07112693786621	2701.6436767578125	24.044196128845215	3.8676343037999468	10.39652929615
Ralik	3	3528.0126445652954	1	27692.326268174667	8.69439797117547	167.69834744559813	8	2000	#D7F0AA	1	6553.360786666667	8191.618175	27.183387814281144	35.2315778130683	2706.4260604715773	35.86255096275112	7.849270696586968	8.69439797117547
Rapa Iti	NA	694.1178215296002	1	1102.8206637104008	-27.67569397223077	-144.1381741986154	4	850	#EB32F7	1	3641.3967555444447	4681.509428542857	20.581056741567757	233.09999319223255	1409.716299203726	25.86645801250751	1.588809031412215	27.67569397223077
Rapa Nui	2	1185.9541474549999	1	514.3365686746	-27.1194612948	-109.35894608	3	750	#63EDE4	1	0.97439995	0.8671	20.963329315185547	174.8053436279297	1050.572509765625	48.58991622924805	0.43369009651708823	27.1194612948
Raro Matai	3	159.1673939375	1	883.5271443387999	-16.440532122505264	-154.3634130256842	4	960	#DB5442	1	14042.522485714286	16382.797383333333	26.111993890059622	97.8575832969264	2082.5708778782896	29.176414088199017	5.55093051712421	16.440532122505264
Rarotonga	2	1139.2570103584	1	636.7749048736002	-21.23886277065	-159.74882014783333	4	900	#EAE3E0	1	3641.757966655556	4681.9034857	23.82175636291504	174.879638671875	1452.107421875	32.912071228027344	0.5589387636713129	21.23886277065
Ratak	3	7850.027889031393	1	56577.88967666816	8.268751857736621	170.85240802876535	8	2000	#F0D337	1	2808.7871771428577	3780.9703346153856	27.197023659421685	31.317787802010265	2852.8734323601984	33.2393512223896	7.207348875247021	8.268751857736621
Reao	2	956.1368101202	1	3207.603109167202	-18.41771873707143	-136.71673978957142	4	1100	#4DEB5C	1	2520.836269230769	3276.90812	25.406617709568568	112.52495356968473	1934.405038016183	21.621367863246373	3.3547532897138024	18.41771873707143
Rekohou	2	43248.75542662403	1	17009.070391046807	-44.13660205145	-176.27489921469999	2	450	#C1C33A	1	1311.6135639800002	1725.4570473631577	12.660635248819988	239.10127665201824	1083.6268513997395	16.94582029978434	0.39328462110093426	44.13660205145
Rimatara	2	13.996562922899997	1	94.23821784599998	-21.810277456725	-154.70905715825	3	670	#BFE975	1	6553.60422	8191.820375	23.639610290527344	180.515380859375	1509.385009765625	30.12053108215332	6.732954252062508	21.810277456725
Rotuma	3	193.3789819628	1	227.0477369912	-12.486555054085715	177.03193449657144	5	1300	#D6F735	1	16383	16383	27.062312262398855	64.06516865321568	2916.028424944197	18.660390036446707	1.1741076237275714	12.486555054085715
Rurutu	2	692.9662027615998	1	651.3512515791997	-22.596920319166667	-152.317964386	3	670	#6ED5B3	1	3642.128544411111	4682.339885671429	23.249017079671223	190.1643218994141	1497.19580078125	27.95839500427246	0.9399466366230319	22.596920319166667
Samoa	3	314338.7716161465	1	66954.71362051074	-14.093097805342857	-171.06638438589286	10	2800	#EEC169	1	1131.0606551551723	1490.598281790909	26.71945959946205	76.04652681021855	2527.126852101293	25.3300289285594	0.21300176645810723	14.093097805342857
Satawal	2	13.372741101399999	1	89.20356521259998	7.4610971788454545	146.45097783827273	7	1900	#B4D181	2	32765.333333333332	32765.333333333332	27.389553590254348	17.64490509033203	3223.4114435369315	20.738815076423414	6.670552023418835	7.4610971788454545
Sikaiana	NA	7.135963853600001	1	29.6994455132	-8.373108312875	162.86978314325	2	500	#A6B14F	1	32766	32766	27.348987579345703	35.757469177246094	3499.7099609375	16.9277286529541	4.161938894662004	8.373108312875
Sonsorol	NA	4.1131236894	1	18.1417935302	4.83895433915	132.26824050599998	3	600	#57E89E	1	32766	32766	27.50423812866211	12.66972017288208	2801.033935546875	25.27578067779541	4.410709451056267	4.83895433915
Sorol	2	2.9868170774	1	29.983664018799995	8.14785202899091	140.38291410163637	8	2000	#ECEF75	1	32766	32766	27.386457443237305	20.512943267822266	3061.47607421875	18.581886291503903	10.038667665882148	8.14785202899091
Takuu	NA	3.4643994816	1	29.761656182399996	-4.743856257877778	157.02116322877777	2	500	#49B3D7	1	32766	32766	27.487055672539604	25.79984410603841	3169.3337673611113	21.51039759318034	8.59071141779956	4.743856257877778
Tatakoto	2	317.7387733296	1	2124.385424847	-17.350364030815	-138.39243481685	4	1100	#E5BAAF	1	2520.8923653846155	3276.84015	25.8233699798584	99.52459716796876	1975.02197265625	25.77446556091309	6.685949601257229	17.350364030815
Tobi	NA	5.949999999999999	1	0	3.007434	131.12438	2	500	#E3C3EF	1	0.5065	0.35846666666666666	27.557466506958008	10.524081230163574	2407.669189453125	22.6286678314209	0	3.007434
Tokelau	2	59.869799744400005	1	499.3003550824	-9.169440816054545	-171.65562932187274	3	750	#B445E4	1	32765.5	32765.5	27.414167646928263	20.678506989912552	3431.0249378551134	14.08781446977095	8.339769920962574	9.169440816054545
Tonga	3	130061.52801711172	1	159353.6255298373	-19.662176822470304	-174.4786564847212	10	2846	#AABEEA	1	304.6218314546295	400.8909194817074	24.58055418765906	171.34443377870502	1573.3233916311551	38.87642588759913	1.2252172334071896	19.662176822470304
Tungaru	2	32835.81025125053	1	110603.91153829443	0.8285585378219177	173.67738877419177	8	2150	#5E6BCC	1	1787.6674545454548	2457.8236675	27.106843033882036	17.95714763092668	1532.428287871897	32.19042946541146	3.3683929433135327	0.8285585378219177
Tupuai	2	420.6594646286999	1	308.41652960459993	-23.34823217663333	-149.43173402983334	3	670	#62D6E2	1	6554.53783996	8192.799224975	22.956344604492188	196.308349609375	1523.49365234375	26.253236770629883	0.7331738746846632	23.34823217663333
Tureia	2	63.43733949120002	1	543.7544278284	-21.694025852646668	-140.63010367846667	4	1100	#AFDE3D	1	6553.45694	8191.7845375	23.93268394470215	164.64622497558594	1824.9658203125	16.734107971191406	8.571520057265788	21.694025852646668
Tuvalu	2	704.6772495470003	1	3719.156910442198	-8.267732840764218	178.68836036334494	8	2150	#D2EBE4	2	32765.1	32765.1	27.45296111260691	22.718382303176384	3720.7839824061234	12.370162991554507	5.277816068041145	8.267732840764218
Uvea (Wallis)	2	759.5439953679	1	718.6306001328002	-13.293464407893334	-176.1832627114	9	2300	#AD77DE	1	6554.27617996	8192.498774975	26.940418243408203	69.88013458251953	2736.8828125	22.0856876373291	0.9461342654479381	13.293464407893334
Vanuatu and Temotu	1	623029.5718517824	10.872420262664166	125811.26549544198	-15.062751873691514	167.45052724520588	11	3200	#A3A4EE	128	3168.4668613083336	4079.2218849549354	26.055009768747066	127.02606409684196	2224.774899894265	41.49386891502224	0.20193466117748302	15.062751873691514
Waab	2	529.3194883235997	1	2414.985529324398	9.871185862367692	139.5354860928646	9	2400	#6186D6	3	8191.5482999999995	8191.53736	27.30169701209435	29.95632365153386	2764.6033049128605	21.383512759575474	4.562434564751933	9.871185862367692
Woleai	2	17.069787117	1	118.72697762220001	7.497249878879311	143.99405792375862	7	1900	#D28293	1	32766	32766	27.40327447036217	17.27520390214591	3175.662799703664	21.21119617593699	6.955387129811269	7.497249878879311
