Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Malakula	33	0.1435132172797819	-0.42086970640406707	1.1694871681485806	0.04469698557830749	0.611145650668379	1	1.2065335030305762	1.0095575475172518	11	-0.23605874544269975	-0.736695264101243	-0.7892161145030824	-0.6116750618048137	-0.8364302005223087	-0.6615636197174131
Kanaky (New Caledonia main island)	29	0.8226565176595659	-1.5157639011225943	1.6141573610747766	-0.7621061465000716	1.6516169231356392	1	2.30924291881266	2.274723034177304	11	-0.22971108325620995	-0.7430674457592386	-0.7979835705882781	-1.4203052574427317	-0.25382827606180935	-1.2095630361614134
Santo	24	-0.00850838153468874	-0.08934105274214614	0.817595537861956	0.2210620843914142	0.27392009099267006	1	1.346924355225937	1.0378701705474154	11	-0.25206147747079316	-0.6683793615448923	-0.6984286475060825	-0.3399734312765392	-0.8530220328754111	-0.34709137236032456
Ambrym	6	0.1242544484662844	-0.30600755187289713	0.9691035823673488	0.09080578042933209	0.5059497250358186	1	-0.15588121351067158	-0.7060153803792197	11	-0.2879199943865237	1.98585835870366	1.963893760983912	0.3724912823187816	1.6230455891043747	-2.0864552775127225
Efate	5	0.3008291342280711	-0.6875517927162118	1.3552533555349922	-0.0679860616898133	0.8388852732625287	2	0.7446207307073889	0.5591127888192672	11	-0.2278291987186951	-0.4270642870608417	-0.38914616463915863	-0.6747854798123818	-0.4286847732428988	-1.082467521037735
Pentecost	5	0.04786420222900539	-0.1348919623994305	0.7649166206621829	0.1749335733715064	0.33918734553079133	1	0.1773055796873311	-0.17274288710494778	11	-0.24769370018098136	-0.23401310298795372	-0.15382646734993735	-0.2183850044139151	-0.35582233125091034	-0.6009570498930531
Tanna	5	0.5517765772383334	-1.0345844290169188	1.4186518922669091	-0.30385808337301223	1.1646029652363374	1	0.13432881673700656	-0.3078598332366169	11	-0.265254758989862	-0.7889788680000226	-0.8597330234005884	-1.0630531019495504	-0.5920802579206629	-0.95018652694021
Viti Levu + Yasawa	4	0.30176680361983305	-0.4567932017913075	0.7364202344134523	-0.05846471996767255	0.5825719907650717	3	1.5339080422988105	1.2375152001283984	11	-0.2517586316716682	-0.6647833144178901	-0.693689667032167	-0.5971544554425422	-0.5719259262603057	-0.33723704490812356
Erromango	3	0.455566869243481	-0.9364220575049323	1.4105046249841775	-0.22576392226640715	1.0612611054635008	2	0.3301803639661003	-0.14078598408743162	11	-0.27134747950695015	-0.23399828833437375	-0.15381260910274475	-0.7748650904447989	-0.10086079492107389	-1.3030658861373023
Laguas yan gåni	3	-0.00995878606679628	-0.5916759765423911	1.644987456556814	0.46648037388901153	-0.4103389558705941	1	0.7302489953631912	0.7028858036001399	12	-0.20294885003600685	-0.5998793778262663	-0.6245267369171118	-0.3030637186035047	-1.1479615723112135	-1.1400577379048535
