Medium_only_merged_for_shared_language	mean_061_Npp_500m	var__061_Npp_500m
Ambae	32766	0
Ambrym	32765	0
Aneityum	21844.637447609526	250479936.00960726
Anen-Kio	32766	0
Anuta	32766	0
Aore	16383.733299978572	289023174.72811216
Aotearoa	23190.261692014396	222091849.49318257
Araki	32766	0
Australia	32766	0
Belep	28670.418390176786	118478460.15883183
Bokak	32765.833333333332	0.14227642276422756
Chuuk	27813.096815280896	137982372.22263476
Duff and Reef Islands	23404.577730608165	223654954.0952958
East Futuna	24574.836321417857	208740505.28394693
Efate	21064.37454590306	249011401.63385195
Emae	16383.80450712143	289020662.1883465
Epi	21844.55018570476	250483938.70026168
Erromango	16383.900957092857	289017258.9916173
Futuna and Aniwa	32766	0
Gaua	1.375357142857143	0.04312158285714285
Hawaii	28543.143715510978	120813234.34074153
Hiu	0.16458571428571428	0.02443648476190476
Indonesia (Non Remote Oceania)	22911.15628967148	225814387.5778787
Kadavu	30245.66473680989	76646211.09526479
Kanaky (New Caledonia main island)	26868.257709083715	158546310.81460238
Kapingamarangi	32766	0
Kosrae	10922.429719038095	250499320.55003434
Laguas_yan_gani	24143.542974055643	208956493.26006573
Lau	27009.982914378277	155612718.52219826
Lifou	16383.997135692856	289013865.3786171
Loh-Toga	13107.19831712	265223469.1537236
Lomaviti	25204.88000072711	191269071.5372048
Luangiua	32766	0
Maewo	28085.320334689794	134191168.0442738
Mafea	32766	0
Malakula	19455.21625713437	260112162.30646628
Mangareva	28985.279442854393	110181478.66849884
Mangarongaro	32766	0
Mapia	32766	0
Marshall Islands (greater)	32301.935066464368	14990229.876573237
Merelava group	32766	0
Merir	32766	0
Mo-ava-mo-iki	1.15859995	0.016627554047695
Mortlock (greater)	31537.189484642855	38818798.298276335
Mota	1.3875856857142856	0.02541975631762143
Mota Lava	16383.660792835715	289025733.1359976
Mwoakilloa	32766	0
Namonuito	32766	0
Nauru	0.7166714285714286	0.007746012380952382
Nendö	10922.738525382541	242411842.97938004
Nengone	24575.009299982146	208731689.12703785
Nguluwan	32766	0
Niuafoou	0.6325571428571428	0.00469520619047619
Niuatoputapu	24574.865803560715	208739002.65444198
Niue	1.5962428285714285	0.034838492946669054
North Marquesas	25908.18052657342	178258406.77430692
Nukumanu	32766	0
Nukuoro	32766	0
Nukuria	30035.255689285714	82255032.82532576
Ouvea	28670.34357142857	119555734.90566093
Paafang	32170.259582597402	19214867.57328893
Paama	0.8647214071428572	0.5162822675264854
Palau	23404.446634012926	220597365.9574376
Papua New Guinea (Non Remote Oceania)	24152.761962286182	208041997.4552776
Pentecost	24574.89627141786	208737449.80529085
Pingelap	32766	0
Pohnpei	27188.850976595746	152097183.72977135
Pollap	32766	0
Pukapuka	26212.830294285715	176828371.9754854
Puluwat	27305.000692857146	152749459.04511777
Raivavae	31276.576296101946	46881531.991485044
Rakahanga-Manihiki	32766	0
Rapa Iti	27725.19930549121	141306007.32198286
Rapa Nui	0.9284142571428572	0.004677333612859528
Rekohou	26213.00010952095	172589083.0442433
Rimatara	24574.61795	208751635.2177319
Rotuma	28085.14285714286	134201344.50000016
Rurutu	10923.120766638096	250483470.93582305
Samoa	24857.270547777833	197552598.98812112
Santo	18723.98288825561	264252553.4713609
Satawal	32766	0
Sikaiana	32766	0
Solomons (Non Remote Oceania)	25273.778981910196	189373978.08827084
Sonsorol	32766	0
South Marquesas	23129.2657386479	224764879.33314106
Southern Cook Islands	25745.006126012755	181670518.3960057
Tahiti	28670.226630460613	117540865.2160901
Takuu	32766	0
Tamambo	6553.973782842857	176819567.52569008
Tanna	1.8858999571428572	0.012277191830006197
Te Anu	1.1797142428571428	0.057458814730002854
Tikopia	32766	0
Tobi	0.4430571428571428	0.03643782285714286
Tokelau	32765.963636363635	0.035132575757575515
Tonga	27404.500213934632	147049680.00541896
Tongoa	24574.887110707143	204942681.8546205
Tuamotu	29569.8209128041	94513897.30201466
Tungaru and Tuvalu	30793.802683002632	60764152.683510445
Tupuai	27305.28300237381	152733666.51076934
Tutuba	1.5407285285714285	0.019225414720479044
Ulithi (greater)	28770.051265505223	115360727.47966526
Ureparapara	1.2801713714285714	0.04270925593714572
Utupua	16383.582599971429	289028492.17864454
Uvea (Wallis)	30581.68929523524	67439264.27693886
Vanikoro	1.1192999857142858	0.05644736948000132
Vanua Lava	26213.085782851427	176814584.21369922
Vanua Levu	23798.71110375459	213723182.17794302
Vao	0.24535714285714286	0.010390082857142855
Viti Levu + Yasawa	29294.232726581646	101794910.52397333
Woleai	32765.95	0.09784946236559112
Wuljan	32765.85	0.22913669064748268
Yap	32766	0
