Marck_group	mean_MOD17A3HGF_061_Npp_500m	var_MOD17A3HGF_061_Npp_500m	mean_MYD17A3HGF_061_Npp_500m	var_MYD17A3HGF_061_Npp_500m
Anen-Kio	32766	0	32766	0
Anewetak	32766	0	32766	0
Anuta-Tikopia	32766	0	32766	0
Aotearoa	23190.259792219993	222119874.88109285	23190.264225073744	222141403.05589995
Australia	32766	0	32766	0
Banaba	32766	0	32766	0
Bokak	32765.833333333332	0.14492753623188404	32765.833333333332	0.14705882352941174
Chuuk	29997.07409424812	83155617.48821598	29997.073919091865	83188212.50149405
East Futuna	24574.8468437375	214703968.103213	24574.822291658333	219584920.10129443
Fiji	27126.71181557321	153052373.9810137	27126.717141753812	153079892.29748714
Hawai'i	28492.145291302175	122205503.95902207	28641.574240557344	118952923.0197112
Hereheretue	26212.747965000002	176178354.70472822	26212.74511	177697288.45734334
Indonesia (Non Remote Oceania)	22915.6080780315	225781854.7732883	22905.21430394069	225937264.61679143
Kanaky	27718.627935572513	139991917.98976132	27718.63231809982	140022160.8769142
Kapingamarangi	32766	0	32766	0
Kosrae	10922.433224991666	260258950.8037199	10922.425044433334	268392244.01992807
Laguas_yan_gani	24143.53912236447	209549745.2588183	24143.548109643856	210012913.09584448
Mangaia	1.705899925	0.005063660120002501	1.7705	0.004232410000000002
Mangareva	28985.275060575	110640187.92025548	28985.285285893588	110998808.87282293
Mangarongaro	32766	0	32766	0
Mapia	32766	0	32766	0
Marquesas	25120.819865409583	192847335.4857579	25120.823298329997	193116501.93004912
Marutea	31241.769801744183	47888851.52997822	31241.76907596899	47982430.14490547
Mo-ava-mo-iki	1.1783499375	0.012247747818574106	1.1322666333333333	0.024628562088002667
Morane	32765.285714285714	0.5079365079365078	32765.285714285714	0.5142857142857142
Napuka	23404.198764285713	227204011.91661164	23404.184099995236	230044782.77828354
Nauru	0.717225	0.010552709166666662	0.7159333333333333	0.007407543333333336
Nga Pu Toru	28085.33158451905	133032541.24168502	28085.334387292063	133568802.81600799
Nia Matai	28285.223081836106	127002999.30463204	28285.224809684332	127093617.71520068
Niuafoou	0.65165	0.00796313	0.6071	4.3974999999999977e-4
Niuatoputapu	24574.87063123125	214702721.07545438	24574.859366666664	219582932.3215679
Niue	1.56367495	0.06215453167000335	1.6396666666666666	0.006333903333333323
Nukumanu-Luangiua	32766	0	32766	0
Nukuoro	32766	0	32766	0
Nukuria (New Guinea Polynesian outlier special case)	30035.253055208334	82439758.15019032	30035.25920138889	82583511.81674676
Nukutaveke	30178.896889473686	78580754.85667366	30178.891842105262	78754913.42247352
Olohenga	32766	0	32766	0
Oroluk	32765.814814814814	0.2270681896850128	32765.814814814814	0.22777777777777825
Palau	23404.44322857024	221736584.24254134	23404.451174603175	222630305.44600996
Papua New Guinea (Non Remote Oceania)	24177.61819091725	207662971.46229476	24108.612388527636	208751167.73250806
Paumotu	29994.50285372219	83141793.17664605	29994.500919324255	83148015.43310103
Pohnpei	28429.359706985288	123741653.99204142	28429.35565343137	123894276.79673319
Puka-puka	5041.402680761539	142490302.2413591	5041.439833317948	143427354.04653412
Pukapuka	26212.805595	180818344.88353977	26212.863226666665	184044006.73934084
Raivavae	31276.57425340682	47112604.737754524	31276.579019695455	47293504.34633415
Rakahanga-Manihiki	32766	0	32766	0
Ralik	32536.295217172894	7476704.877140558	32536.295496962615	7478143.535929065
Rapa Iti	27725.203284613464	142493227.79575694	27725.193999994874	143431211.61560377
Rapa Nui	0.97439995	0.0010298438333366667	0.8671	0.00261871
Raro Matai	31041.034965789477	54241741.34726519	31041.03130350877	54484123.39522988
Rarotonga	21844.409237495835	248934563.12050912	21844.406911105554	252595473.1385569
Ratak	32047.363786513153	23039730.508370083	32047.364298684213	23043911.214297965
Reao	25744.801276785714	184042997.64504427	25744.787647619047	185165929.9111549
Rekohou	26213.002825829168	173210508.77428046	26212.99648777667	173697391.14725274
Rimatara	24574.62631875	214715528.92514712	24574.60679166667	219596474.2726307
Rotuma	28085.14285714286	136331524.5714287	28085.14285714286	138035668.62857157
Rurutu	10923.096408308335	260243147.62999743	10923.15324441111	268374349.34623444
Samoa	24574.810348209823	203100158.04011846	24574.823359516668	203711258.3363003
Satawal	32765.85714285714	0.27012987012987	32765.85714285714	0.27177700348432043
Sikaiana	32766	0	32766	0
Solomons (Non Remote Oceania)	25273.777876350316	189389925.9494955	25273.780455990032	189402157.78816947
Sonsorol	32766	0	32766	0
Sorol	32766	0	32766	0
Suvorov	32766	0	32766	0
Takuu	32766	0	32766	0
Tatakoto	22936.052518750002	228299103.63970044	22935.99671666666	229269075.81446075
Tobi	0.5065	0.004777506666666666	0.35846666666666666	0.08336389333333333
Tokelau	32765.963636363635	0.03520132835201321	32765.963636363635	0.035254988913525416
Tonga	27404.494987419705	147145598.5878472	27404.50718262121	147219395.25671673
Tungaru	29848.26491438356	87228667.62464361	29848.260152283106	87278854.53394412
Tupuai	27305.278716658333	155579879.6581213	27305.28871666111	157867240.87080705
Tureia	28396.859490000003	126157437.89800857	28396.872806666666	126873468.04348269
Tuvalu	32765.927536231884	0.12563899868247824	32765.927536231884	0.12579147319544098
Uvea (Wallis)	30581.68968166333	67929113.83248085	30581.688779997778	68315131.10648286
Vanuatu and Temotu	21289.987824736425	244620021.31249908	21289.987143645514	244723702.91123563
Waab	29674.792292452836	92161968.99528226	29674.797152201256	92307504.64780582
Woleai	32766	0	32766	0
Wuljan	32765.85	0.23037974683544327	32765.85	0.2313559322033897
