group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Vanuatu + Temotu	124.4209	15.60873814440636	67	195	5.579099999999997	5.579099999999997	130	none
Kanaky (main island + Loyalties)	28.7193	7.3214525796994465	6	60	5.2806999999999995	5.2806999999999995	34	none
Fiji	14.2731	4.66481429847362	1	38	-6.2730999999999995	6.2730999999999995	8	none
Chuuk	2.515	1.815848212399111	0	16	3.485	3.485	6	none
Laguas yan gåni (Guam + Northern Marianas)	8.8891	3.981229233367612	0	33	-5.889099999999999	5.889099999999999	3	none
Pohnpei	0.8685	0.9694852965228598	0	6	2.1315	2.1315	3	none
Luangiua + Nukumanu	1.0407	1.1719133278894	0	12	0.9593	0.9593	2	none
Marquesas	2.6919	2.1995586365949835	0	19	-0.6919	0.6919	2	none
Niu + Tuvalu	1.7865	1.426436546826466	0	9	0.21350000000000002	0.21350000000000002	2	none
Ulithi + Yap	0.9336	1.0030412001333329	0	7	1.0664	1.0664	2	none
Woleai	1.033	1.0903347573054336	0	7	0.9670000000000001	0.9670000000000001	2	none
Aotearoa	1.7383	1.7948078569931525	0	16	-0.7383	0.7383	1	none
Banaba	0.4474	0.705466518199716	0	6	0.5526	0.5526	1	none
East Futuna	0.5419	0.7615132173757877	0	6	0.45809999999999995	0.45809999999999995	1	none
Hawaii	0.2915	0.6157642946506858	0	7	0.7085	0.7085	1	none
Hereheretue	0.9199	0.9793773062465758	0	6	0.08009999999999995	0.08009999999999995	1	none
Kapingamarangi	0.3029	0.5922724615131676	0	5	0.6971	0.6971	1	none
Kosrae	0.7731	0.9282793546427851	0	6	0.2269	0.2269	1	none
Mangaia	0.6982	0.8828333361795685	0	6	0.30179999999999996	0.30179999999999996	1	none
Mangareva	1.0166	1.0350997938161886	0	8	-0.016599999999999948	0.016599999999999948	1	none
Marutea	1.0944	1.0734075928490716	0	7	-0.09440000000000004	0.09440000000000004	1	none
Mo-ava-mo-iki (Bellona + Rennelle)	0.5515	0.7840977177132276	0	6	0.4485	0.4485	1	none
Morane	1.6469	1.617739811653846	0	13	-0.6469	0.6469	1	none
Māngarongaro	2.1621	1.6259421757233188	0	15	-1.1621000000000001	1.1621000000000001	1	none
Napuka	0.865	0.9626357913389033	0	7	0.135	0.135	1	none
Ngatik	1.521	1.5416214385075107	0	13	-0.5209999999999999	0.5209999999999999	1	none
Ngā Pū Toru	0.8261	0.93773489039944935	0	6	0.17390000000000005	0.17390000000000005	1	none
Niue	0.4398	0.6851444389982517	0	5	0.5602	0.5602	1	none
Nukuoro	0.6112	0.8946030356863015	0	8	0.38880000000000003	0.38880000000000003	1	none
Nukutaveke 59	1.0726	1.0686643272536211	0	10	-0.0726	0.0726	1	none
Nukutaveke 61	1.073	1.0593314959547988	0	7	-0.07299999999999995	0.07299999999999995	1	none
Palau	2.4144	1.7073851810343328	0	12	-1.4144	1.4144	1	none
Pukapuka	1.3719	1.2689174146257565	0	10	-0.3718999999999999	0.3718999999999999	1	none
Raivavae	1.1219	1.1057859947867972	0	8	-0.1218999999999999	0.1218999999999999	1	none
Rakahanga-Manihiki	2.5958	1.8176228253610613	0	14	-1.5958	1.5958	1	none
Rapa Nui	0.7263	0.9003717992794387	0	7	0.27370000000000005	0.27370000000000005	1	none
Raro Matai + Nia Matai	0.4434	0.6961644234593212	0	6	0.5566	0.5566	1	none
Rarotonga	0.7645	0.9143978140482585	0	6	0.23550000000000004	0.23550000000000004	1	none
Ratak + Rālik	1.0308	1.1033463179390826	0	8	-0.03079999999999994	0.03079999999999994	1	none
Rimatara	1.0407	1.090303804560281	0	7	-0.04069999999999996	0.04069999999999996	1	none
Rotuma	1.3676	1.2855487169105475	0	9	-0.3675999999999999	0.3675999999999999	1	none
Rurutu	0.9012	0.9891088886666443	0	7	0.0988	0.0988	1	none
Rēkohou	1.0259	1.140069807475223	0	9	-0.025900000000000034	0.025900000000000034	1	none
Sorol	0.6361	0.8779258883223223	0	6	0.3639	0.3639	1	none
Sāmoa	2.1364	1.6405682510699278	0	12	-1.1364	1.1364	1	none
Tatakoto + Reao	0.8651	0.939249811829048	0	6	0.13490000000000002	0.13490000000000002	1	none
Tokelau	2.0265	1.5227047031388903	0	11	-1.0265	1.0265	1	none
Tonga	2.8974	2.1144077922745184	0	14	-1.8974000000000002	1.8974000000000002	1	none
Tuamotu + Puka-puka	1.0417	1.2192250657594346	0	10	-0.04170000000000007	0.04170000000000007	1	none
Tungaru	2.1372	1.744041377958907	0	16	-1.1372	1.1372	1	none
Tupuai	1.014	1.0615633243802118	0	7	-0.014000000000000012	0.014000000000000012	1	none
Tureia	0.9735	1.0099008565072105	0	9	0.026499999999999968	0.026499999999999968	1	none
Tuvalu 31	1.7872	1.4278375369779295	0	10	-0.7871999999999999	0.7871999999999999	1	none
Tuvalu 32	1.7697	1.4299183111764335	0	9	-0.7697	0.7697	1	none
Uvea (Wallis)	0.5962	0.8049909074244899	0	6	0.40380000000000005	0.40380000000000005	1	none
Ānewetak	0.7799	0.9540162497046212	0	7	0.22009999999999996	0.22009999999999996	1	none
