rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	Shoreline	mean_posterior_predict_nd
1	1	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.1511508873331944
2	1	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.092683967916674
3	1	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.0654006064045807
4	1	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.0475688271109465
5	1	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.0485574617737425
6	1	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.059852369761673
7	1	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.0608705855810134
8	1	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.0906767486289413
9	1	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.097212737642343
10	1	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.159237315861076
11	1	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.1997223458333632
12	2	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.78699754789674
13	2	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.7323630943697412
14	2	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.7043530312694952
15	2	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6841270035860245
16	2	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6793395356599954
17	2	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6812223543558418
18	2	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6782705301014293
19	2	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6984957829046659
20	2	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6996827903831535
21	2	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.7455395127811228
22	2	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.7763603143711593
23	3	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6535493280955005
24	3	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5981060538717704
25	3	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5684554229888685
26	3	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5456355160258508
27	3	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5376134503505912
28	3	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5351685440983573
29	3	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5302617753975696
30	3	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.546813897813184
31	3	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5445339511561846
32	3	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5837641832271268
33	3	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6091217408000722
34	4	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	38257.25186468359
35	4	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	35486.13241948972
36	4	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	35481.35801678159
37	4	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	31466.624213234874
38	4	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	30517.50633987653
39	4	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	27239.253292606154
40	4	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	22711.71834564592
41	4	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	15772.919144006322
42	4	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	14491.719363666542
43	4	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	9743.907100688213
44	4	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	9566.270127253292
