term	variable	value
Intercept	mean	0.54811278585791
environ_PC1	mean	0.223246580584585
Shoreline	mean	0.556513988530207
environ_PC2	mean	-0.186335459329373
environ_PC1:Shoreline	mean	0.0449501334606028
Shoreline:environ_PC2	mean	-0.0860156575479855
moEA033	mean	-0.111525146799597
moSettlement_date_grouping_finer	mean	-0.011304318632646
moEA033:Shoreline	mean	-0.553203602996776
moSettlement_date_grouping_finer:Shoreline	mean	0.236798954387862
sd_phylo_id__Intercept	mean	0.711374010201552
simo_moEA0331[1]	mean	0.31588952335319
simo_moEA0331[2]	mean	0.280298952953893
simo_moEA0331[3]	mean	0.403811523849124
simo_moSettlement_date_grouping_finer1[1]	mean	0.10278822724818
simo_moSettlement_date_grouping_finer1[2]	mean	0.0973480056305002
simo_moSettlement_date_grouping_finer1[3]	mean	0.0955451100224886
simo_moSettlement_date_grouping_finer1[4]	mean	0.0954359965599484
simo_moSettlement_date_grouping_finer1[5]	mean	0.0954095460863168
simo_moSettlement_date_grouping_finer1[6]	mean	0.0948937165129957
simo_moSettlement_date_grouping_finer1[7]	mean	0.0954599953458331
simo_moSettlement_date_grouping_finer1[8]	mean	0.104459785791115
simo_moSettlement_date_grouping_finer1[9]	mean	0.102611330242325
simo_moSettlement_date_grouping_finer1[10]	mean	0.116048289703954
simo_moEA033:Shoreline1[1]	mean	0.502329143199655
simo_moEA033:Shoreline1[2]	mean	0.206922088523628
simo_moEA033:Shoreline1[3]	mean	0.290748768225967
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.0800873408715914
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.0878271365354566
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0749808040798385
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0737570116378293
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0733706072623991
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0668219812143491
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.151022223267429
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.106902986476016
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.212423558793781
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0728063472532773
r_phylo_id[Ānewetak,Intercept]	mean	-0.11732052619259
r_phylo_id[Aotearoa,Intercept]	mean	-0.405337948272654
r_phylo_id[Banaba,Intercept]	mean	-0.153783988706742
r_phylo_id[Bellona.+.Rennelle,Intercept]	mean	-0.305899571259738
r_phylo_id[Chuuk,Intercept]	mean	-0.00770999399338276
r_phylo_id[East.Futuna,Intercept]	mean	-0.289517030545744
r_phylo_id[Fiji,Intercept]	mean	-0.448983204350333
r_phylo_id[Hawaii,Intercept]	mean	-0.279158604894653
r_phylo_id[Hereheretue,Intercept]	mean	-0.415943083546878
r_phylo_id[Kanaky,Intercept]	mean	0.629690702705645
r_phylo_id[Kapingamarangi,Intercept]	mean	-0.291684577087962
r_phylo_id[Kosrae,Intercept]	mean	-0.0982774593712553
r_phylo_id[Laguas.yan.gåni,Intercept]	mean	-0.0547224777982457
r_phylo_id[Luangiua.+.Nukumanu,Intercept]	mean	-0.254652531497095
r_phylo_id[Mangaia,Intercept]	mean	-0.35969942855835
r_phylo_id[Mangareva,Intercept]	mean	-0.294156516110795
r_phylo_id[Māngarongaro,Intercept]	mean	-0.499322710650222
r_phylo_id[Marutea,Intercept]	mean	-0.417901249496907
r_phylo_id[Morane,Intercept]	mean	-0.420475238239056
r_phylo_id[Napuka,Intercept]	mean	-0.412292516772033
r_phylo_id[Ngā.Pū.Toru,Intercept]	mean	-0.360204167532479
r_phylo_id[Ngatik,Intercept]	mean	-0.00534329268108448
r_phylo_id[Niu.+.Tuvalu,Intercept]	mean	-0.296358421793527
r_phylo_id[Niue,Intercept]	mean	-0.549284678736677
r_phylo_id[Nukuoro,Intercept]	mean	-0.296895074132829
r_phylo_id[Nukutaveke.59,Intercept]	mean	-0.416471362494255
r_phylo_id[Nukutaveke.61,Intercept]	mean	-0.409025442325987
r_phylo_id[Palau,Intercept]	mean	-0.55520657715051
r_phylo_id[Pohnpei,Intercept]	mean	0.0102590980593083
r_phylo_id[Pukapuka,Intercept]	mean	-0.730853061726892
r_phylo_id[Raivavae,Intercept]	mean	-0.3968393307291
r_phylo_id[Rakahanga-Manihiki,Intercept]	mean	-0.512954336513597
r_phylo_id[Rapa.Nui,Intercept]	mean	-0.291518732469395
r_phylo_id[Raro.Matai.+.Nia.Matai,Intercept]	mean	-0.3795966629557
r_phylo_id[Rarotonga,Intercept]	mean	-0.360169702740952
r_phylo_id[Ratak.+.Rālik,Intercept]	mean	-0.126328569364726
r_phylo_id[Rēkohou,Intercept]	mean	-0.402145207096784
r_phylo_id[Rimatara,Intercept]	mean	-0.395620527858121
r_phylo_id[Rotuma,Intercept]	mean	-0.448087726014864
r_phylo_id[Rurutu,Intercept]	mean	-0.392778059747574
r_phylo_id[Sāmoa,Intercept]	mean	-0.749965315247529
r_phylo_id[Sorol,Intercept]	mean	-0.0232627567572063
r_phylo_id[Tatakoto.+.Reao,Intercept]	mean	-0.405341612781702
r_phylo_id[Te.Henua.‘Enana.+.Te.Fenua.’Enata,Intercept]	mean	-0.279105834053415
r_phylo_id[Tokelau,Intercept]	mean	-0.743244663276141
r_phylo_id[Tonga,Intercept]	mean	-0.565803298879318
r_phylo_id[Tuamotu.+.Puka-puka,Intercept]	mean	-0.406925530376247
r_phylo_id[Tungaru,Intercept]	mean	-0.173029287795736
r_phylo_id[Tupuai,Intercept]	mean	-0.393783493327812
r_phylo_id[Tureia,Intercept]	mean	-0.40544168163033
r_phylo_id[Tuvalu.31,Intercept]	mean	-0.732364535673744
r_phylo_id[Tuvalu.32,Intercept]	mean	-0.733294703853478
r_phylo_id[Ulithi.+.Yap,Intercept]	mean	-0.0311142947838821
r_phylo_id[Uvea.(Wallis),Intercept]	mean	-0.301769650557362
r_phylo_id[Vanuatu.+.Temotu,Intercept]	mean	1.20299785954199
r_phylo_id[Woleai,Intercept]	mean	-0.0144900754237607
lprior	mean	23.7248048810345
lp__	mean	-201.68820437931
Intercept	sd	0.63340189996454
environ_PC1	sd	0.232325955727986
Shoreline	sd	0.5819812817611
environ_PC2	sd	0.213407689282963
environ_PC1:Shoreline	sd	0.174465655575102
Shoreline:environ_PC2	sd	0.17520351293984
moEA033	sd	0.407429428149082
moSettlement_date_grouping_finer	sd	0.0941294185976492
moEA033:Shoreline	sd	0.375892095385482
moSettlement_date_grouping_finer:Shoreline	sd	0.076701937296679
sd_phylo_id__Intercept	sd	0.255509528589143
simo_moEA0331[1]	sd	0.226088468345511
simo_moEA0331[2]	sd	0.214854420014017
simo_moEA0331[3]	sd	0.256065849739573
simo_moSettlement_date_grouping_finer1[1]	sd	0.0916778074778775
simo_moSettlement_date_grouping_finer1[2]	sd	0.0889379068561869
simo_moSettlement_date_grouping_finer1[3]	sd	0.0871955550743638
simo_moSettlement_date_grouping_finer1[4]	sd	0.0878871048732465
simo_moSettlement_date_grouping_finer1[5]	sd	0.0871164107246059
simo_moSettlement_date_grouping_finer1[6]	sd	0.0862867743863022
