group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Vanuatu + Temotu	127.2813	15.883236383993124	70	195	2.7186999999999983	2.7186999999999983	130	phylo
Kanaky (main island + Loyalties)	32.5833	8.04202266366194	9	77	1.4166999999999987	1.4166999999999987	34	phylo
Fiji	8.5874	4.0513210882693595	0	28	-0.5874000000000006	0.5874000000000006	8	phylo
Chuuk	3.7342	2.406435009084038	0	17	2.2658	2.2658	6	phylo
Laguas yan gåni (Guam + Northern Marianas)	5.8948	3.331162353332906	0	24	-2.8948	2.8948	3	phylo
Pohnpei	1.7291	1.5286421637147356	0	12	1.2709	1.2709	3	phylo
Luangiua + Nukumanu	1.5571	1.5330279212919595	0	15	0.44290000000000007	0.44290000000000007	2	phylo
Marquesas	1.6123	1.6496850778514087	0	12	0.38769999999999993	0.38769999999999993	2	phylo
Niu + Tuvalu	2.0763	1.8023881852467385	0	14	-0.07629999999999981	0.07629999999999981	2	phylo
Ulithi + Yap	1.5269	1.4112673586375317	0	11	0.4731000000000001	0.4731000000000001	2	phylo
Woleai	1.376	1.296685057835526	0	9	0.6240000000000001	0.6240000000000001	2	phylo
Aotearoa	1.3312	1.584410803977168	0	13	-0.33119999999999994	0.33119999999999994	1	phylo
Banaba	0.5662	0.8230949571773922	0	6	0.43379999999999996	0.43379999999999996	1	phylo
East Futuna	0.8008	1.0398208897441303	0	9	0.19920000000000004	0.19920000000000004	1	phylo
Hawaii	0.5293	0.8920880517691127	0	9	0.4707	0.4707	1	phylo
Hereheretue	0.9418	1.0301062430095203	0	7	0.05820000000000003	0.05820000000000003	1	phylo
Kapingamarangi	0.6694	0.9617671961623361	0	11	0.3306	0.3306	1	phylo
Kosrae	1.1562	1.2025581793067068	0	10	-0.1561999999999999	0.1561999999999999	1	phylo
Mangaia	0.8462	1.0120513745845514	0	7	0.15380000000000005	0.15380000000000005	1	phylo
Mangareva	1.2285	1.2438016137010857	0	12	-0.22849999999999993	0.22849999999999993	1	phylo
Marutea	1.13	1.1424668586231748	0	9	-0.1299999999999999	0.1299999999999999	1	phylo
Mo-ava-mo-iki (Bellona + Rennelle)	0.8591	1.1153347422001683	0	11	0.14090000000000003	0.14090000000000003	1	phylo
Morane	1.2222	1.377031873878803	0	11	-0.22219999999999995	0.22219999999999995	1	phylo
Māngarongaro	1.6521	1.5130414797526024	0	10	-0.6520999999999999	0.6520999999999999	1	phylo
Napuka	0.943	1.0687680882785808	0	8	0.05700000000000005	0.05700000000000005	1	phylo
Ngatik	1.2943	1.3845862984739492	0	13	-0.2943	0.2943	1	phylo
Ngā Pū Toru	0.922	1.0126295185575944	0	6	0.07799999999999996	0.07799999999999996	1	phylo
Niue	0.5286	0.8083609247968842	0	8	0.47140000000000004	0.47140000000000004	1	phylo
Nukuoro	1.0664	1.272773756526874	0	12	-0.06640000000000001	0.06640000000000001	1	phylo
Nukutaveke 59	1.0932	1.126339479935959	0	9	-0.09319999999999995	0.09319999999999995	1	phylo
Nukutaveke 61	1.094	1.1271606137125758	0	8	-0.09400000000000008	0.09400000000000008	1	phylo
Palau	2.1185	1.8741955636755439	0	16	-1.1185	1.1185	1	phylo
Pukapuka	0.9381	1.082859939495804	0	9	0.061899999999999955	0.061899999999999955	1	phylo
Raivavae	1.0968	1.1293171811894003	0	9	-0.0968	0.0968	1	phylo
Rakahanga-Manihiki	1.7595	1.6026592281767718	0	12	-0.7595000000000001	0.7595000000000001	1	phylo
Rapa Nui	0.9324	1.0971556931728086	0	8	0.0676	0.0676	1	phylo
Raro Matai + Nia Matai	0.6837	0.9333495723159754	0	8	0.3163	0.3163	1	phylo
Rarotonga	0.8745	0.9976218095688831	0	8	0.12549999999999994	0.12549999999999994	1	phylo
Ratak + Rālik	1.7582	1.5732705673302996	0	12	-0.7582	0.7582	1	phylo
Rimatara	1.0708	1.1536552570179726	0	8	-0.07079999999999997	0.07079999999999997	1	phylo
Rotuma	1.1546	1.2523800084513312	0	9	-0.15460000000000007	0.15460000000000007	1	phylo
Rurutu	0.9273	1.0303984093971656	0	8	0.07269999999999999	0.07269999999999999	1	phylo
Rēkohou	0.9434	1.131072222467356	0	9	0.056599999999999984	0.056599999999999984	1	phylo
Sorol	0.7558	0.9894767639649972	0	9	0.24419999999999997	0.24419999999999997	1	phylo
Sāmoa	1.7855	1.5949119487960586	0	13	-0.7855000000000001	0.7855000000000001	1	phylo
Tatakoto + Reao	0.959	1.0323882905952855	0	7	0.041000000000000036	0.041000000000000036	1	phylo
Tokelau	1.263	1.267671763182377	0	10	-0.2629999999999999	0.2629999999999999	1	phylo
Tonga	2.2626	1.8895497558487266	0	17	-1.2626	1.2626	1	phylo
Tuamotu + Puka-puka	1.0756	1.2641378265222682	0	10	-0.07559999999999989	0.07559999999999989	1	phylo
Tungaru	2.3991	1.8971502597081737	0	16	-1.3990999999999998	1.3990999999999998	1	phylo
Tupuai	1.0359	1.0882690949219758	0	8	-0.03590000000000004	0.03590000000000004	1	phylo
Tureia	0.9724	1.0616736575311216	0	7	0.027599999999999958	0.027599999999999958	1	phylo
Tuvalu 31	1.2769	1.2555413288310506	0	10	-0.2768999999999999	0.2768999999999999	1	phylo
Tuvalu 32	1.2892	1.2720554911312838	0	11	-0.2891999999999999	0.2891999999999999	1	phylo
Uvea (Wallis)	0.8354	1.069963234009568	0	10	0.16459999999999997	0.16459999999999997	1	phylo
Ānewetak	0.9378	1.059548688990947	0	9	0.06220000000000003	0.06220000000000003	1	phylo
