term	variable	value
Intercept	mean	0.124157763583401
environ_PC1	mean	0.169115627912587
Shoreline	mean	0.769864716267902
environ_PC2	mean	-0.176205375774606
environ_PC1:Shoreline	mean	-0.081198840532564
Shoreline:environ_PC2	mean	-0.0238798546770974
moEA033	mean	-0.210080702216338
moSettlement_date_grouping_finer	mean	0.031161427848011
moEA033:Shoreline	mean	-0.726722890962845
moSettlement_date_grouping_finer:Shoreline	mean	0.259432664159655
sd_spatial_id__Intercept	mean	0.406231609316067
simo_moEA0331[1]	mean	0.350462359459255
simo_moEA0331[2]	mean	0.273589970826997
simo_moEA0331[3]	mean	0.375947667921058
simo_moSettlement_date_grouping_finer1[1]	mean	0.106802192811686
simo_moSettlement_date_grouping_finer1[2]	mean	0.105531240757587
simo_moSettlement_date_grouping_finer1[3]	mean	0.0986749454175243
simo_moSettlement_date_grouping_finer1[4]	mean	0.0988924864060145
simo_moSettlement_date_grouping_finer1[5]	mean	0.0991438538135953
simo_moSettlement_date_grouping_finer1[6]	mean	0.0938600525745895
simo_moSettlement_date_grouping_finer1[7]	mean	0.0968664079170929
simo_moSettlement_date_grouping_finer1[8]	mean	0.096843081997853
simo_moSettlement_date_grouping_finer1[9]	mean	0.102322840253118
simo_moSettlement_date_grouping_finer1[10]	mean	0.101062899220654
simo_moEA033:Shoreline1[1]	mean	0.563876835084426
simo_moEA033:Shoreline1[2]	mean	0.203279767044775
simo_moEA033:Shoreline1[3]	mean	0.232843396287303
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.0820412509864802
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.0925350312577643
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0789577124136833
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.07609993134848
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0760212139358212
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0686917151372922
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.129508714471873
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.0920820694623583
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.233924137443917
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0701382225255083
r_spatial_id[Ānewetak,Intercept]	mean	0.0182509734481447
