rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	Shoreline	mean_posterior_predict_nd
1	1	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.9557778013758385
2	1	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.925192659008305
3	1	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.9197702075085916
4	1	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.92447181783687
5	1	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.9451499325525718
6	1	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.9771517338755502
7	1	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.002188465438521
8	1	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.052417426426023
9	1	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.085791476342911
10	1	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.1750192276246034
11	1	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	2.246764218065518
12	2	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5538807665400032
13	2	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.52213430871032
14	2	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5117437416780768
15	2	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5081076552430162
16	2	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5157010239198496
17	2	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5325614014339537
18	2	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.545552261751417
19	2	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5772492606460196
20	2	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.596068408353696
21	2	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6572253963279193
22	2	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.707484447090133
23	3	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.4137440641764503
24	3	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3803702000525864
25	3	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3673297110037606
26	3	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3599812430149554
27	3	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.363108511629588
28	3	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3743394623192395
29	3	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3828919054794524
30	3	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.4085335266376038
31	3	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.422434238290881
32	3	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.4734204762300644
33	3	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.516212895988991
34	4	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	14.795547387334496
35	4	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	14.59425753290097
36	4	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	14.073011304391006
37	4	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	13.749626807429214
38	4	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	13.310160539970914
39	4	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	13.04755647918531
40	4	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	12.30412906958453
41	4	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	12.161361364520133
42	4	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	11.825385214493183
43	4	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	11.543705192095892
44	4	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	11.37755223839705
