term	variable	value
Intercept	mean	0.450909883061411
environ_PC1	mean	0.200469553046219
Shoreline	mean	0.550395333736636
environ_PC2	mean	-0.181739693979767
environ_PC1:Shoreline	mean	0.016896115733046
Shoreline:environ_PC2	mean	-0.0688661585855336
moEA033	mean	-0.140631211411946
moSettlement_date_grouping_finer	mean	0.001387406694005
moEA033:Shoreline	mean	-0.561206258495691
moSettlement_date_grouping_finer:Shoreline	mean	0.236671905696883
sd_phylo_id__Intercept	mean	0.616110607953741
sd_spatial_id__Intercept	mean	0.232311964609386
simo_moEA0331[1]	mean	0.326165488763503
simo_moEA0331[2]	mean	0.276663538469082
simo_moEA0331[3]	mean	0.397170972431448
simo_moSettlement_date_grouping_finer1[1]	mean	0.103766327972712
simo_moSettlement_date_grouping_finer1[2]	mean	0.0998325103957698
simo_moSettlement_date_grouping_finer1[3]	mean	0.0964726094702155
simo_moSettlement_date_grouping_finer1[4]	mean	0.0964425316733568
simo_moSettlement_date_grouping_finer1[5]	mean	0.0964331550723826
simo_moSettlement_date_grouping_finer1[6]	mean	0.0947869913102163
simo_moSettlement_date_grouping_finer1[7]	mean	0.0956938859621429
simo_moSettlement_date_grouping_finer1[8]	mean	0.10226957299068
simo_moSettlement_date_grouping_finer1[9]	mean	0.102702315992052
simo_moSettlement_date_grouping_finer1[10]	mean	0.11160010097427
simo_moEA033:Shoreline1[1]	mean	0.506057702932945
simo_moEA033:Shoreline1[2]	mean	0.209558036078464
simo_moEA033:Shoreline1[3]	mean	0.284384261711952
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.0820013378501367
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.0901402035407141
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.076707062846708
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0751437916113201
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0754734582263412
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0686260227371844
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.142721704712733
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.105259555661692
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.209416187788531
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0745106789302174
r_phylo_id[Ānewetak,Intercept]	mean	-0.0793137966432509
r_phylo_id[Aotearoa,Intercept]	mean	-0.330672193647382
r_phylo_id[Banaba,Intercept]	mean	-0.108145232354195
r_phylo_id[Chuuk,Intercept]	mean	0.00187138469570522
r_phylo_id[East.Futuna,Intercept]	mean	-0.238737161652717
r_phylo_id[Fiji,Intercept]	mean	-0.357138410893223
r_phylo_id[Hawaii,Intercept]	mean	-0.225291918594477
r_phylo_id[Hereheretue,Intercept]	mean	-0.335762649094276
r_phylo_id[Kanaky.(main.island.+.Loyalties),Intercept]	mean	0.498259298052264
r_phylo_id[Kapingamarangi,Intercept]	mean	-0.237517824184187
r_phylo_id[Kosrae,Intercept]	mean	-0.0643379164810276
r_phylo_id[Laguas.yan.gåni.(Guam.+.Northern.Marianas),Intercept]	mean	-0.032619928045606
r_phylo_id[Luangiua.+.Nukumanu,Intercept]	mean	-0.204388740108777
r_phylo_id[Mangaia,Intercept]	mean	-0.294374131101086
r_phylo_id[Mangareva,Intercept]	mean	-0.242384657603411
r_phylo_id[Māngarongaro,Intercept]	mean	-0.397361605270824
r_phylo_id[Marquesas,Intercept]	mean	-0.233149252675377
r_phylo_id[Marutea,Intercept]	mean	-0.337245013489492
r_phylo_id[Mo-ava-mo-iki.(Bellona.+.Rennelle),Intercept]	mean	-0.252599577869298
r_phylo_id[Morane,Intercept]	mean	-0.338871447353144
r_phylo_id[Napuka,Intercept]	mean	-0.333896511322008
r_phylo_id[Ngā.Pū.Toru,Intercept]	mean	-0.293482104640969
r_phylo_id[Ngatik,Intercept]	mean	0.00682831919007362
r_phylo_id[Niu.+.Tuvalu,Intercept]	mean	-0.222389859070886
r_phylo_id[Niue,Intercept]	mean	-0.444258653409572
r_phylo_id[Nukuoro,Intercept]	mean	-0.241135869334726
r_phylo_id[Nukutaveke.59,Intercept]	mean	-0.3375512693059
r_phylo_id[Nukutaveke.61,Intercept]	mean	-0.331688231228509
r_phylo_id[Palau,Intercept]	mean	-0.437657628352517
r_phylo_id[Pohnpei,Intercept]	mean	0.0192999533315155
r_phylo_id[Pukapuka,Intercept]	mean	-0.590619231941245
r_phylo_id[Raivavae,Intercept]	mean	-0.320819059758432
r_phylo_id[Rakahanga-Manihiki,Intercept]	mean	-0.407756744218665
r_phylo_id[Rapa.Nui,Intercept]	mean	-0.241131599524891
r_phylo_id[Raro.Matai.+.Nia.Matai,Intercept]	mean	-0.308857156045808
r_phylo_id[Rarotonga,Intercept]	mean	-0.293508654808957
r_phylo_id[Ratak.+.Rālik,Intercept]	mean	-0.0865517223356829
r_phylo_id[Rēkohou,Intercept]	mean	-0.328490366090868
r_phylo_id[Rimatara,Intercept]	mean	-0.320887552774474
r_phylo_id[Rotuma,Intercept]	mean	-0.356945825050143
r_phylo_id[Rurutu,Intercept]	mean	-0.317599733369797
r_phylo_id[Sāmoa,Intercept]	mean	-0.606870705664106
r_phylo_id[Sorol,Intercept]	mean	-0.00957736223513603
r_phylo_id[Tatakoto.+.Reao,Intercept]	mean	-0.328747440636448
r_phylo_id[Tokelau,Intercept]	mean	-0.602638081526882
r_phylo_id[Tonga,Intercept]	mean	-0.456890925419622
r_phylo_id[Tuamotu.+.Puka-puka,Intercept]	mean	-0.330281525472705
r_phylo_id[Tungaru,Intercept]	mean	-0.122305832382618
r_phylo_id[Tupuai,Intercept]	mean	-0.318412145957677
r_phylo_id[Tureia,Intercept]	mean	-0.33028549595094
