variable	Vanuatu + Temotu	Fiji	Laguas yan gåni
mean_Rhat	1.00003868865125	1.00003359424162	1.0000613616388
mean_Bulk_ESS	78251.1969754742	72565.5201346337	78131.1855028578
mean_Tail_ESS	80085.4638872206	74686.487366794	78334.2297477978
diff_predicted_vs_observed	-0.00152181818181818	0.00510727272727277	-0.00483272727272721
diff_predicted_vs_observed_abs	0.681514545454545	1.36804181818182	1.04928727272727
dropped_observation_prediction	6.6304	22.4934	48.5307
dropped_observation_prediction_diff	123.3696	-14.4934	-45.5307
dropped_observation_prediction_diff_abs	123.3696	14.4934	45.5307
b_Intercept_mean	-0.0728601644537974	-0.154862836279416	-0.0867602590819417
b_environ_PC1_mean	-0.0409479938667021	0.105861964366038	-0.194004676538879
b_Shoreline_mean	0.174879501984305	1.0400215652069	0.486424153773517
b_environ_PC2_mean	0.0140230916931684	-0.719948278575862	-0.338522727412626
b_EA033_mean	-0.0443264834673926	-0.82233042	-0.94466201937931
b_Settlement_date_grouping_finer_mean	0.143612884621095	0.408071684004483	0.699532325268965
b_environ_PC1:Shoreline_mean	-0.279340197679276	0.248273630830759	-0.0603777742693888
b_Shoreline:environ_PC2_mean	0.183345736884462	-0.0197947890934402	0.143322863826045
b_Shoreline:Settlement_date_grouping_finer_mean	0.405567054302948	0.938756498827586	0.570008678694828
b_Intercept_sd	0.147681969563549	0.153042245916302	0.148450043688469
b_environ_PC1_sd	0.154125178584108	0.136663302154503	0.149591725466191
b_Shoreline_sd	0.182752140378032	0.171787409327287	0.178697410815941
b_environ_PC2_sd	0.181470409858361	0.164153569687903	0.161968917133744
b_EA033_sd	0.124899414731925	0.0698230078298532	0.0614218901774908
b_Settlement_date_grouping_finer_sd	0.152763979869012	0.1689003887097	0.142337809236046
b_environ_PC1:Shoreline_sd	0.107361670102907	0.114952537624402	0.10262390097074
b_Shoreline:environ_PC2_sd	0.131397541647755	0.147378116401164	0.12991032799016
b_Shoreline:Settlement_date_grouping_finer_sd	0.12520270922541	0.15201340573901	0.128379551917006
b_Intercept_min	-0.720296	-0.830134	-0.886509
b_environ_PC1_min	-0.793346	-0.428722	-0.829609
b_Shoreline_min	-0.56346	0.360215	-0.285358
b_environ_PC2_min	-0.809862	-1.41723	-1.02098
b_EA033_min	-0.566482	-1.17806	-1.20947
b_Settlement_date_grouping_finer_min	-0.590786	-0.316706	0.0102826
b_environ_PC1:Shoreline_min	-0.719836	-0.197121	-0.497491
b_Shoreline:environ_PC2_min	-0.409342	-0.650517	-0.428941
b_Shoreline:Settlement_date_grouping_finer_min	-0.0956197	0.317505	0.01775
b_Intercept_max	0.498463	0.547883	0.481497
b_environ_PC1_max	0.557803	0.671055	0.375248
b_Shoreline_max	0.944918	1.79201	1.21288
b_environ_PC2_max	0.86701	-0.0215684	0.437747
b_EA033_max	0.539436	-0.554615	-0.686751
b_Settlement_date_grouping_finer_max	0.749578	1.06258	1.27667
b_environ_PC1:Shoreline_max	0.15565	0.786061	0.387431
b_Shoreline:environ_PC2_max	0.720045	0.633412	0.658501
b_Shoreline:Settlement_date_grouping_finer_max	0.961534	1.60997	1.1802
b_Intercept_straddle_zero	yes	yes	yes
b_environ_PC1_straddle_zero	yes	yes	yes
b_Shoreline_straddle_zero	yes	no	yes
b_environ_PC2_straddle_zero	yes	no	yes
b_EA033_straddle_zero	yes	no	no
b_Settlement_date_grouping_finer_straddle_zero	yes	yes	no
b_environ_PC1:Shoreline_straddle_zero	yes	yes	yes
