group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count
Vanuatu + Temotu	110.6544	14.64539550169063	58	174	19.345600000000005	19.345600000000005	130
New Caledonia (incl loyalties)	28.9522	7.324525925136917	6	61	5.047799999999999	5.047799999999999	34
Fiji	16.0142	4.797718225366825	4	38	-8.014199999999999	8.014199999999999	8
Chuuk	4.835	2.393939868670364	0	17	1.165	1.165	6
Laguas yan gåni	16.9322	5.171332268162893	2	41	-13.932200000000002	13.932200000000002	3
Pohnpei	0.3015	0.5522936291731805	0	4	2.6985	2.6985	3
Luangiua + Nukumanu	4.3654	2.366652265182705	0	18	-2.3654	2.3654	2
Niu + Tuvalu	1.6365	1.3524609661896	0	8	0.36349999999999993	0.36349999999999993	2
Te Henua ‘Enana + Te Fenua ’Enata	0.953	1.1158474409842751	0	10	1.0470000000000002	1.0470000000000002	2
Ulithi + Yap	1.073	1.0547901489044267	0	6	0.927	0.927	2
Woleai	0.6801	0.8574599196180397	0	8	1.3199	1.3199	2
Aotearoa	1.7325	1.7801855678736436	0	16	-0.7324999999999999	0.7324999999999999	1
Banaba	0.1304	0.3666187132813774	0	3	0.8696	0.8696	1
Bellona + Rennelle	0.7461	0.8963900610304375	0	6	0.2539	0.2539	1
East Futuna	0.5304	0.7435933923276291	0	6	0.4696	0.4696	1
Hawaii	0.0712	0.2696995249965753	0	3	0.9288	0.9288	1
Hereheretue	0.6872	0.8378701347083948	0	6	0.31279999999999997	0.31279999999999997	1
Kapingamarangi	2.0207	1.550326372473267	0	12	-1.0207000000000002	1.0207000000000002	1
Kosrae	0.0987	0.30914052918806795	0	2	0.9013	0.9013	1
Mangaia	0.4676	0.7034200167552791	0	5	0.5324	0.5324	1
Mangareva	1.3661	1.1898791414413161	0	9	-0.3661000000000001	0.3661000000000001	1
Marutea	1.4376	1.2341225813729306	0	10	-0.4376	0.4376	1
Morane	2.6534	2.0824749962991205	0	16	-1.6534	1.6534	1
Māngarongaro	0.7415	0.8753024422658398	0	6	0.25849999999999995	0.25849999999999995	1
Napuka	0.3861	0.6325083372412319	0	6	0.6139	0.6139	1
Ngatik	0.0492	0.222225782549737	0	2	0.9508	0.9508	1
Ngā Pū Toru	0.6139	0.8005566057986835	0	7	0.3861	0.3861	1
Niue	0.3475	0.5996496543572731	0	5	0.6525000000000001	0.6525000000000001	1
Nukuoro	2.9058	2.012692587839811	0	14	-1.9058000000000002	1.9058000000000002	1
Nukutaveke 59	1.3775	1.2181716398826652	0	7	-0.37749999999999995	0.37749999999999995	1
Nukutaveke 61	1.3783	1.2045473022759803	0	7	-0.3783000000000001	0.3783000000000001	1
Palau	3.8565	2.114415953752371	0	14	-2.8565	2.8565	1
Pukapuka	0.4208	0.6617938932293888	0	5	0.5791999999999999	0.5791999999999999	1
Raivavae	1.2753	1.1833215687181144	0	7	-0.2753000000000001	0.2753000000000001	1
Rakahanga-Manihiki	0.9577	1.0048938705998345	0	7	0.042300000000000004	0.042300000000000004	1
Rapa Nui	0.4387	0.6892675960625874	0	5	0.5613	0.5613	1
Raro Matai + Nia Matai	0.2372	0.4886307767666711	0	3	0.7628	0.7628	1
Rarotonga	0.5682	0.7614504190517379	0	5	0.43179999999999996	0.43179999999999996	1
Ratak + Rālik	1.0491	1.046326273141885	0	7	-0.04909999999999992	0.04909999999999992	1
Rimatara	0.6884	0.8684358687236545	0	6	0.3116	0.3116	1
Rotuma	0.1299	0.36171684216717187	0	3	0.8701	0.8701	1
Rurutu	0.7187	0.8821837307576474	0	9	0.2813	0.2813	1
Rēkohou	1.9426	1.6194343138113614	0	12	-0.9426000000000001	0.9426000000000001	1
Sorol	0.258	0.5393190952568349	0	5	0.742	0.742	1
Sāmoa	2.669	1.7226536951968487	0	12	-1.669	1.669	1
Tatakoto + Reao	0.7009	0.8458786798791582	0	5	0.29910000000000003	0.29910000000000003	1
Tokelau	1.2757	1.1806900155804185	0	10	-0.27570000000000006	0.27570000000000006	1
Tonga	3.9523	2.0467641863105372	0	13	-2.9523	2.9523	1
Tuamotu + Puka-puka	1.7171	1.5737583237353037	0	12	-0.7171000000000001	0.7171000000000001	1
Tungaru	4.3436	2.332269921835556	0	17	-3.3436000000000003	3.3436000000000003	1
Tupuai	0.8737	0.9817559240816666	0	6	0.12629999999999997	0.12629999999999997	1
Tureia	1.0001	1.024990268492853	0	7	-9.999999999998899e-5	9.999999999998899e-5	1
Tuvalu 31	1.6283	1.3421323488852328	0	9	-0.6283000000000001	0.6283000000000001	1
Tuvalu 32	1.644	1.344933040894025	0	9	-0.6439999999999999	0.6439999999999999	1
Uvea (Wallis)	0.5783	0.786975884703153	0	6	0.42169999999999996	0.42169999999999996	1
Ānewetak	0.0545	0.23266964459583384	0	2	0.9455	0.9455	1
