dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Intercept_mean	b_EA033_mean	b_Carrying_capactiy_PC1:Shoreline_mean	b_Shoreline:Carrying_capactiy_PC2_mean	b_Shoreline:Settlement_date_grouping_finer_mean	b_Intercept_sd	b_EA033_sd	b_Carrying_capactiy_PC1:Shoreline_sd	b_Shoreline:Carrying_capactiy_PC2_sd	b_Shoreline:Settlement_date_grouping_finer_sd	b_Intercept_min	b_EA033_min	b_Carrying_capactiy_PC1:Shoreline_min	b_Shoreline:Carrying_capactiy_PC2_min	b_Shoreline:Settlement_date_grouping_finer_min	b_Intercept_max	b_EA033_max	b_Carrying_capactiy_PC1:Shoreline_max	b_Shoreline:Carrying_capactiy_PC2_max	b_Shoreline:Settlement_date_grouping_finer_max	dropped_observation_prediction_mean	dropped_observation_prediction_diff_mean
Vanuatu + Temotu	1.000028480622535	101513.01100005965	82654.80506782717	0.8145438596491228	11.0797	116.9203	0.3611081308601983	-1.3513300427847585	-1.9547346758510344	0.30660045551572623	4.775075758275862	0.2817633547282601	0.5304230296613598	0.9407359843451373	0.7276446613581711	0.389233210574202	-0.815182	-3.48099	-6.00616	-3.05111	3.20304	1.40191	0.776737	1.96605	2.89394	6.38912	11.0797	116.9203
New Caledonia (incl loyalties)	1.000034237354525	76688.591942134	74218.13553428715	2.499263157894737	110.8643	76.8643	0.5847461123778276	-4.954017013275862	-0.7577946884657155	1.8467094123055172	6.935726138965517	0.2752916559475658	0.3770420865110993	0.9182245886605584	0.5671313907272565	0.45285062287868594	-0.550526	-6.93837	-4.64406	-1.10748	5.12894	1.68174	-3.54762	2.71419	4.04184	8.99532	110.8643	76.8643
Fiji	1.0000535984948757	78004.93822964357	74539.37554937194	2.818280701754386	4.2416	3.7584	0.7541284214678117	-5.836597841724138	0.907470990558582	1.6982866366273948	5.528217902586207	0.26971864525850975	0.42699119889573434	0.7870491920493076	0.6357289696576377	0.29569144724142127	-0.422625	-7.76401	-2.51332	-1.32477	4.32865	2.03735	-3.8871000000000002	4.10431	4.04107	6.7239	4.2416	3.7584
Chuuk	1.000046750336691	77660.97506458552	74670.25225277229	2.950842105263158	7.2625	1.2625000000000002	0.684206515310336	-5.585443777241379	1.083858199833776	1.5964977274758259	5.562497931551724	0.27526333552876947	0.3953642525642975	0.8200449097463953	0.644315176004683	0.2938022162946103	-0.456765	-7.21484	-2.10861	-1.95648	4.35106	1.77463	-4.03805	4.45853	4.05411	6.73642	7.2625	1.2625000000000002
Laguas_yan_gani	1.0000190610821973	82139.24499777985	72572.88616563832	1.8787017543859648	75.0532	72.0532	1.6365222641551724	-6.279136815	-0.36821850075676205	-0.4874106254368431	6.056891289482759	0.2688483652032814	0.4029196958541671	0.7983064850148232	0.9311462077422379	0.32484432352475384	0.387882	-7.88655	-4.41992	-5.39126	4.71253	2.75067	-4.49889	3.10503	2.64312	7.59529	75.0532	72.0532
Pohnpei	1.0000277257473886	76164.41725266761	74273.16343554019	2.8741578947368422	0.3452	2.6548	0.7137294995139828	-5.7903141689655175	0.8429805179559531	1.7178640582167242	5.635348249655173	0.2760148142005157	0.40433840879713556	0.799617325294883	0.6354951783803157	0.29464496602662243	-0.586581	-7.4543	-3.03346	-1.34006	4.41253	1.78264	-4.28877	4.10225	3.98783	6.9487	0.3452	2.6548
Waab	1.000047890850898	75833.43749775448	74707.71268981244	2.943280701754386	2.7212	0.27879999999999994	0.7105541904073276	-5.606717130862069	0.9509526847781	1.5924824831908	5.583969607413793	0.2717644880131971	0.39733153131831744	0.7844068421257481	0.6471941490654161	0.2923917035018217	-0.60143	-7.23697	-2.32413	-1.32508	4.37178	1.84384	-4.07612	4.60649	3.97274	6.86466	2.7212	0.27879999999999994
Anuta-Tikopia	1.0000108616699468	76103.3640189457	74677.61756485264	2.9336140350877193	0.7933	1.2067	0.6214958658570436	-5.645922137758621	1.1671345625009828	1.703333833868	5.600453503275862	0.282418903397488	0.39708305677696915	0.7920038677030828	0.6455390134548452	0.2933197435069027	-0.653564	-7.14378	-1.97164	-1.28697	4.4469	1.72929	-3.71564	4.56314	4.36191	6.87148	0.7933	1.2067
Marquesas	1.000034117636133	79345.92822486177	75949.58237394685	2.886035087719298	5.8081	3.8080999999999996	0.7746841670762069	-5.621199968620689	1.0895978047158585	1.4156440498690068	5.483093918448276	0.2656711185497282	0.3922702936337087	0.763036940898501	0.6709033224981187	0.2972563401401601	-0.393066	-7.25891	-2.27412	-2.1058500000000002	4.16152	1.77012	-3.99137	4.59569	3.77224	6.69523	5.8081	3.8080999999999996
Nukumanu-Luangiua	1.0000324699552103	75361.40355125908	75636.21820081881	2.912421052631579	4.4078	2.4078	0.720714030998112	-5.676279418620689	1.0946091567707619	1.709885334029293	5.4742002089655175	0.26686791506531016	0.39901844059498554	0.7747608847025946	0.629455935798106	0.3048750394598369	-0.4561	-7.52209	-2.39833	-1.43	4.19198	1.64619	-3.99457	4.18178	4.02161	6.79884	4.4078	2.4078
Satawal	1.0000951349503922	76415.22400241563	75387.62640356325	2.9348947368421054	0.7611	1.2389000000000001	0.6668572145255397	-5.641607075689655	1.0421018335464383	1.6427964799022585	5.605456263448276	0.27416265757983266	0.40021909931739513	0.7791505092670992	0.6426994422794959	0.29415478978092136	-0.628697	-7.2935	-2.2533	-1.94599	4.33741	1.7438	-4.05207	5.07064	3.98737	6.99623	0.7611	1.2389000000000001
Tuvalu	1.0000221568006007	76709.65908386186	75289.13253481891	2.943877192982456	3.3895	1.3895	0.6850241183180172	-5.593573778965517	1.0961589938143252	1.654865684889135	5.53269739224138	0.27055801641764804	0.39122346039521766	0.7827190071989499	0.6407769753092445	0.29511914531326355	-0.495888	-7.22417	-2.22276	-1.20952	4.42151	1.81021	-3.7768	4.59632	4.0758	6.78671	3.3895	1.3895
Anewetak	1.0000290550939315	78995.06674185267	75981.06200219654	2.9210877192982454	0.1914	0.8086	0.6879976983033248	-5.664040108620689	1.0067363736065793	1.6463591501505863	5.592684017758621	0.27171949192469874	0.3970630146428448	0.7819507241522863	0.6462088798574958	0.29265155340055476	-0.411262	-7.37167	-2.05816	-1.6095	4.36536	1.76582	-4.0148	4.30715	3.9402	6.85493	0.1914	0.8086
Aotearoa	1.000019635788715	79210.80647448477	73892.50033621417	2.923385964912281	19.4557	18.4557	0.6875134684922707	-5.9887543884482755	0.52159623729005	3.40240719856	5.280728278448276	0.2688204015775398	0.4418478940127464	0.7895529417187437	1.0254675413459131	0.30642398202839366	-0.601856	-7.90987	-2.92318	-1.30486	4.15613	1.86747	-3.68687	3.80538	7.51771	6.5823	19.4557	18.4557
Banaba	1.0000378115003028	75387.33760414172	74742.77323572629	2.9476666666666667	0.308	0.692	0.6557695584160672	-5.641616696551724	1.0952830791438604	1.6693863999159482	5.589420060172414	0.2750144229319938	0.3966890409765974	0.7815581980969839	0.6459804191449391	0.2949194765526317	-0.473163	-7.11365	-2.33685	-1.46464	4.43854	1.74662	-3.9857	4.41478	4.16317	6.84057	0.308	0.692
East Futuna	1.0000513188442732	78268.85156758108	75942.15814197875	2.9508070175438594	1.1971	0.19710000000000005	0.7178723284514655	-5.590936494482759	0.9533503418846724	1.5753989307537841	5.571982786034483	0.27301985359328257	0.3970478941287616	0.7856152779379865	0.645544711001063	0.2917543132418983	-0.510174	-7.25524	-2.33868	-1.62055	4.40033	1.88617	-3.80662	4.09266	3.88224	6.85493	1.1971	0.19710000000000005
Hawai'i	1.0000043307958637	77136.78366516093	75279.60967304595	2.934982456140351	0.0343	0.9657	0.7024239616338621	-5.698486070344828	0.9817376633345931	1.604092434180862	5.607882273103448	0.2706332070380605	0.3953185429204187	0.7777501830613182	0.6442330095249745	0.29562279342753395	-0.558623	-7.37665	-2.52513	-1.46486	4.36651	1.76176	-4.08518	4.44205	4.02033	6.8477	0.0343	0.9657
Hereheretue	1.0000373626792163	76195.2569692861	74355.66038381662	2.9616315789473684	0.6392	0.3608	0.6953486033389655	-5.611972793448276	0.9974230186674	1.602597026212724	5.585373486551724	0.27090211863378755	0.3948336532738942	0.7780362539633003	0.6493942914404296	0.29352051644103594	-0.591548	-7.3415	-2.19276	-1.73	4.2897	1.79313	-4.0917	4.45236	4.06134	6.84891	0.6392	0.3608
Kapingamarangi	1.0000517848096315	78002.7761308111	76489.73265027351	2.90059649122807	3.9154	2.9154	0.8081956791160517	-5.638213621724138	0.8447287646591115	1.5676837510950863	5.4920439503448275	0.27133000751624464	0.38958572585717105	0.77476139722397	0.6220499041337513	0.2957895092442713	-0.559095	-7.30015	-2.67494	-1.79778	4.374	1.99688	-4.12957	4.06984	4.20073	6.69483	3.9154	2.9154
Kosrae	1.0000420077583745	75823.52628132644	75347.2746938473	2.927157894736842	0.1566	0.8434	0.6782459440933276	-5.674659657068966	1.0253515133711846	1.6753682678536896	5.5919890831034484	0.27359572593401027	0.39805492314258634	0.7852037929738244	0.6373613509393785	0.2926862960280854	-0.636013	-7.41924	-2.4036	-1.16781	4.45506	1.88739	-4.04948	4.47059	3.92146	6.9871	0.1566	0.8434
Mangaia	1.000050036109631	75094.9522440738	74515.7785753795	2.930684210526316	0.3956	0.6044	0.6702841782088621	-5.626192166896551	1.062752789258319	1.636762425270707	5.58801881362069	0.27324283441295427	0.397950276399221	0.7810525468219206	0.6489914736550857	0.29459755638402624	-0.512686	-7.53707	-2.18243	-1.25918	4.15544	1.70356	-4.09929	4.20146	4.03479	7.00408	0.3956	0.6044
Mangareva	1.0000363611408634	74789.59780542267	74353.45097249757	2.947438596491228	0.9724	0.027599999999999958	0.7092172148246064	-5.597721482931035	0.9682473553065913	1.5845719962513964	5.577695070689655	0.26849708656449095	0.39538787692977395	0.7686142352621722	0.6407310832411348	0.2936251248373671	-0.539506	-7.32231	-1.97573	-2.19669	4.34635	1.69027	-3.98876	4.23575	3.93349	6.85429	0.9724	0.027599999999999958
Mangarongaro	1.0000339791091128	74409.0137104025	73844.01353481883	2.9435087719298245	0.5411	0.4589	0.7034641903333448	-5.608656811551724	0.9580909228522069	1.5936585845376616	5.594331772586207	0.270440796004912	0.3961945918163422	0.783177072596507	0.64265127784146	0.29331304200622005	-0.573175	-7.22661	-2.60652	-1.44378	4.33815	1.78379	-3.93996	4.17463	3.93588	6.80916	0.5411	0.4589
Marutea	1.0000390072899392	78876.20012913427	74374.91855514799	2.971438596491228	1.0804	0.08040000000000003	0.7120662714871897	-5.595016479482759	0.9631589695671862	1.5861593273675	5.575067037413793	0.27040268359283776	0.3921803128949275	0.7793708358036123	0.643212394525472	0.29433012446819923	-0.571156	-7.62171	-2.60264	-1.9201	4.42167	1.75238	-4.09481	4.38753	3.84634	6.73356	1.0804	0.08040000000000003
