group	mean	sd	min	max	diff_poission	lg_count
Vanuatu + Temotu	83.7548	12.050892056604606	45	140	44.2452	128
New Caledonia (incl loyalties)	28.6934	7.017942831924411	9	67	5.3065999999999995	34
Fiji	11.8464	3.823358320493214	1	30	3.846399999999999	8
Chuuk	6.0315	2.661957240760107	0	19	0.031500000000000306	6
Laguas_yan_gani	42.3957	7.795177867746122	18	73	39.3957	3
Pohnpei	0.4119	0.6467458681907463	0	4	2.5881	3
Waab	2.7835	1.7100643794951702	0	12	0.21649999999999991	3
Anuta-Tikopia	1.8337	1.4278123738143893	0	11	0.1662999999999999	2
Marquesas	2.4809	1.6524854797625554	0	12	0.4809000000000001	2
Nukumanu-Luangiua	1.7107	1.3536575449037647	0	9	0.2892999999999999	2
Satawal	0.7235	0.8681722883807288	0	6	1.2765	2
Tuvalu	2.3916	1.6160168907097185	0	11	0.39159999999999995	2
Anewetak	0.2725	0.5229446405784373	0	4	0.7275	1
Aotearoa	4.9607	3.059884278723612	0	30	3.9607	1
Banaba	0.3734	0.6227449085477232	0	5	0.6266	1
East Futuna	1.2843	1.1595723223659142	0	8	0.2843	1
Hawai'i	0.063	0.25186771078161935	0	3	0.937	1
Hereheretue	0.6018	0.7832612015228261	0	5	0.3982	1
Kapingamarangi	2.1835	1.5150766633175936	0	12	1.1835	1
Kosrae	0.2155	0.4659200126049691	0	3	0.7845	1
Mangaia	0.4717	0.698317889494089	0	8	0.5283	1
Mangareva	0.9135	0.9621384105377475	0	6	0.08650000000000002	1
Mangarongaro	0.3736	0.6112776832509135	0	4	0.6264000000000001	1
Marutea	0.9426	0.9836676268943795	0	7	0.05740000000000001	1
Mo-ava-mo-iki	1.4735	1.2404239658929184	0	8	0.47350000000000003	1
Morane	0.5319	0.7272106115337927	0	5	0.46809999999999996	1
Napuka	0.5449	0.7407015957086825	0	6	0.45509999999999995	1
Nga Pu Toru	0.7361	0.8619345004745493	0	6	0.2639	1
Nia Matai	0.2284	0.47755234856983214	0	4	0.7716000000000001	1
Niue	0.7584	0.9090170907123368	0	7	0.24160000000000004	1
Nukuoro	1.6359	1.307708759709142	0	10	0.6358999999999999	1
Nukutaveke	0.9722	1.0025605581546069	0	7	0.027800000000000047	1
Palau	6.8389	2.703419619253322	0	19	5.8389	1
Paumotu	1.5683	1.3300045117217159	0	10	0.5683	1
Puka-puka	0.6036	0.7805946277020357	0	8	0.3964	1
Pukapuka	0.4113	0.6463544595720996	0	5	0.5887	1
Raivavae	0.6189	0.7914072419066268	0	6	0.3811	1
Rakahanga-Manihiki	0.3653	0.6065415890686532	0	5	0.6347	1
Ralik	1.2633	1.1693202474019246	0	9	0.2633000000000001	1
Rapa Nui	0.4568	0.6752624363429329	0	4	0.5432	1
Raro Matai	0.1429	0.375624412638392	0	3	0.8571	1
Rarotonga	0.6156	0.7971826578764756	0	5	0.38439999999999996	1
Ratak	1.4168	1.241785796019716	0	9	0.41680000000000006	1
Reao	0.7094	0.8477166403641225	0	6	0.29059999999999997	1
Rekohou	0.9338	0.9836230535276932	0	6	0.06620000000000004	1
Rimatara	0.4449	0.670230490869439	0	5	0.5550999999999999	1
Rotuma	0.1327	0.3648342368830538	0	3	0.8673	1
Rurutu	0.5038	0.7205813512354972	0	6	0.4962	1
Samoa	1.8558	1.3962812467880579	0	9	0.8557999999999999	1
Sorol	0.6869	0.8333893710531581	0	6	0.31310000000000004	1
Tatakoto	0.6785	0.8231679722578225	0	5	0.3215	1
Tokelau	0.524	0.7313531894705696	0	6	0.476	1
Tonga	6.2998	2.643750915250941	0	18	5.2998	1
Tungaru	5.6974	2.5721770641783097	0	18	4.6974	1
Tupuai	0.5144	0.7148732365772532	0	4	0.48560000000000003	1
Tureia	0.6956	0.8360685026085514	0	5	0.3044	1
Uvea (Wallis)	1.8531	1.3656159345467775	0	9	0.8531	1
Woleai	0.9468	0.9723498888932127	0	8	0.053200000000000025	1
