rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	environ_PC3	Shoreline	mean_posterior_predict_nd
1	1	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.5608384443651109
2	1	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.644890680306548
3	1	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.733840368469286
4	1	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.8398981090762072
5	1	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.9572829538835657
6	1	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.090167717487396
7	1	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.226232875334271
8	1	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.360142366222975
9	1	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.5260149388043156
10	1	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.7512005418610026
11	1	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.9718667192472794
12	2	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8897138035723858
13	2	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9359478082516471
14	2	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9849863785283102
15	2	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.043909294049721
16	2	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1094961870198585
17	2	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1829674689886038
18	2	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.259437551019415
19	2	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.3350139325125463
20	2	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.4296210003027452
21	2	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.5582873350853301
22	2	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.684939900306776
23	3	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6827185504117103
24	3	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7172826565872803
25	3	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7543018558743149
26	3	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7985494232516551
27	3	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.847695599380979
28	3	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.903061188046036
29	3	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9610342494863732
30	3	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0179396733533188
31	3	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0899965863525591
32	3	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1884217873327199
33	3	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.2844700176413575
34	4	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9818014569878929
35	4	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0074584290424995
36	4	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0372058414011815
37	4	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0707457553898132
38	4	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1061298289948907
39	4	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1490304195008694
40	4	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.19729870178922
41	4	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.2400153639691303
42	4	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.30260994268425
