term	variable	value
Intercept	mean	0.255412544182279
environ_PC1	mean	-0.194663851728479
Shoreline	mean	0.303158338514793
environ_PC2	mean	0.0421846491153567
environ_PC3	mean	0.156370158045225
environ_PC1:Shoreline	mean	-0.0120180039071838
Shoreline:environ_PC2	mean	-0.344129406537709
Shoreline:environ_PC3	mean	0.0916034510094333
moEA033	mean	-0.430874397167888
moSettlement_date_grouping_finer	mean	0.0699271253942378
moEA033:Shoreline	mean	-0.391252449564736
moSettlement_date_grouping_finer:Shoreline	mean	0.0918728317733172
sd_phylo_id__Intercept	mean	0.698124056896552
simo_moEA0331[1]	mean	0.444636944281822
simo_moEA0331[2]	mean	0.246866769965962
simo_moEA0331[3]	mean	0.308496283465425
simo_moSettlement_date_grouping_finer1[1]	mean	0.105814641117592
simo_moSettlement_date_grouping_finer1[2]	mean	0.0997788431355406
simo_moSettlement_date_grouping_finer1[3]	mean	0.102082534654873
simo_moSettlement_date_grouping_finer1[4]	mean	0.101516564045195
simo_moSettlement_date_grouping_finer1[5]	mean	0.10142539830986
simo_moSettlement_date_grouping_finer1[6]	mean	0.096927194444816
simo_moSettlement_date_grouping_finer1[7]	mean	0.0919545048210722
simo_moSettlement_date_grouping_finer1[8]	mean	0.097286335157866
simo_moSettlement_date_grouping_finer1[9]	mean	0.107524911633336
simo_moSettlement_date_grouping_finer1[10]	mean	0.0956890739578884
simo_moEA033:Shoreline1[1]	mean	0.44419849940199
simo_moEA033:Shoreline1[2]	mean	0.267071944028495
simo_moEA033:Shoreline1[3]	mean	0.288729555896454
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.108990818653996
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.102372235028556
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0939998220232862
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0938238919176974
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0944028132626733
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0951701302882826
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.0939175829371667
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.100903674668506
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.118761976979848
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0976570506111469
r_phylo_id[Ambae,Intercept]	mean	0.656084795816435
r_phylo_id[Ambrym,Intercept]	mean	1.01169558178255
r_phylo_id[Aneityum,Intercept]	mean	0.158307456387587
r_phylo_id[Anuta,Intercept]	mean	-0.15524135174217
r_phylo_id[Aore,Intercept]	mean	0.676190120380498
r_phylo_id[Aotearoa,Intercept]	mean	-0.236808622117138
r_phylo_id[Avaiki.Nui.(south),Intercept]	mean	-0.241739725730237
r_phylo_id[Chuuk,Intercept]	mean	-0.388827504860421
r_phylo_id[Duff.+.Reef.Islands,Intercept]	mean	0.0862942870780741
r_phylo_id[East.Futuna,Intercept]	mean	-0.191006116283303
r_phylo_id[Efate,Intercept]	mean	0.946065610494276
r_phylo_id[Erromango,Intercept]	mean	0.208915954103662
r_phylo_id[Futuna.+.Aniwa,Intercept]	mean	-0.33040450495409
r_phylo_id[Hawaii,Intercept]	mean	-0.150230241163317
r_phylo_id[Hiu,Intercept]	mean	0.448806584491705
r_phylo_id[Kadavu,Intercept]	mean	-0.336754450270169
r_phylo_id[Kanaky.(New.Caledonia.main.island),Intercept]	mean	-0.0242616459139845
r_phylo_id[Kapingamarangi,Intercept]	mean	-0.208764666316333
r_phylo_id[Kosrae,Intercept]	mean	-0.291838835434598
r_phylo_id[Laguas.yan.gåni.(Guam.+.Northern.Marianas),Intercept]	mean	-0.391325837630507
r_phylo_id[Lau,Intercept]	mean	-0.344414071571621
r_phylo_id[Lifou,Intercept]	mean	0.00268976471275103
r_phylo_id[Loh-Toga,Intercept]	mean	0.432441259315941
r_phylo_id[Luangiua,Intercept]	mean	-0.219944206194503
r_phylo_id[Maewo,Intercept]	mean	0.644254232744522
r_phylo_id[Malakula,Intercept]	mean	1.10141688103543
r_phylo_id[Mangareva,Intercept]	mean	-0.281493893509445
r_phylo_id[Māngarongaro,Intercept]	mean	-0.225660696323957
r_phylo_id[Mo-ava-mo-iki.(Bellona.+.Rennelle),Intercept]	mean	-0.229882709509566
r_phylo_id[Mota,Intercept]	mean	0.476513856356983
r_phylo_id[Mota.Lava,Intercept]	mean	0.479023797789402
r_phylo_id[Nengone,Intercept]	mean	0.00471607723098621
r_phylo_id[Niue,Intercept]	mean	-0.264666135188883
r_phylo_id[Nukuoro,Intercept]	mean	-0.209828907989102
r_phylo_id[Paama,Intercept]	mean	0.958584994089707
r_phylo_id[Palau,Intercept]	mean	-0.438890525063922
r_phylo_id[Pentecost,Intercept]	mean	0.994955330423603
r_phylo_id[Pohnpei,Intercept]	mean	-0.329900741904141
r_phylo_id[Pukapuka,Intercept]	mean	-0.225299990588509
r_phylo_id[Raivavae,Intercept]	mean	-0.217421685786167
r_phylo_id[Rakahanga-Manihiki,Intercept]	mean	-0.248354249074495
r_phylo_id[Rapa.Nui,Intercept]	mean	-0.280014301408746
