term	variable	value
Intercept	mean	0.317349231657218
environ_PC1	mean	-0.134238241157904
Shoreline	mean	0.328417201888048
environ_PC2	mean	0.269580728810584
environ_PC3	mean	0.00764436337805983
environ_PC1:Shoreline	mean	0.110892923672068
Shoreline:environ_PC2	mean	-0.139232958785089
Shoreline:environ_PC3	mean	0.0975994609827357
moEA033	mean	-0.627673163271672
moSettlement_date_grouping_finer	mean	0.123560062281047
moEA033:Shoreline	mean	-0.350710510364643
moSettlement_date_grouping_finer:Shoreline	mean	0.0939554822769771
sd_spatial_id__Intercept	mean	0.429583331681034
simo_moEA0331[1]	mean	0.522997581150638
simo_moEA0331[2]	mean	0.215150501921042
simo_moEA0331[3]	mean	0.26185191708437
simo_moSettlement_date_grouping_finer1[1]	mean	0.108879117119298
simo_moSettlement_date_grouping_finer1[2]	mean	0.105186905687148
simo_moSettlement_date_grouping_finer1[3]	mean	0.102302335096996
simo_moSettlement_date_grouping_finer1[4]	mean	0.0990573881134528
simo_moSettlement_date_grouping_finer1[5]	mean	0.0984529889305338
simo_moSettlement_date_grouping_finer1[6]	mean	0.0956732964876058
simo_moSettlement_date_grouping_finer1[7]	mean	0.0931891014496002
simo_moSettlement_date_grouping_finer1[8]	mean	0.101924217213608
simo_moSettlement_date_grouping_finer1[9]	mean	0.117228616020246
simo_moSettlement_date_grouping_finer1[10]	mean	0.0781060358536887
simo_moEA033:Shoreline1[1]	mean	0.411589455148091
simo_moEA033:Shoreline1[2]	mean	0.288518130541438
simo_moEA033:Shoreline1[3]	mean	0.299892412643933
simo_moSettlement_date_grouping_finer:Shoreline1[1]	mean	0.106502416748888
simo_moSettlement_date_grouping_finer:Shoreline1[2]	mean	0.104102506344666
simo_moSettlement_date_grouping_finer:Shoreline1[3]	mean	0.0937115667792543
simo_moSettlement_date_grouping_finer:Shoreline1[4]	mean	0.0955498061720007
simo_moSettlement_date_grouping_finer:Shoreline1[5]	mean	0.0951495844434304
simo_moSettlement_date_grouping_finer:Shoreline1[6]	mean	0.0944071334086548
simo_moSettlement_date_grouping_finer:Shoreline1[7]	mean	0.0969966277727538
simo_moSettlement_date_grouping_finer:Shoreline1[8]	mean	0.10242057761831
simo_moSettlement_date_grouping_finer:Shoreline1[9]	mean	0.121093908341427
simo_moSettlement_date_grouping_finer:Shoreline1[10]	mean	0.0900658677965961
r_spatial_id[Ambae,Intercept]	mean	-0.146920305325039
r_spatial_id[Ambrym,Intercept]	mean	0.227061983983111
r_spatial_id[Aneityum,Intercept]	mean	-0.102098646213606
r_spatial_id[Anuta,Intercept]	mean	0.0308698680165636
