variable	Malakula	Kanaky (New Caledonia main isl+)	Santo	Ambrym	Efate	Pentecost	Tanna	Viti Levu + Yasawa	Erromango	Laguas_yan_gani	Maewo	Vanua Lava	Ambae	Duff + Reef Isl+s	Tungaru + Tuvalu	Ureparapara	Aneityum	Anuta	Aore	Aotearoa	Chuuk	East Futuna	Futuna + Aniwa	Hawaii	Hiu	Kadavu	Kapingamarangi	Kosrae	Lau	Lifou	Loh-Toga	Luangiua	Mangareva	Mangarongaro	Marshall Isl+s (greater)	Mo-ava-mo-iki	Mota	Mota Lava	Nengone	Niue	North Marquesas	Nukuoro	Paama	Palau	Pohnpei	Pukapuka	Raivavae	Rakahanga-Manihiki	Rapa Nui	Rekohou	Rimatara	Rotuma	Rurutu	Samoa	Southern Cook Isl+s	Tahiti	Tikopia	Tokelau	Tonga	Tuamotu	Tupuai	Ulithi (greater)	Uvea (Wallis)	Woleai	Yap	NONE
b_Carrying_capactiy_PC1_max	5.79373	5.22182	4.76015	5.16237	5.29179	5.42234	5.6449	5.36292	5.25074	5.65346	6.06935	4.91042	5.28292	5.11083	5.52507	5.37031	5.20987	5.81306	5.11693	4.70896	5.73393	4.84263	5.39971	5.04864	5.19604	4.88413	5.70811	5.79124	5.14602	5.05439	5.07518	5.77714	4.68953	5.05176	5.05399	6.34813	4.89952	4.7982	6.32241	5.2073	5.31829	5.4124	4.83729	4.87872	4.81477	5.47255	5.12047	4.91464	5.17085	5.45379	4.85459	4.74791	5.12935	5.17804	4.89827	5.28024	5.19758	4.89942	5.52733	4.96284	5.50708	5.1865	4.59363	5.85972	5.62566	5.1381
b_Carrying_capactiy_PC1_min	-4.87098	-4.66015	-4.41343	-5.27214	-4.77509	-5.05801	-4.55086	-5.17765	-4.01376	-3.75844	-4.40826	-5.85135	-4.76634	-4.20526	-4.87445	-4.30965	-4.74292	-4.95541	-4.18994	-5.3675	-3.99696	-4.97646	-4.51979	-4.69934	-4.79457	-4.58829	-4.52753	-4.65025	-5.16264	-4.67708	-5.75849	-5.07159	-4.62497	-4.90806	-4.79683	-4.51491	-4.74743	-4.46152	-4.12344	-4.3717	-4.52099	-4.8902	-5.0873	-5.12795	-4.6506	-4.60502	-4.86388	-4.26012	-4.37735	-4.15318	-5.30986	-4.68598	-5.05846	-4.31612	-4.58113	-4.43145	-4.89542	-5.11074	-4.71421	-5.01515	-4.0441	-4.83462	-4.43768	-4.50891	-4.35847	-4.5944
b_Carrying_capactiy_PC1_mean	0.429480745060839	0.681248474176028	0.412081459225716	0.479368548441647	0.65907726315226	0.601510545819472	0.856725611417741	0.651952524600628	0.692145945928129	0.890071925891843	0.58919015790699	0.581661112949335	0.6354980874042	0.571791593014381	0.779872717973409	0.612360379391893	0.563947023558878	0.6290175836548	0.463078817281495	-0.0952301904197483	0.697029356021425	0.598827556097537	0.611864099431967	0.577607164301576	0.464211010801379	0.579131753702215	0.741471979134918	0.658086655024072	0.504546284929395	0.551975968590991	0.448069044307488	0.905352484032266	0.609975501954226	0.487061019036844	0.635470945123724	0.581799098131143	0.512857203977758	0.4822169061099	0.625928830384085	0.651036632652807	0.826807360344572	0.703771765834898	0.420113450277935	0.581565886763914	0.581750412040174	0.626973853600621	0.588834238866707	0.523019851548991	0.694418532595483	0.672764630746037	0.658052752797841	0.614073677069067	0.668787284186602	0.598410815741605	0.606545144980752	0.530062075182653	0.677365484450917	0.531864857412797	0.513941502347317	0.599723377163486	0.640109947210081	0.612440156153833	0.603921485916781	0.660616590458993	0.545759779028224	0.6069437143365
b_Intercept_max	0.819898	0.763101	0.859722	0.799124	0.75823	0.871132	0.853652	0.799959	0.796957	0.834122	0.82172	0.791422	0.869937	0.83585	0.796758	0.760058	0.924609	0.861365	0.860985	0.804536	0.809313	0.791935	0.853609	0.813379	0.915642	1.08362	0.838709	0.970859	0.867585	0.846444	0.908126	0.759959	0.843888	0.73499	0.763536	0.86768	0.922088	0.879059	0.884266	0.811104	0.836837	0.848764	0.961371	1.09174	0.851862	0.869051	0.829242	0.835782	0.779656	0.80134	0.812601	0.833895	0.819907	0.832927	0.826993	0.854657	0.728052	0.792659	0.758097	0.850998	0.787401	0.808897	0.919348	0.818991	0.870058	0.805188
b_Intercept_min	-1.1718	-1.46036	-1.26835	-1.34441	-1.34646	-1.17262	-1.38732	-1.20384	-1.26692	-1.22851	-1.07913	-1.3382	-1.07949	-1.17975	-1.10662	-1.22353	-1.18496	-1.23026	-1.18006	-1.25551	-1.25825	-1.22825	-1.26753	-1.21175	-1.15105	-1.1306	-1.10004	-1.22744	-1.34488	-1.18742	-1.15411	-1.31175	-1.2262	-1.12385	-1.16094	-1.31663	-1.38526	-1.05249	-1.24767	-1.24853	-1.24302	-1.25821	-1.17685	-1.12483	-1.2366	-1.20792	-1.27018	-1.28486	-1.4035	-1.13813	-1.37342	-1.2371	-1.22187	-1.15735	-1.13561	-1.44089	-1.30091	-1.19526	-1.22825	-1.21945	-1.35624	-1.3499	-1.13476	-1.20023	-1.27754	-1.30375
b_Intercept_mean	-0.112200761556257	-0.266708664086247	-0.0824551024317026	-0.173341977940039	-0.14252799167755	-0.122715602188193	-0.200408538096266	-0.127621206084579	-0.163651061277072	-0.0834693846171081	-0.0909202882952098	-0.0994056955126515	-0.103389187524047	-0.107239981638609	-0.14777244765957	-0.125010963630464	-0.106805288999162	-0.130073555993973	-0.0602136151940952	-0.139646808095267	-0.144685674813778	-0.121118555625722	-0.136802143160593	-0.123490711026589	-0.0809411094657091	-0.114990531328945	-0.120160353228803	-0.143007236812521	-0.133845566074215	-0.0971433904834572	-0.0641884402226879	-0.147685486429502	-0.124883755929481	-0.116673821468786	-0.127178278097616	-0.120024150856631	-0.0941615130449952	-0.0733459420293976	-0.131659408016887	-0.138930749222732	-0.124735819687548	-0.125820176970476	-0.0686321984689448	-0.124110947165472	-0.122013698071543	-0.139791514628767	-0.124943797952129	-0.122859392136543	-0.15145728622511	-0.132987980281717	-0.145608987332134	-0.142610822238543	-0.143418172792295	-0.121732860370061	-0.127783470012718	-0.11665109566441	-0.149237659405162	-0.116618596909147	-0.122305708376222	-0.120472166605622	-0.139235566138898	-0.122118932933874	-0.118867785712278	-0.125922988789674	-0.122172166763115	-0.121091169225267
b_Carrying_capactiy_PC2_max	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf
b_Carrying_capactiy_PC2_min	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
b_Carrying_capactiy_PC2_mean																																																																		
b_EA033_max	-0.626892	-1.57141	-0.991067	-1.40302	-1.54013	-1.24544	-1.32579	-1.53938	-1.61979	-1.69209	-1.53914	-1.45111	-1.59612	-1.51769	-1.5728	-1.61462	-1.36723	-1.41904	-1.53047	-1.67223	-1.50925	-1.5103	-1.35045	-1.50284	-1.33315	-1.45613	-1.43505	-1.51231	-1.2479	-1.52406	-1.74512	-1.51312	-1.43564	-1.39482	-1.44853	-1.60574	-1.53583	-1.61827	-1.40873	-1.66507	-1.5256	-1.56842	-1.51182	-1.57298	-1.30964	-1.51576	-1.5575	-1.44354	-1.5882	-1.41167	-1.47409	-1.63086	-1.5346	-1.41116	-1.37858	-1.52254	-1.54357	-1.47487	-1.38344	-1.47368	-1.33766	-1.51911	-1.44644	-1.5252	-1.51485	-1.58106
