variable	NONE	Malakula	Kanaky (New Caledonia main island)	Santo	Ambrym	Efate	Pentecost	Tanna	Viti Levu + Yasawa	Erromango	Laguas yan gåni	Maewo	Vanua Lava	Ambae	Duff + Reef Islands	Tungaru + Tuvalu	Ureparapara	Aneityum	Anuta	Aore	Aotearoa	Avaiki Nui (south)	Chuuk	East Futuna	Hawaii	Hiu	Kadavu	Kapingamarangi	Kosrae	Lau	Lifou	Loh-Toga	Luangiua	Mangareva	Mo-ava-mo-iki	Mota	Mota Lava	Māngarongaro	Nengone	Niue	Nukuoro	Paama	Palau	Pohnpei	Pukapuka	Raivavae	Rakahanga-Manihiki	Rapa Nui	Ratak + Rālik	Rimatara	Rotuma	Rurutu	Rēkohou	Sāmoa	Tahiti	Te Henua ‘Enana	Tikopia	Tokelau	Tonga	Tuamotu	Tupuai	Ulithi (greater)	Uvea (Wallis)	Woleai	Yap
mean_Rhat	1.00003146815197	1.00003013094133	1.00003869715154	1.00002086056794	1.00006587492529	1.00006241567852	1.00003630037941	1.00004394348641	1.00005225230695	1.00003767273283	1.00003141713736	1.00002692427789	1.00004813108005	1.00007473198353	1.00003830787166	1.00003509922381	1.0000410587809	1.00002936623841	1.00005368181133	1.0000476524866	1.00002614604778	1.00004299840308	1.00003131086739	1.0000694708601	1.00004706378461	1.00005304270209	1.00002476167514	1.00004972668825	1.00004930824805	1.00004095452245	1.00003449145034	1.00006537817641	1.00003523509459	1.00004377430754	1.00004453730764	1.00001324781122	1.00002131069908	1.00007393470123	1.00002203811211	1.00005602611603	1.0000876053632	1.00003548906739	1.00008445427226	1.00007195290447	1.00004744994026	1.00002680276237	1.00004102527639	1.00004015136619	1.00005917582049	1.00003919368486	1.00002056005708	1.00005529363937	1.000054034293	1.00004145192757	1.00005920863352	1.00005006962254	1.00004108317413	1.00002658816375	1.00005668615473	1.00003224739712	1.00003189764299	1.00004989289285	1.00006425732045	1.00002311101017	1.00003676511001
mean_Bulk_ESS	65891.1562214902	65176.9098100877	67940.891016168	65206.5914281599	65983.2242372155	65258.1834715592	64781.5108472737	66518.1050654053	66359.3837553718	67036.2639793046	68885.3979392051	66930.1661161394	68103.5254038938	65984.6628522499	67097.8939409062	61390.9605821834	66220.3106216624	65581.2721414307	61143.209910104	65307.5360979317	68833.4662131335	66039.700670406	64978.2901623198	67224.3138254209	67749.9803950678	67159.4345275578	68086.8684276151	64180.3064858328	66786.0287087244	68185.2788716741	66403.4602714587	66107.0606971067	64595.1629514738	64817.1226150952	67105.1763670862	66500.5426084092	66715.5276112517	64458.9732020964	67047.8215460293	65639.1775780394	65964.5795515048	66066.22253461	66507.3494987233	67229.7287084495	68092.4253268541	67128.4066174161	68026.3696561425	69441.4675819217	64077.1986498443	68200.5382347399	64536.1173848091	66034.225468393	66799.7732466109	68075.8386755827	69309.5097578142	65295.8944342918	64138.9200491022	66107.9484171885	67843.5065532455	66741.7770437646	68708.0876103058	66080.6282228332	64880.6345636583	64612.1756038791	65235.61824028
mean_Tail_ESS	73936.7733189164	71611.5447613428	75674.1415401936	72788.1679840554	72167.9010471844	72232.1400512483	72491.5495058475	73598.1241371716	73315.7075097916	72847.9156741489	73732.3970022711	72785.6554068854	74074.5391301863	73089.1742426676	72797.753230639	67793.0692165166	72486.7581593702	73243.1795092766	69430.1426867745	73248.1687439034	73724.5994295421	72076.1295104463	72741.4274840609	72981.7347009818	72793.3305037914	72510.3763049556	74130.8826714188	72759.560057322	74326.9433148877	72993.8834838956	73204.3355991918	74034.3318172811	72278.7262326093	71905.9377450235	73305.2114644531	72407.236820705	73278.2673071391	73339.9062024408	73531.617218618	73649.1212082098	73242.2182899446	72311.5429289037	73146.9057839167	73233.4789388737	73966.5649773522	73676.485799728	73021.2780075488	74235.1392498105	72004.9755918709	74343.1838231304	72390.8621814199	73596.0419009654	74037.1420339339	73297.7030591918	73979.600965097	73016.4041490355	72319.3791020211	73285.5523281193	73333.3354362707	72175.0914793909	73951.4809272337	73284.4632838856	72595.488483578	72162.65286728	72350.5024806744
diff_predicted_vs_observed	0.00509375	0.00174444444444443	-0.00162698412698414	-0.00417460317460316	0.00734285714285715	0.00331587301587306	-0.000384126984126924	0.000803174603174607	0.000228571428571476	-0.00184126984126987	0.00196666666666672	0.00133015873015874	-0.0020301587301587	-0.00263492063492064	0.00343333333333338	-0.00100952380952382	-0.00438412698412694	0.00285238095238098	0.00413968253968251	-0.00146666666666666	0.000890476190476265	0.00630952380952373	-0.00339841269841269	0.00359841269841273	0.00527301587301589	0.0033269841269841	0.000750793650793661	0.0057825396825397	-0.00403333333333338	0.0027253968253968	-0.00179047619047624	-0.00196190476190481	-0.000257142857142919	0.00147619047619051	0.00445079365079363	0.000834920634920652	0.00215555555555551	0.00267460317460322	0.00110793650793658	0.00189682539682536	-0.00314285714285716	-0.00119523809523811	-0.00251746031746032	0.00729999999999997	0.00620158730158726	0.00710793650793644	0.000926984126984155	0.00326825396825394	0.00443650793650793	0.00412857142857143	-0.00210476190476185	0.00688253968253961	0.00385396825396831	0.00473015873015871	-1.11111111110995e-05	-0.00289365079365076	0.0054904761904762	0.0027079365079365	0.00118095238095236	0.00621746031746036	-5.07936507937139e-05	0.00419841269841269	0.00386190476190474	0.00236349206349209	0.00215079365079365
diff_predicted_vs_observed_abs	1.3295625	0.946455555555556	1.08760476190476	1.18066666666667	1.32297777777778	1.3097126984127	1.3388380952381	1.34899047619048	1.31445079365079	1.33633333333333	1.1892873015873	1.3454	1.3573126984127	1.30530793650794	1.33497936507937	1.34090793650794	1.34667936507937	1.3434873015873	1.34759682539683	1.32066349206349	1.33150317460317	1.34874444444444	1.30944603174603	1.34952222222222	1.32568253968254	1.3467873015873	1.35388412698413	1.34622698412698	1.33239206349206	1.32478888888889	1.33447301587302	1.3102	1.3554253968254	1.35024126984127	1.3529746031746	1.35535238095238	1.34379047619048	1.34044603174603	1.34829841269841	1.35344603174603	1.34943174603175	1.32662063492064	1.31593015873016	1.34314126984127	1.33103650793651	1.34894920634921	1.34694603174603	1.35541746031746	1.35279841269841	1.34829047619048	1.32700317460317	1.35525079365079	1.35038412698413	1.32986984126984	1.33590634920635	1.35716349206349	1.34407142857143	1.33587301587302	1.33790793650794	1.3440746031746	1.35212063492063	1.35124285714286	1.3495253968254	1.33885873015873	1.33039841269841
dropped_observation_prediction	3.9102	10.1747	327.3219	13.0696	3.6271	2.7108	3.8993	4.5911	2.1338	1.6488	14.0682	3.8055	3.102	4.888	1.2425	3.7981	1.354	1.6858	2.1391	2.8296	0.4311	0.8968	3.8015	0.7428	0.1048	1.5105	0.9225	2.1017	0.1451	3.9516	2.4148	4.235	1.4031	1.2211	1.1694	0.9056	1.8807	0.5381	0.7422	1.0018	1.9097	2.5329	3.6455	0.4126	0.2948	1.4462	0.6176	1.4894	1.1304	1.4708	0.1426	1.1248	2.2826	2.6687	0.3456	2.9903	0.4862	0.43	2.6272	3.128	1.4254	0.8311	0.706	0.4864	0.2004
dropped_observation_prediction_diff	-1.9102	22.8253	-298.3219	10.9304	2.3729	2.2892	1.1007	0.4089	1.8662	1.3512	-11.0682	-0.8055	-0.102	-2.888	0.7575	-1.7981	0.646	-0.6858	-1.1391	-1.8296	0.5689	0.1032	-2.8015	0.2572	0.8952	-0.5105	0.0775	-1.1017	0.8549	-2.9516	-1.4148	-3.235	-0.4031	-0.2211	-0.1694	0.0944	-0.8807	0.4619	0.2578	-0.00180000000000002	-0.9097	-1.5329	-2.6455	0.5874	0.7052	-0.4462	0.3824	-0.4894	-0.1304	-0.4708	0.8574	-0.1248	-1.2826	-1.6687	0.6544	-1.9903	0.5138	0.57	-1.6272	-2.128	-0.4254	0.1689	0.294	0.5136	0.7996
dropped_observation_prediction_diff_abs	1.9102	22.8253	298.3219	10.9304	2.3729	2.2892	1.1007	0.4089	1.8662	1.3512	11.0682	0.8055	0.102	2.888	0.7575	1.7981	0.646	0.6858	1.1391	1.8296	0.5689	0.1032	2.8015	0.2572	0.8952	0.5105	0.0775	1.1017	0.8549	2.9516	1.4148	3.235	0.4031	0.2211	0.1694	0.0944	0.8807	0.4619	0.2578	0.00180000000000002	0.9097	1.5329	2.6455	0.5874	0.7052	0.4462	0.3824	0.4894	0.1304	0.4708	0.8574	0.1248	1.2826	1.6687	0.6544	1.9903	0.5138	0.57	1.6272	2.128	0.4254	0.1689	0.294	0.5136	0.7996
b_Intercept_mean	0.248051313192989	0.390975329165805	0.309843679755	0.293463493138909	0.21569127729793	0.207796099213149	0.234834542213155	0.248550452032204	0.230161249284876	0.228399045546948	0.246019543248333	0.260842863640686	0.250417509390464	0.266332652271855	0.221850197640588	0.302891058733327	0.238700408980143	0.254482247677584	0.227022901928274	0.262053019088967	0.236374059600831	0.246295879281875	0.250092537032021	0.240047001943357	0.213720500440248	0.254919054802882	0.245460381402533	0.237456869174398	0.217863204460035	0.249440103094021	0.270657598241393	0.292378796412699	0.257733387896598	0.252666881956679	0.250856986809578	0.246090430708036	0.262688711871241	0.23522035532265	0.243712921956283	0.247531381802039	0.242968946261227	0.251644005062292	0.261534751048899	0.235595695441898	0.222521931295513	0.261038686789679	0.240840095192239	0.250836087670648	0.251664786662726	0.25384604937382	0.213798536839261	0.250001204625848	0.261227928840296	0.250152928561668	0.234184428374369	0.25893850739884	0.261557412817937	0.215078087152729	0.251286196864797	0.246048562248824	0.254936778340395	0.243044181746032	0.240243488737816	0.230134655555767	0.213263729777072
b_environ_PC1_mean	-0.388320921346677	-0.117640902012124	-0.265500281845112	-0.327707975056605	-0.432188036383202	-0.408491171111798	-0.395808300823433	-0.379857666422913	-0.386099762890978	-0.38881447171205	-0.362585876504143	-0.380732315529369	-0.386057944544224	-0.358660156439514	-0.411829988624633	-0.319274735278431	-0.389192592034174	-0.39760713962064	-0.418200036666021	-0.39029964304361	-0.399814150089433	-0.387576409120184	-0.384891951888502	-0.394421440655448	-0.400395876531151	-0.387115863655845	-0.390521017800251	-0.392303368571938	-0.414905144889951	-0.411839040480417	-0.391100638327488	-0.349608453147059	-0.37457948761465	-0.389396923292903	-0.389778238768378	-0.388645815085072	-0.381371625413482	-0.404826249014755	-0.38601823814734	-0.386626912522695	-0.385570901752621	-0.409807186774691	-0.369306087675938	-0.398295256360474	-0.406607929552181	-0.388396663336741	-0.397312358562198	-0.406600233135045	-0.384463193094334	-0.400396169968045	-0.410167393136297	-0.391182575817488	-0.425946385507245	-0.395911132677552	-0.391302553371654	-0.383739109438488	-0.36564416254336	-0.428004720097721	-0.406133922063326	-0.401833585412745	-0.397687306354121	-0.393349065835147	-0.39455241945631	-0.410943431144448	-0.426747684335845
b_Shoreline_mean	0.631917781637069	0.689625949405172	0.875137689493103	0.582563258526896	0.582197025564828	0.626717912443103	0.629589318395862	0.638635163724586	0.644121399664983	0.637423565740517	0.628184096678965	0.635663446057759	0.63457787629069	0.663007854138793	0.63275656591431	0.706343863229948	0.643380840518965	0.625257666448276	0.59860001354889	0.620593672091897	0.588729455853966	0.632755012759052	0.646877069462759	0.631911979947586	0.621504845995517	0.625031775336052	0.633167081767069	0.605218890710345	0.643760990378276	0.612436932411897	0.630492353202069	0.648482952549655	0.638049793486552	0.633610530030862	0.628851001154828	0.635454268357586	0.626388616875172	0.630232905478276	0.636502657045	0.634154164183103	0.611410008197759	0.604637991424793	0.636922728396207	0.631634843748483	0.641166835783621	0.637225793388966	0.636562689450172	0.623374977788466	0.635053224331552	0.622918912098793	0.642387659954741	0.630621145110517	0.640167068122328	0.633600531045345	0.625013548957069	0.619902767843776	0.668030139380517	0.612567538986552	0.617965449863448	0.676727296218414	0.627875116970862	0.631355096405172	0.633148615673966	0.629475173851034	0.625439873793017
b_environ_PC2_mean	0.194770828355142	0.382186714105193	0.515682346712617	0.207035554851127	0.0985144029119438	0.191415872969733	0.191979298634157	0.203241670129324	0.207479359592838	0.197695901694629	0.100187121692608	0.201951887051421	0.197825124818459	0.268668208617721	0.179342196072025	0.243719117437105	0.206031793939607	0.194696740005581	0.180131464448071	0.183840992980114	0.270979481438906	0.196368565007934	0.178806520262612	0.192302270917834	0.200642775938794	0.19087696094144	0.195267993457666	0.166169601342649	0.213401039575041	0.174211432019312	0.204706653884711	0.22543391263522	0.202431470138066	0.201471921883134	0.193341414050131	0.198508698186608	0.196152491370282	0.197189973339805	0.198644756734431	0.195798514923029	0.168342038720772	0.163347719873756	0.194381945380244	0.204762546154967	0.204236724296319	0.212401184613931	0.197345273889862	0.188960604891522	0.197368242974862	0.198786155039095	0.193096193180629	0.195851902963898	0.237062727552378	0.187288288361434	0.206135151527884	0.128806788344013	0.208115114710431	0.167727593600249	0.176130440240849	0.179655286649455	0.201644601690309	0.195078935833833	0.193977210401798	0.183554487733794	0.168653340175102
b_environ_PC3_mean	0.108379478990539	0.0192690363101076	0.0793719972860998	0.039759776429099	0.145106302219536	0.141944038882081	0.11336463148765	0.111944754061148	0.119974962103944	0.132248979330892	0.0263605274023588	0.107850975125216	0.108084012853504	0.0892704287780921	0.0883885989843669	0.0911372725119828	0.106249455851929	0.102244016302712	0.129363843997662	0.0970944100210576	0.152089278284072	0.109073210261491	0.151064593684928	0.108245002466419	0.12402340981109	0.114131782839389	0.109823357176939	0.101416375836215	0.113939714037042	0.110373187844027	0.0879341650907312	0.132695493752375	0.107084723087786	0.113400334215355	0.110541294402316	0.108396638163003	0.112784406549881	0.122310028377512	0.114894409089653	0.107503147802834	0.0999579231832172	0.103555013652428	0.151511831039992	0.109649201540643	0.111696648949015	0.112038543308255	0.114837956929971	0.108389467715677	0.108359574940409	0.114567398150645	0.110675119729723	0.110557806470383	0.147282472212667	0.121620906073971	0.115090344874913	0.058033182144676	0.0915652798612833	0.113795540876678	0.106500242514234	0.113767888685569	0.115521577761569	0.108921925398771	0.107157444557179	0.110449475925018	0.11474973518786
b_EA033_mean	-0.853258100327586	-0.677415421724138	-0.874457730293103	-0.738681799741379	-0.840183683551724	-0.886799065310345	-0.849736548068965	-0.852221048775862	-0.905353454189655	-0.874505155258621	-0.868750469913793	-0.857278612344828	-0.854371082655172	-0.864680325224138	-0.850384778258621	-0.85342540987931	-0.854343358568965	-0.8455412045	-0.853026545517241	-0.85669647787931	-0.844176245017241	-0.854675954206897	-0.865013797482759	-0.857122083724138	-0.885828273034483	-0.85439865112069	-0.856553690775862	-0.855997913948276	-0.879692216827586	-0.794572872206897	-0.834198545362069	-0.876230735948276	-0.858540027896552	-0.854559344258621	-0.851091722103448	-0.854282160913793	-0.855401540758621	-0.857508170448276	-0.862527995224138	-0.854187973844828	-0.854789957431034	-0.854659793327586	-0.85215749962069	-0.864486615482759	-0.861074907534483	-0.854905862344828	-0.856635320534483	-0.853596734931034	-0.851310964931035	-0.85333377462069	-0.877196593086207	-0.853416882862069	-0.870243009258621	-0.832660244189655	-0.865403356	-0.841146488793103	-0.865273231948276	-0.856078104206897	-0.818162968224138	-0.866942674137931	-0.854710518672414	-0.854625656344828	-0.85671477112069	-0.860334462603448	-0.878433410034483
b_Settlement_date_grouping_finer_mean	0.466914288309483	0.479087362254483	0.535617818951724	0.445720519954931	0.432567266098621	0.461354764850862	0.463950903941062	0.469281600160052	0.449075149968621	0.46257595002569	0.473336221055345	0.471258097412759	0.467302817140345	0.501369407006379	0.45558932106931	0.456497357388776	0.4664032192935	0.471089390788793	0.47510564221881	0.468887376916034	0.513923875863965	0.469224842526724	0.471565297107069	0.466020797001897	0.483195074510172	0.470087229628983	0.466253243897759	0.450198350676724	0.470560101799138	0.498123612749483	0.474320626170983	0.490400063371207	0.459808188772069	0.467798451324138	0.467845236189155	0.467566879101897	0.471600801766724	0.481977617499828	0.466031679653155	0.467048915848276	0.448176976847224	0.464125119291603	0.49900809882069	0.473070049771552	0.483667991483793	0.463281491476724	0.476596445314483	0.455308253101379	0.467823498499483	0.462766532350862	0.473260827828103	0.465715743629931	0.468445668655293	0.481574331906724	0.485017704223103	0.401528729488824	0.454606976502759	0.473308039062069	0.475188096792069	0.425973177744828	0.461848111573793	0.468462289376207	0.465821233707069	0.46653998504569	0.4538186222145
b_environ_PC1:Shoreline_mean	0.144313382365964	0.180134801120342	-0.022372619929456	0.104889611417867	0.105003208522501	0.134218419272635	0.139840363777503	0.147320930101633	0.156641308031683	0.142858348626012	0.162289505142264	0.151313695045787	0.147393714007303	0.166207993842369	0.140879856555882	0.1999406229477	0.150892789860887	0.145923886879579	0.118804659757314	0.142104138731478	0.249198855961285	0.145431867258593	0.142497768299452	0.143854139863988	0.152448194268505	0.141904850442041	0.145173189114545	0.116420652695938	0.156998964114218	0.121783620769499	0.1545190289751	0.167907922223982	0.14957301159384	0.148495163910206	0.144023188888731	0.147286969654512	0.144316083573938	0.146029728178943	0.147138629975716	0.145433533895394	0.12342448886328	0.131360252476165	0.144701629957519	0.149084436913328	0.148415026146501	0.15681415103117	0.149025990093012	0.146395160668676	0.146744980151296	0.149708940085231	0.148073033896154	0.145626629082505	0.155669428609854	0.138764872791077	0.150559162313916	0.127211703362403	0.176369014520891	0.129540601758337	0.125041386784899	0.135849839975703	0.150731475375508	0.14426341894075	0.145215526180445	0.145098348320115	0.141537376332412
b_Shoreline:environ_PC2_mean	-0.352571113456929	-0.10087495909044	-0.192104278927464	-0.269530133247442	-0.364580235400038	-0.385193729031352	-0.366485906232076	-0.352522868783939	-0.351204105036169	-0.368824027461317	-0.340156876271955	-0.342107953567533	-0.35074835807851	-0.357840081785995	-0.365148031409155	-0.317636899763153	-0.360123830237348	-0.353482826620676	-0.39708649216405	-0.339203568194712	-0.478338969387948	-0.352806401381612	-0.382748350871697	-0.358095744794772	-0.366819683591735	-0.349266753550322	-0.355673789708103	-0.364624521394345	-0.373180942176271	-0.372328669051283	-0.338671882219757	-0.318007732816729	-0.345381958768586	-0.35428924879561	-0.353226560454566	-0.354648136476428	-0.344597676259614	-0.365179034926798	-0.355114701491524	-0.351715277903138	-0.354728533262022	-0.349029222837051	-0.358497593762476	-0.355930521140934	-0.372366293118612	-0.352743728506241	-0.356232922605254	-0.359949018877193	-0.352637438998128	-0.359335172172857	-0.367329345199526	-0.355247784775377	-0.36281458613935	-0.368168341323364	-0.347213163257531	-0.363703795334964	-0.307823650823597	-0.377118188128731	-0.36517254067544	-0.399123330577902	-0.359752775384207	-0.357190637925902	-0.357912755182259	-0.361018074901797	-0.367804751495379
b_Shoreline:environ_PC3_mean	0.206971277990102	0.0103083416876481	-0.22277964611244	0.115788909883472	0.204061198115718	0.22011309402629	0.208039265321157	0.201518904237025	0.200740936774223	0.206722729424773	0.231879842232203	0.201872454930766	0.205387285073776	0.209376761081734	0.233336451462272	0.172796628149495	0.211221806419738	0.207360733595789	0.209285962254783	0.210681810208006	0.0706775502027817	0.206829285532842	0.234723200294721	0.211734873115402	0.215478011923533	0.20007369890359	0.207013687789462	0.233558678800042	0.221188061063804	0.234146645353707	0.200329822365866	0.18398341705556	0.202262075183674	0.202799782739563	0.204188391354348	0.207295923825587	0.197311405765461	0.202897702918261	0.205723816001915	0.206805701280573	0.226717246908852	0.215427376152295	0.219556624502154	0.20747719816388	0.216740967582859	0.197642876121674	0.203931530355352	0.209831683498664	0.203773438975978	0.204124491832997	0.225944296712072	0.204803956644767	0.205266614491337	0.228740568660052	0.211030690847953	0.186078498975815	0.206111899273196	0.225725036107658	0.22037835035799	0.214753596363895	0.201626318199779	0.208699354250603	0.210730547856026	0.216560972016138	0.230506810283041
b_Shoreline:Settlement_date_grouping_finer_mean	0.488334686834483	0.405495843550931	0.470582080409931	0.416072123710448	0.494492951413276	0.490273878396034	0.488910163651034	0.487478504153035	0.47870593965931	0.489762157967241	0.520059129995345	0.486555183727241	0.488076951570345	0.475698335093603	0.500723289184483	0.476396087216034	0.493892595062759	0.485737717743103	0.472621923611207	0.483844248315345	0.495113204418966	0.488746339343103	0.50202156512069	0.48932043692931	0.513275192467241	0.482089724080172	0.486769533348793	0.506753387508621	0.494577056594828	0.512892517625	0.485373896086207	0.486878969493793	0.491272186874655	0.486915797473448	0.48663781845	0.489455933152759	0.480409490724138	0.478275928189655	0.488333838542241	0.488399902552586	0.508020189292414	0.483258810446379	0.510491433692931	0.490522469991034	0.481695433769483	0.48828880092931	0.480017428222414	0.491165817541172	0.485836024767931	0.495128621367931	0.489454177596379	0.487120212827586	0.481124631233017	0.503791877621897	0.510592625337931	0.438006255935379	0.510120283618103	0.485943686133914	0.490669510804655	0.41845184064381	0.490334233001724	0.487594666146724	0.489222994243793	0.490086996920172	0.498754626860345
b_Intercept_sd	0.170848609675675	0.166916680613168	0.163075918233702	0.168718638611548	0.175883812076906	0.174007870828262	0.172860630829525	0.169839942230109	0.172360070288683	0.172171489862211	0.171047554766035	0.171546297630706	0.172772967477688	0.167569078049893	0.177387389875523	0.18384003595083	0.172226138659919	0.169153191385757	0.18357418639009	0.17013820062167	0.168288765031464	0.172078406654952	0.167477174190976	0.173720257949938	0.175304185021251	0.171996075055726	0.171932724562283	0.170784643106759	0.173151190507569	0.170801774513965	0.170942892696302	0.170304716089426	0.173525989833992	0.171318463452605	0.170313139719123	0.170991492866558	0.168835853681813	0.172954874796229	0.171226006080971	0.170754812568555	0.169008842711323	0.17012344355907	0.169496513089953	0.172171118257438	0.17419489560979	0.173629229015265	0.171441996659343	0.169572533433403	0.172994763820758	0.170294728409192	0.173070484224705	0.171052771431938	0.171613470937982	0.16985855900929	0.172266809275584	0.17008675196767	0.172076174617326	0.178204434789173	0.171154468512328	0.167996520987474	0.169747414203595	0.173516839355674	0.172354228877201	0.174502615089601	0.173428642311602
b_environ_PC1_sd	0.19633659961866	0.204769414735685	0.194524517421063	0.199005208796617	0.204152741685521	0.196422237763084	0.198189529223722	0.205298898249234	0.196776484925627	0.197537735654941	0.19937356013468	0.19658050702387	0.199270876620699	0.195032324028544	0.201812207135816	0.21768115161249	0.198003515275269	0.19649496092815	0.219833935175934	0.196063166196555	0.195036522657498	0.19799271315409	0.193407047118212	0.198668109434234	0.200836958777334	0.197052288352546	0.196899228081372	0.195428171126774	0.199154899389641	0.197142578703263	0.195826626052452	0.196863834990625	0.203487009246996	0.196578355456134	0.196759217083861	0.196993240690776	0.196133111845681	0.199130825051138	0.19609214710089	0.197871613533114	0.194874262209346	0.197794748450164	0.196971593347683	0.197801428310937	0.198731532668232	0.195630549960486	0.19733720295072	0.202220931574137	0.199843253494666	0.199257753387415	0.19893535186438	0.198370480538761	0.20462756178681	0.197510096933189	0.19830652299106	0.196015637459829	0.201631600980727	0.204179657427305	0.197117592472438	0.19472670370488	0.19743843802425	0.197633318431574	0.198038737781922	0.200545861278571	0.19855876214665
b_Shoreline_sd	0.174305766068943	0.184431722358194	0.192936629889371	0.177282102361698	0.185789316797933	0.173771363672029	0.175146647324533	0.178723299923034	0.175447061537732	0.174618098164696	0.176825972077141	0.173271636033313	0.175237499224906	0.171985494452688	0.175577673800768	0.201956950621728	0.176941299054327	0.173731259939741	0.213032485297322	0.173054991852461	0.175209407099257	0.175699789293253	0.171633059298381	0.174269671381963	0.17697996894963	0.174838397308889	0.175005499536261	0.177962589225433	0.175212760795527	0.173828095468288	0.17320520940279	0.174289745536443	0.175516936226683	0.174412735086509	0.174976462344459	0.175140934936195	0.172673850012009	0.173221594592512	0.174355354094557	0.176286105795671	0.176891946744313	0.176452484858933	0.173667861224054	0.174144044673626	0.17457805368428	0.17432465076676	0.174278012282073	0.17499064971999	0.176604532165004	0.177550027633518	0.175791241268558	0.173878641595047	0.172871082583579	0.173826585232666	0.176515340218216	0.172232499264444	0.186000246431862	0.17532374227891	0.173511894119785	0.177304462735653	0.173945860548479	0.173072700170985	0.174529046894711	0.175075949029053	0.175949905509909
