term	variable	value
b_Intercept	mean	0.260052414220306
b_environ_PC1	mean	-0.338643742103067
b_Shoreline	mean	0.639950788071483
b_environ_PC2	mean	0.190759634721475
b_environ_PC3	mean	0.166613443472323
b_EA033	mean	-0.847713986810345
b_Settlement_date_grouping_finer	mean	0.482515009453621
b_environ_PC1:Shoreline	mean	0.172631789028162
b_Shoreline:environ_PC2	mean	-0.342501027840453
b_Shoreline:environ_PC3	mean	0.0977879605666928
b_Shoreline:Settlement_date_grouping_finer	mean	0.45182195472931
Intercept	mean	0.327446909024741
lprior	mean	-1.9300620537931
lp__	mean	-116.401704810345
b_Intercept	sd	0.167960939893688
b_environ_PC1	sd	0.185189878824405
b_Shoreline	sd	0.176496236964858
b_environ_PC2	sd	0.20046422564292
b_environ_PC3	sd	0.143965704465053
b_EA033	sd	0.119247774965878
b_Settlement_date_grouping_finer	sd	0.136716459356777
b_environ_PC1:Shoreline	sd	0.142517862280221
b_Shoreline:environ_PC2	sd	0.190596367301708
b_Shoreline:environ_PC3	sd	0.124015001381926
b_Shoreline:Settlement_date_grouping_finer	sd	0.128434629945619
Intercept	sd	0.118764169766951
lprior	sd	0.00831272268595754
lp__	sd	2.38484100596218
b_Intercept	min	-0.427277
b_environ_PC1	min	-1.07357
b_Shoreline	min	-0.0754462
b_environ_PC2	min	-0.808219
b_environ_PC3	min	-0.503821
b_EA033	min	-1.38272
b_Settlement_date_grouping_finer	min	-0.0441037
b_environ_PC1:Shoreline	min	-0.481588
b_Shoreline:environ_PC2	min	-1.04481
b_Shoreline:environ_PC3	min	-0.54555
b_Shoreline:Settlement_date_grouping_finer	min	-0.0318447
Intercept	min	-0.181087
lprior	min	-1.97926
lp__	min	-131.033
b_Intercept	max	0.910364
b_environ_PC1	max	0.509729
b_Shoreline	max	1.38352
b_environ_PC2	max	1.01153
b_environ_PC3	max	0.760674
b_EA033	max	-0.386644
b_Settlement_date_grouping_finer	max	1.17738
b_environ_PC1:Shoreline	max	0.77796
b_Shoreline:environ_PC2	max	0.563206
b_Shoreline:environ_PC3	max	0.545796
b_Shoreline:Settlement_date_grouping_finer	max	1.06358
Intercept	max	0.768841
lprior	max	-1.91718
lp__	max	-111.043
b_Intercept	straddle_zero	yes
b_environ_PC1	straddle_zero	yes
b_Shoreline	straddle_zero	yes
b_environ_PC2	straddle_zero	yes
b_environ_PC3	straddle_zero	yes
b_EA033	straddle_zero	no
b_Settlement_date_grouping_finer	straddle_zero	yes
b_environ_PC1:Shoreline	straddle_zero	yes
b_Shoreline:environ_PC2	straddle_zero	yes
b_Shoreline:environ_PC3	straddle_zero	yes
b_Shoreline:Settlement_date_grouping_finer	straddle_zero	yes
Intercept	straddle_zero	yes
lprior	straddle_zero	no
lp__	straddle_zero	no
Intercept	Estimate	0.260139587409598
environ_PC1	Estimate	-0.339025999359543
Shoreline	Estimate	0.639768741426259
environ_PC2	Estimate	0.190527170732061
environ_PC3	Estimate	0.166386033680403
EA033	Estimate	-0.848110677991379
Settlement_date_grouping_finer	Estimate	0.481779354636034
environ_PC1:Shoreline	Estimate	0.172542553386118
Shoreline:environ_PC2	Estimate	-0.342634144785031
Shoreline:environ_PC3	Estimate	0.0974610304042649
Shoreline:Settlement_date_grouping_finer	Estimate	0.451642133031897
Intercept	Est.Error	0.16822006017672
environ_PC1	Est.Error	0.184187267270094
Shoreline	Est.Error	0.175407563652535
environ_PC2	Est.Error	0.199352544646668
environ_PC3	Est.Error	0.144145041552866
EA033	Est.Error	0.11912774052805
