dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	diff_predicted_vs_observed.1	dropped_observation_prediction	dropped_observation_prediction_diff	dropped_observation_prediction_diff_abs	b_Intercept_mean	b_Carrying_capactiy_PC1_mean	b_Shoreline_mean	b_Carrying_capactiy_PC2_mean	b_Carrying_capactiy_PC3_mean	b_EA033_mean	b_Settlement_date_grouping_finer_mean	b_Carrying_capactiy_PC1:Shoreline_mean	b_Shoreline:Carrying_capactiy_PC2_mean	b_Shoreline:Carrying_capactiy_PC3_mean	b_Shoreline:Settlement_date_grouping_finer_mean	b_Intercept_sd	b_Carrying_capactiy_PC1_sd	b_Shoreline_sd	b_Carrying_capactiy_PC2_sd	b_Carrying_capactiy_PC3_sd	b_EA033_sd	b_Settlement_date_grouping_finer_sd	b_Carrying_capactiy_PC1:Shoreline_sd	b_Shoreline:Carrying_capactiy_PC2_sd	b_Shoreline:Carrying_capactiy_PC3_sd	b_Shoreline:Settlement_date_grouping_finer_sd	b_Intercept_min	b_Carrying_capactiy_PC1_min	b_Shoreline_min	b_Carrying_capactiy_PC2_min	b_Carrying_capactiy_PC3_min	b_EA033_min	b_Settlement_date_grouping_finer_min	b_Carrying_capactiy_PC1:Shoreline_min	b_Shoreline:Carrying_capactiy_PC2_min	b_Shoreline:Carrying_capactiy_PC3_min	b_Shoreline:Settlement_date_grouping_finer_min	b_Intercept_max	b_Carrying_capactiy_PC1_max	b_Shoreline_max	b_Carrying_capactiy_PC2_max	b_Carrying_capactiy_PC3_max	b_EA033_max	b_Settlement_date_grouping_finer_max	b_Carrying_capactiy_PC1:Shoreline_max	b_Shoreline:Carrying_capactiy_PC2_max	b_Shoreline:Carrying_capactiy_PC3_max	b_Shoreline:Settlement_date_grouping_finer_max	b_Intercept_straddle_zero	b_Carrying_capactiy_PC1_straddle_zero	b_Shoreline_straddle_zero	b_Carrying_capactiy_PC2_straddle_zero	b_Carrying_capactiy_PC3_straddle_zero	b_EA033_straddle_zero	b_Settlement_date_grouping_finer_straddle_zero	b_Carrying_capactiy_PC1:Shoreline_straddle_zero	b_Shoreline:Carrying_capactiy_PC2_straddle_zero	b_Shoreline:Carrying_capactiy_PC3_straddle_zero	b_Shoreline:Settlement_date_grouping_finer_straddle_zero	Intercept§Estimate	Carrying_capactiy_PC1§Estimate	Shoreline§Estimate	Carrying_capactiy_PC2§Estimate	Carrying_capactiy_PC3§Estimate	EA033§Estimate	Settlement_date_grouping_finer§Estimate	Carrying_capactiy_PC1:Shoreline§Estimate	Shoreline:Carrying_capactiy_PC2§Estimate	Shoreline:Carrying_capactiy_PC3§Estimate	Shoreline:Settlement_date_grouping_finer§Estimate	Intercept§Est.Error	Carrying_capactiy_PC1§Est.Error	Shoreline§Est.Error	Carrying_capactiy_PC2§Est.Error	Carrying_capactiy_PC3§Est.Error	EA033§Est.Error	Settlement_date_grouping_finer§Est.Error	Carrying_capactiy_PC1:Shoreline§Est.Error	Shoreline:Carrying_capactiy_PC2§Est.Error	Shoreline:Carrying_capactiy_PC3§Est.Error	Shoreline:Settlement_date_grouping_finer§Est.Error	Intercept§l-95% CI	Carrying_capactiy_PC1§l-95% CI	Shoreline§l-95% CI	Carrying_capactiy_PC2§l-95% CI	Carrying_capactiy_PC3§l-95% CI	EA033§l-95% CI	Settlement_date_grouping_finer§l-95% CI	Carrying_capactiy_PC1:Shoreline§l-95% CI	Shoreline:Carrying_capactiy_PC2§l-95% CI	Shoreline:Carrying_capactiy_PC3§l-95% CI	Shoreline:Settlement_date_grouping_finer§l-95% CI	Intercept§u-95% CI	Carrying_capactiy_PC1§u-95% CI	Shoreline§u-95% CI	Carrying_capactiy_PC2§u-95% CI	Carrying_capactiy_PC3§u-95% CI	EA033§u-95% CI	Settlement_date_grouping_finer§u-95% CI	Carrying_capactiy_PC1:Shoreline§u-95% CI	Shoreline:Carrying_capactiy_PC2§u-95% CI	Shoreline:Carrying_capactiy_PC3§u-95% CI	Shoreline:Settlement_date_grouping_finer§u-95% CI	Intercept§Rhat	Carrying_capactiy_PC1§Rhat	Shoreline§Rhat	Carrying_capactiy_PC2§Rhat	Carrying_capactiy_PC3§Rhat	EA033§Rhat	Settlement_date_grouping_finer§Rhat	Carrying_capactiy_PC1:Shoreline§Rhat	Shoreline:Carrying_capactiy_PC2§Rhat	Shoreline:Carrying_capactiy_PC3§Rhat	Shoreline:Settlement_date_grouping_finer§Rhat	Intercept§Bulk_ESS	Carrying_capactiy_PC1§Bulk_ESS	Shoreline§Bulk_ESS	Carrying_capactiy_PC2§Bulk_ESS	Carrying_capactiy_PC3§Bulk_ESS	EA033§Bulk_ESS	Settlement_date_grouping_finer§Bulk_ESS	Carrying_capactiy_PC1:Shoreline§Bulk_ESS	Shoreline:Carrying_capactiy_PC2§Bulk_ESS	Shoreline:Carrying_capactiy_PC3§Bulk_ESS	Shoreline:Settlement_date_grouping_finer§Bulk_ESS	Intercept§Tail_ESS	Carrying_capactiy_PC1§Tail_ESS	Shoreline§Tail_ESS	Carrying_capactiy_PC2§Tail_ESS	Carrying_capactiy_PC3§Tail_ESS	EA033§Tail_ESS	Settlement_date_grouping_finer§Tail_ESS	Carrying_capactiy_PC1:Shoreline§Tail_ESS	Shoreline:Carrying_capactiy_PC2§Tail_ESS	Shoreline:Carrying_capactiy_PC3§Tail_ESS	Shoreline:Settlement_date_grouping_finer§Tail_ESS	Intercept§straddle_zero_95	Carrying_capactiy_PC1§straddle_zero_95	Shoreline§straddle_zero_95	Carrying_capactiy_PC2§straddle_zero_95	Carrying_capactiy_PC3§straddle_zero_95	EA033§straddle_zero_95	Settlement_date_grouping_finer§straddle_zero_95	Carrying_capactiy_PC1:Shoreline§straddle_zero_95	Shoreline:Carrying_capactiy_PC2§straddle_zero_95	Shoreline:Carrying_capactiy_PC3§straddle_zero_95	Shoreline:Settlement_date_grouping_finer§straddle_zero_95	dropped_observation_prediction_mean	dropped_observation_prediction_diff_mean
Malakula	1.0001093611079777	46177.02591339611	55332.85734516105	2.296875	2.296875	10.0773	22.9227	22.9227	11.5988125280013	-6.30107280573035	-8.6285897460076	3.35867372569354	1.85066497478648	-2.61576171755172	-6.38573999777224	4.17119146008753	-1.3576848036744	-0.950061414445466	5.53171442879603	14.3418012093531	4.28005033897987	10.4848700661741	5.04865630976154	5.29785022587112	0.480044553282213	2.74924272282502	3.23278724914205	3.8635861149388	3.65401742968261	1.99391303830068	-35.6255	-26.5358	-70.3212	-18.9965	-20.4996	-4.78066	-20.9068	-9.04854	-15.6783	-18.1759	-2.95269	96.6058	10.6321	26.7446	22.8391	27.7322	-0.792999	5.76247	18.5386	15.6473	14.3215	16.5779	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	11.6445446417566	-6.26972461462097	-8.65594519427855	3.36221584495428	1.81055900640721	-2.61342898583621	-6.40704085545632	4.14708109556808	-1.36343227039119	-0.922269817977715	5.54721915092776	14.3095897710241	4.26941440991312	10.4555193726039	5.04600909321544	5.28732630341262	0.481070459670503	2.74454133419753	3.22643654457048	3.86197947951901	3.64743696143644	1.9887454040821	-14.212735	-14.92731	-30.721015	-6.989503	-8.22140425	-3.57936075	-11.956605	-1.9330805	-8.58747225	-8.341857	1.8231325	41.79112	1.79613175	10.1338875	12.81704	12.5957025	-1.69270825	-1.19828725	10.7217075	6.56845824999999	6.02152749999999	9.620779	1.00021514137905	1.00002028912137	1.00024156704772	1.00007570357439	1.00006179589983	1.00002929637964	1.00020422601305	1.00002843575352	1.0000700152849	1.00007868982806	1.00017781190621	38095.7739845505	44404.4579723837	37337.3030614341	46872.6108043402	45695.6081355029	77103.5099687826	43529.3288322816	42010.150177663	44844.1280495728	44410.0783834531	43644.3356773928	44771.3087456632	56539.6254588247	42880.2161093217	54057.8397913459	58179.557993318	75244.2890245669	55385.383099535	53871.3735364521	52865.305672856	59268.8313435651	55597.700021323	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	10.0773	22.9227
Kanaky (New Caledonia main island)	1.0000939547111733	52940.922582795734	58945.437246483256	2.359375	2.359375	320.3702	-291.3702	291.3702	-12.6736109540691	-0.610532466127207	9.20276039182234	5.62518374050436	11.407066516482	-3.38319816034483	-7.9551422029181	-0.426692211846052	-2.68739559614053	-7.47411313971045	6.74333536387848	14.720736190284	4.30704096480745	10.4194112905361	4.75913457625876	6.65189712249217	0.428466386873443	2.55668134386104	3.21610871256277	3.68515441180488	4.65485605745296	1.8355775327316	-63.4821	-21.6174	-44.786	-18.4679	-14.7019	-5.25887	-21.8617	-13.3686	-17.1257	-27.2178	-0.117119	62.2817	16.4565	45.4144	24.3619	39.799	-1.59919	2.0093	15.5469	15.1253	10.6147	17.1987	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	-12.7166811355669	-0.607647948910767	9.23572677834717	5.62141336496684	11.425863852202	-3.38162180724138	-7.9494292127931	-0.425886169963207	-2.68423837019578	-7.4905587293643	6.73682215429441	14.7749292196808	4.30027549469888	10.4546578653054	4.76159289494403	6.66066425793529	0.428474512094876	2.57931123249765	3.21113743293604	3.68593747762625	4.66216723201792	1.85122944835791	-40.2552075	-9.2739105	-12.390125	-4.086476	-1.322761	-4.2494605	-13.1562	-6.51051625	-9.66809275	-16.8808275	3.25015175	17.6482325	7.517456	28.575045	14.63772	24.818005	-2.5661355	-3.0123895	6.03049525	4.828983	1.4274635	10.5299025	1.0001408467398	1.00005830045342	1.00012653640638	0.99999797184328	1.00008726779357	1.00004504714745	1.00021009034332	1.00006797408702	1.00000573025825	1.00008761342585	1.00020612332458	41682.0642083061	52152.3032679537	40905.7240517082	52722.2419885296	52855.4704871867	90034.535024457	49418.966081333	50269.7026501633	51093.6296647463	51448.8481014069	49766.6628849622	48267.2516858579	60203.9957858986	46360.4502898786	60605.1798250482	63414.4857395547	75872.7620213474	56737.8506049977	58399.8868279972	59013.1856108712	62334.544423903	57190.2168959612	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	320.3702	-291.3702
Santo	1.0001585616135433	46850.63915838945	56578.130683152594	2.4375	2.4375	12.7931	11.2069	11.2069	8.94719887364138	-5.17065566682656	-4.95759230811578	7.23592929484753	-0.614388104602217	-2.84420900489655	-6.41192817507872	2.80195652235986	-4.58773250620703	0.810699401677155	5.50010631695234	13.514232081724	4.20071911711912	9.791460946436	4.81294438142105	5.37389706878882	0.496767018490091	2.60795389795197	3.15412707263904	3.66771073175576	3.71279778202546	1.87617738830288	-39.437	-25.4118	-56.7736	-14.5146	-21.0757	-5.0781	-20.4512	-10.0017	-18.0628	-15.7337	-1.53696	81.0982	12.3852	31.1916	25.1041	22.7224	-0.87556	3.91294	17.7584	11.37	14.9676	15.7005	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	8.74448890152793	-5.13429107514983	-4.79818955842944	7.29564308208493	-0.601536616081445	-2.84500267726724	-6.38002571338149	2.7711486903215	-4.63399048869727	0.801117716531511	5.47629836603971	13.4290989235907	4.18798630224574	9.72493517990614	4.80091714682356	5.38574858892844	0.497761489798375	2.59583860755058	3.14290412195038	3.65825173869167	3.71957643431572	1.86691222438514	-15.5789225	-13.601905	-25.326915	-2.5336865	-10.700605	-3.84573175	-11.604705	-3.20383675	-11.4886125	-6.77954575	1.94768275	36.98002	2.82644375	12.6284125	16.3192125	10.4620325	-1.8940595	-1.42332925	9.1220875	2.8851445	7.80370049999999	9.27330475	1.00025541305636	1.00005929588999	1.00028707228419	1.00020039997608	1.00002833840545	1.00009213451887	1.00024163741776	1.0000813133078	1.00020986420386	1.00003865692718	1.00025005176142	38770.5397255533	46759.1528077619	38426.7440106315	49022.0661742045	45082.4064508393	71217.97478749	44816.6051748764	44719.6505046208	47343.408368895	44227.5985023977	44970.8842350136	46830.8339252983	60859.2129739926	45830.1145145352	55551.6082194944	58105.2883352587	74386.0468618389	55142.5902753462	58727.4845859519	53737.1869072467	57570.4154777298	55618.655437986	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	12.7931	11.2069
Ambrym	1.0000578619141502	48314.848779080436	55753.95077138565	2.71875	2.71875	3.1877	2.8123	2.8123	12.9477333616453	-5.52931130509771	-6.85522545320158	10.011342309934	-3.31205297362528	-3.25093631672414	-8.16691057098448	2.69932530243519	-7.00402179156655	3.14517869141591	6.70840937545862	14.0078895647324	4.418850240064	10.2330102131975	4.89566740571641	5.37900331199802	0.471842356040228	2.60629604947296	3.38537896208057	3.76357719397527	3.67490916810551	1.8526665701425	-34.5536	-27.9342	-62.1308	-14.9478	-24.0209	-5.27362	-19.6048	-10.4864	-20.8887	-14.3095	-0.0210834	92.2334	11.1897	29.5221	29.5338	22.3463	-1.3324	1.75667	18.7682	11.3505	17.3377	15.1595	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	12.8949783170439	-5.53775902566197	-6.82685464048476	10.0011043284807	-3.27629765992291	-3.24980005413793	-8.15036733448784	2.70783596678074	-6.99411452670058	3.11920883381064	6.69781754521293	13.9306037499304	4.38580604294261	10.1643732639826	4.85380923691849	5.38400975415405	0.470661603236626	2.60653276760944	3.35352574981002	3.72478397673292	3.67809531532357	1.853739205053	-12.277365	-14.3825075	-28.29322	0.103216400000002	-13.3083025	-4.192232	-13.4779175	-3.76247775	-14.040915	-4.4322065	3.23189425	42.29317	2.89444075	11.4686675	19.1247025	7.819927	-2.35032925	-3.23885175	9.4403765	0.587642225	9.9846345	10.52082	1.00005747715911	1.00006051902637	1.00005763493823	1.00005692509526	1.00001553310747	1.00006922847062	1.00004975544542	1.00011294158909	1.00008752618971	1.00001884461926	1.00005009541512	39234.3726892879	48327.3096300982	38995.5998025079	47377.2384890606	47994.5813261054	77021.8645685875	46537.8417742035	46191.2811316889	45856.7470697574	47213.8485111804	46712.651577407	42409.4649107555	62816.8544530007	41127.1804495308	55278.0665247935	56316.0850663452	78580.0129410506	53283.4386336891	60051.6302576829	53439.1944132239	55828.3518386256	54163.1789965445	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	3.1877	2.8123
Efate	1.0000623942350069	45439.556219299615	54816.38954749709	2.734375	2.734375	2.6883	2.3117	2.3117	12.7888640469969	-6.64830769629048	-7.43588040912695	10.6797645622163	-3.24261838929809	-3.44594079793103	-7.71450857578103	3.6313853663941	-7.15153983482785	3.14418088754771	6.46748025954483	13.2654869262193	4.14497951500323	9.63329685044069	4.70938705752603	5.34625920432797	0.490034834407469	2.52167400317448	3.11758444817308	3.58207328104171	3.6672530549769	1.81321684697376	-33.0698	-23.7486	-59.735	-12.8884	-25.427	-5.99999	-20.4001	-8.80758	-20.9108	-13.0082	-0.10104	83.8351	8.96531	25.5554	28.3491	20.8591	-1.54197	1.86316	16.9791	10.2807	18.0405	15.5423	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	12.7445255391513	-6.61949183885145	-7.40484030155472	10.6985715985879	-3.25692442376793	-3.44557473887931	-7.71729681817845	3.61039666400898	-7.16673169437294	3.15540922470759	6.47024475270431	13.3391780359828	4.16216674575265	9.69392726809707	4.71356257342476	5.35365631636989	0.488164529117839	2.5216744151795	3.13254549739232	3.58602388728026	3.66957974802089	1.81495336499439	-11.422225	-15.049225	-27.79346	1.0657555	-13.242715	-4.4252905	-12.7914575	-2.316581	-13.8918175	-4.452404	3.04359625	40.6952875	1.22779399999999	10.091415	19.5783025	7.83765299999998	-2.517917	-2.89217475000001	9.92582175	0.152110424999986	10.02211	10.1576125	1.00005082979918	1.00008730879549	1.00004015624247	1.00007024117236	1.00005715498091	1.00000730099192	1.00003951496258	1.00010152381428	1.00008561441147	1.00006277543734	1.00008391597708	37840.516687856	42578.8646221155	37493.092225352	48477.3002007715	41631.2011001893	75676.2280310978	43800.5951648541	40660.8842169848	46525.7503155234	41041.9009113829	44108.7849361685	46998.6428444222	58108.0045557545	45261.2198552784	56668.7169461647	48441.1640713985	74990.4975390917	55656.5068935078	56625.1248443627	55733.5223595923	48685.08762038	55811.7974925154	yes	yes	yes	no	yes	no	no	yes	yes	yes	no	2.6883	2.3117
Pentecost	1.0000843738656375	47162.12121157185	55218.81000282733	2.734375	2.734375	4.0165	0.9835000000000003	0.9835000000000003	13.1696657189307	-6.68182956371299	-7.74331860253091	10.0389652227261	-3.04224391856378	-3.29214950913793	-7.65861338044414	3.6974942077135	-6.68005933755552	2.87633335339302	6.43533234991897	13.6009670544147	4.19696463408903	9.88706198066122	4.7434624705228	5.34008260803696	0.470456940538573	2.53315515416817	3.15809692409367	3.61484925326268	3.65196859390981	1.82056943253737	-35.7621	-25.7904	-55.9734	-13.2539	-22.449	-5.28965	-18.911	-9.42556	-21.9148	-15.0761	-1.4503	78.9184	10.2655	26.3332	29.9236	24.8619	-1.29066	3.63563	17.1283	11.1414	16.7991	15.3921	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	13.1079564553227	-6.68209683856778	-7.69329495121593	10.0675788856708	-3.03168941807625	-3.29308754146552	-7.65012425071362	3.6952967536681	-6.70204863396702	2.86983405014453	6.42883629201121	13.5802417815114	4.17923775971826	9.86226176973644	4.74006273471235	5.35358821671874	0.466941629365816	2.53479566486555	3.14497708875875	3.60773335184459	3.66002159369347	1.82192319467975	-11.5550425	-15.1414075	-28.5845125	0.352208425000001	-12.97931	-4.236001	-12.7951125	-2.2669355	-13.4664025	-4.634795	2.99848275	41.6581875	1.228577	10.1144375	18.9765075	7.9842325	-2.397986	-2.82275625	10.0653675	0.719982699999992	9.67793674999999	10.1642025	1.00000919838447	1.00010536670034	1.00001265471873	1.00005377383979	1.00012669060007	1.00017467742279	1.00006965799362	1.00010174984957	1.00006607197001	1.00012792357618	1.00008034746644	38381.8647726135	47026.6231871176	38097.4278542489	48630.1889878182	45592.9012442903	75690.8633768548	43978.640358461	44909.7872335265	47215.6636503972	45095.0665048204	44164.3061571419	45054.2738605687	58979.1794601866	43631.0405122465	55609.5831779	55385.1279493605	75638.9822455876	52649.6734619293	57792.2484542316	53934.2397415379	55437.4237312784	53295.1374362736	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	4.0165	0.9835000000000003
Tanna	1.000045698651718	47969.53838532916	56316.81210107537	2.734375	2.734375	4.2994	0.7005999999999997	0.7005999999999997	13.447267386229	-6.89985540453293	-8.10642383326352	9.77009523363903	-2.77112877327204	-3.30166255241379	-7.66838500419162	3.91259623273763	-6.44250888938869	2.68839410919926	6.45143036708965	13.6740830005274	4.207027269071	9.9242605291625	4.75912813875902	5.42905333009385	0.4697746065278	2.55102487434198	3.17142004660288	3.62727814933531	3.70790913400949	1.83548961598491	-37.9178	-24.9028	-69.3514	-13.8681	-23.0529	-5.3735	-19.6289	-9.2823	-19.8879	-15.8246	-0.828243	93.8769	10.5054	28.0373	27.3678	23.4137	-1.55723	2.99218	17.0388	12.0153	16.1414	14.6694	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	13.4377996313689	-6.89885343185732	-8.09921090299492	9.75738199187947	-2.77193592376794	-3.30284077732759	-7.65162015588891	3.91105987149633	-6.43243356318552	2.68876676839356	6.43997381314397	13.6114722933786	4.19672885395714	9.88270258261238	4.74896420568422	5.42756457547549	0.467931728992874	2.54582976451307	3.1644038091063	3.62038214345093	3.70631135474679	1.83306623310214	-11.32322	-15.3910075	-28.946455	0.00922495200000529	-12.8658025	-4.242371	-12.7833125	-2.11398025	-13.253505	-4.9913505	3.004793	41.95702	1.05634	9.76151699999999	18.735115	8.48887075	-2.41061775	-2.805228	10.319435	0.984415349999999	9.59305	10.169815	1.00004351240161	1.00006534427581	1.00006347315896	1.00005716182228	1.00002607549458	1.00009095085691	1.00001882302863	1.00003434063087	1.00005320447016	1.00003277826968	1.00001702075941	40236.1733808055	46052.5377808233	39729.2238182664	48427.3953269019	45333.0757651188	78679.2825319885	47078.5975016481	43768.3508758681	46625.5155303301	44498.9240018205	47235.8457250495	47551.2302840486	58821.624449869	45795.545885758	57466.1167324059	53130.5621404891	74688.8475973631	58855.9877552357	56116.3495127793	55035.4490360868	53395.3611534496	58627.8585643439	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	4.2994	0.7005999999999997
Viti Levu + Yasawa	1.0000676926660503	45636.72097934882	55230.28761600192	2.75	2.75	2.0565	1.9434999999999998	1.9434999999999998	14.1111696143536	-7.21661558857208	-8.29288819608841	9.82962686272872	-2.872846321446	-3.52082999741379	-7.56754327353466	4.09219636512028	-6.48680389478293	2.79309105948348	6.33461520864247	13.6080297226322	4.22661380560707	9.87003788484127	4.75152713804121	5.38310627869394	0.510662624603609	2.5243032763425	3.18413311161653	3.62084584059046	3.67993286558355	1.81367078571786	-36.1083	-26.2289	-59.9811	-15.6607	-23.0876	-5.87785	-20.6511	-9.73114	-21.1636	-14.4906	-0.530351	82.7947	13.0265	27.425	29.2127	23.5253	-1.62725	2.1112	19.7373	14.0779	17.0355	15.9637	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	14.0719969834095	-7.20068411466882	-8.26834434582005	9.83865804486419	-2.88060616651944	-3.52121403267241	-7.55821455213612	4.07983051952669	-6.49379960661568	2.80105084829545	6.32941617082124	13.6095524066286	4.22252147043792	9.87566813434125	4.74596847044625	5.36675119014661	0.511136207018488	2.52509956871284	3.1808254765627	3.61681737746505	3.66868221092961	1.81510358397959	-10.5413525	-15.7963125	-29.1556575	0.186319900000006	-12.89161	-4.549709	-12.6925025	-1.965845	-13.2734175	-4.76743425	2.939129	42.8395225	0.813661699999998	9.47854274999998	18.7588225	8.19084649999999	-2.552729	-2.7818085	10.506	0.859356549999997	9.65456075	10.0573075	1.00005274077659	1.00007705702208	1.00003976480644	1.00006052232908	1.00004564703257	1.00000398618422	1.0001048585661	1.00009854923384	1.00008155931524	1.0000675034303	1.0001124306301	37264.4002796206	45114.0179473623	36716.4965520166	44005.253500269	46264.7743376811	71977.5812484767	44791.6542909857	42742.2214968815	42644.4988757585	45412.8538060221	45070.1784377629	45650.0616712788	59186.3897235155	43634.741032819	54535.8347717807	54732.9790854302	73965.7472634008	54839.8021929502	55805.9152338732	53417.5005020261	54947.5078743876	56816.684424559	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	2.0565	1.9434999999999998
Erromango	1.0000327171200276	47500.79702684476	55609.20414469427	2.765625	2.765625	1.6054	1.3946	1.3946	13.1287248822497	-6.74068426912328	-7.76569531913552	10.263049625021	-3.01064200646602	-3.39628658586207	-7.75737930192397	3.75286312129209	-6.83641235428569	2.93703081664933	6.49864219383793	13.4228125873941	4.21042197227103	9.75936204668298	4.69268212122776	5.33445211985438	0.481226422654185	2.51442120343594	3.16420201036505	3.57296769828893	3.64680355309359	1.80941753797736	-39.6216	-27.1815	-62.1062	-11.8295	-22.7795	-5.62806	-20.2046	-7.50714	-20.3472	-14.0225	-0.0226362	86.659	8.63415	31.1176	29.1855	21.8058	-1.34877	1.54585	19.0185	9.0409	16.746	15.6153	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	13.182429859092	-6.76961406387885	-7.80965568653659	10.2479835555338	-2.995443656099	-3.39538827681034	-7.76569427599991	3.77426292904102	-6.8230247596147	2.92598115618792	6.50510349595431	13.5114325566459	4.19758350913924	9.81658000705491	4.72456819436761	5.34158077370198	0.480782407269466	2.52638009903871	3.15584085549384	3.5945305332022	3.64960409841378	1.81709379013786	-11.2712075	-15.3112225	-28.5018525	0.55877365	-12.9478275	-4.36344125	-12.89111	-2.21343575	-13.58451	-4.6286465	3.10387175	41.6575	1.182408	9.89880075	19.146605	8.0859485	-2.48001875	-3.0017695	10.1933025	0.56465995	9.7529065	10.2306125	1.00002993263931	1.00005868490289	1.00000767395137	1.00001389852154	1.00003543274576	1.00008575773613	1.00001286782848	1.00004980091339	1.00000642339044	1.00005157005411	1.00000784563687	38626.7784994792	47889.9833495949	38421.4335243136	48936.9971179231	45787.9481243508	75907.9078597559	44436.4529177804	45622.4683599126	47167.2291570057	45051.3609588644	44660.2074263116	45656.1496427795	59840.6900965742	43527.9703035101	55415.7840245955	56306.9766506739	74559.7625006882	54162.0193802096	57257.6697185751	53551.277832129	56583.7084026529	54839.2370392489	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	1.6054	1.3946
Laguas_yan_gani	1.0000814301221246	47222.98908672362	55523.57550212399	2.765625	2.765625	13.9672	-10.9672	10.9672	18.6292228366197	-7.28478689675916	-10.9200574551997	9.16032524959707	-4.6014333354404	-3.37413945982759	-8.1905557777931	4.24153779485788	-6.23516220224384	3.58349898977205	6.83905210296207	14.5804530479822	4.37545176155579	10.480179133418	4.9561504038782	5.6765134854528	0.466455832999104	2.56967556019625	3.27536450185492	3.75170643508361	3.84026374465292	1.83513126081411	-33.9003	-26.5846	-59.9035	-17.1515	-29.1159	-5.40115	-19.5868	-8.48539	-19.4294	-13.9279	-0.0950622	86.709	11.0911	26.8928	26.8365	20.8105	-1.27132	1.62715	19.1117	12.6219	19.3424	15.0148	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	18.6410828519201	-7.27143882527214	-10.934644926686	9.15032236592043	-4.60298888856335	-3.37314388327586	-8.20256738576371	4.23418229952203	-6.22735247134166	3.58486257368816	6.84780768447241	14.5197735537723	4.34427877133163	10.4255741043753	4.93404359913348	5.68119009098122	0.463324801297596	2.57099724296426	3.25038007760819	3.73254485056235	3.84255569538557	1.83473670659908	-7.4931185	-16.047905	-33.11725	-0.933213925	-15.2167325	-4.30191	-13.4658	-1.956635	-13.2268025	-4.3662025	3.4168025	49.4537375	1.003888	7.75733149999999	18.40473	7.07126024999999	-2.485388	-3.3425525	10.7881525	1.417885	10.7600325	10.64381	1.00009314831892	1.00007357253326	1.00008724761255	1.0001173030447	1.00008775056845	1.00003343008177	1.00006617172449	1.0000699865542	1.00011048413742	1.00009080142702	1.00006583534058	37385.7970014627	48216.0081025833	37067.645882014	44818.460188841	46047.3646792498	82097.8574405192	43841.6448747362	45694.9629709426	43903.882612211	46150.2751401901	44228.9810612099	44919.0257206623	61777.3397858343	43118.2203103677	53777.1072584813	54831.4961748437	77262.7486142995	53555.1051649658	59015.2399332858	51936.5452643562	55297.3271048634	55269.1751914039	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	13.9672	-10.9672
