group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count
Malakula	15.5522	4.428322048317665	4	34	17.4478	17.4478	33
Kanaky (New Caledonia main island)	34.7882	8.153710140721577	9	70	-5.788200000000003	5.788200000000003	29
Santo	16.8321	4.714226551959326	3	35	7.1678999999999995	7.1678999999999995	24
Ambrym	4.5726	2.539286127517681	0	18	1.4273999999999996	1.4273999999999996	6
Efate	2.9237	1.7712684859176262	0	11	2.0763	2.0763	5
Pentecost	3.9683	2.0546331209552164	0	14	1.0316999999999998	1.0316999999999998	5
Tanna	4.6341	2.3099677021721554	0	17	0.3658999999999999	0.3658999999999999	5
Viti Levu + Yasawa	2.3807	1.659470666896354	0	11	1.6193	1.6193	4
Erromango	1.7532	1.3704297018660883	0	9	1.2468	1.2468	3
Laguas yan gåni	11.4645	3.7280731756445307	1	30	-8.4645	8.4645	3
Maewo	3.7717	1.9901696378748097	0	13	-0.7717	0.7717	3
Vanua Lava	3.0917	1.8337468126045302	0	13	-0.09169999999999989	0.09169999999999989	3
Ambae	3.9055	2.2790105613870884	0	19	-1.9055	1.9055	2
Duff + Reef Islands	1.3643	1.2794331576602553	0	12	0.6356999999999999	0.6356999999999999	2
Tungaru + Tuvalu	3.2006	2.034594209507079	0	15	-1.2006000000000001	1.2006000000000001	2
Ureparapara	1.393	1.2137950114549751	0	9	0.607	0.607	2
Aneityum	1.61	1.3244151190396287	0	9	-0.6100000000000001	0.6100000000000001	1
Anuta	1.2381	1.4352053412098018	0	13	-0.23809999999999998	0.23809999999999998	1
Aore	2.6984	1.6868675087863954	0	12	-1.6984	1.6984	1
Aotearoa	0.5753	1.0241263562077425	0	11	0.42469999999999997	0.42469999999999997	1
Avaiki Nui (south)	0.9125	0.9698132829469692	0	6	0.08750000000000002	0.08750000000000002	1
Chuuk	3.2112	1.9452950874604422	0	13	-2.2112	2.2112	1
East Futuna	0.7599	0.8808686525006415	0	6	0.24009999999999998	0.24009999999999998	1
Hawaii	0.1229	0.35129464953665224	0	3	0.8771	0.8771	1
Hiu	1.4456	1.2710634131387868	0	9	-0.4456	0.4456	1
Kadavu	0.923	0.9796769756902883	0	7	0.07699999999999996	0.07699999999999996	1
Kapingamarangi	1.7567	1.509414768476289	0	10	-0.7566999999999999	0.7566999999999999	1
Kosrae	0.1607	0.4058225957212336	0	4	0.8392999999999999	0.8392999999999999	1
Lau	3.3166	1.9968883785328693	0	14	-2.3166	2.3166	1
Lifou	2.2403	1.581899538723955	0	10	-1.2403	1.2403	1
Loh-Toga	3.8863	2.083316185948034	0	15	-2.8863	2.8863	1
Luangiua	1.3104	1.2525209462807747	0	8	-0.3104	0.3104	1
Mangareva	1.2049	1.1518891764694583	0	8	-0.20490000000000008	0.20490000000000008	1
Mo-ava-mo-iki	1.1583	1.0955186562138552	0	7	-0.1583000000000001	0.1583000000000001	1
Mota	0.908	0.9999179884362316	0	7	0.09199999999999997	0.09199999999999997	1
Mota Lava	1.8332	1.3784657328993266	0	10	-0.8331999999999999	0.8331999999999999	1
Māngarongaro	0.5647	0.7981714212885451	0	6	0.4353	0.4353	1
Nengone	0.7633	0.914962745516214	0	7	0.23670000000000002	0.23670000000000002	1
Niue	1.0044	1.0185697759303698	0	6	-0.0043999999999999595	0.0043999999999999595	1
Nukuoro	1.5306	1.427538940534609	0	12	-0.5306	0.5306	1
Paama	2.3679	1.6392737147380798	0	13	-1.3679000000000001	1.3679000000000001	1
Palau	3.1578	1.9424923391480249	0	13	-2.1578	2.1578	1
Pohnpei	0.4278	0.6525563140253088	0	4	0.5722	0.5722	1
Pukapuka	0.3294	0.5886682368102621	0	4	0.6706	0.6706	1
Raivavae	1.3835	1.2501136061985887	0	9	-0.38349999999999995	0.38349999999999995	1
Rakahanga-Manihiki	0.6293	0.8153207864383686	0	7	0.37070000000000003	0.37070000000000003	1
Rapa Nui	1.4013	1.2726430261574542	0	10	-0.4013	0.4013	1
Ratak + Rālik	1.1035	1.088901428335946	0	7	-0.10349999999999993	0.10349999999999993	1
Rimatara	1.3597	1.2848661401483852	0	9	-0.3596999999999999	0.3596999999999999	1
Rotuma	0.1634	0.40855493108414603	0	4	0.8366	0.8366	1
Rurutu	1.1088	1.107919360120967	0	8	-0.10880000000000001	0.10880000000000001	1
Rēkohou	1.6044	1.5371847428638399	0	13	-0.6044	0.6044	1
Sāmoa	2.3316	1.6350256178045308	0	10	-1.3316	1.3316	1
Tahiti	0.3661	0.6333331675272573	0	5	0.6339	0.6339	1
Te Henua ‘Enana	1.5904	1.5720289334159054	0	11	-0.5904	0.5904	1
Tikopia	0.571	0.81830676558138	0	6	0.42900000000000005	0.42900000000000005	1
Tokelau	0.4525	0.7056865801153763	0	5	0.5475	0.5475	1
Tonga	2.4129	1.674662365793159	0	11	-1.4129	1.4129	1
Tuamotu	1.9238	1.699553590870504	0	14	-0.9238	0.9238	1
Tupuai	1.3719	1.2605353168112716	0	11	-0.3718999999999999	0.3718999999999999	1
Ulithi (greater)	0.843	0.9288903507564135	0	6	0.15700000000000003	0.15700000000000003	1
Uvea (Wallis)	0.716	0.8776223687339618	0	6	0.28400000000000003	0.28400000000000003	1
Woleai	0.519	0.7389814675355101	0	5	0.481	0.481	1
Yap	0.2267	0.4805519774387595	0	5	0.7733	0.7733	1
