variable	sig	interactions	Pr(>Chi)	Df	Deviance	Resid. Df	Resid. Dev
Settlement_date_grouping_finer:Area_land	Non Sig	2	1	1	0	42	37.72478796274489
Settlement_date_grouping_finer:ratio_coastline_to_area	Non Sig	2	0.1011887	1	2.6867073223512037	41	35.03808064039369
Annual_temperature_mean:Temperature_seasonality_mean	Sig	2	0.0151023	1	5.904496769397468	44	59.92981386974837
Annual_precipitation_mean:Precipitation_seasonality_mean	Sig	2	0	1	41.76107477346213	45	65.83431063914584
Shoreline:Settlement_date_grouping_finer	Sig	2	0	1	48.240447613987776	43	11.689366255760598
Precipitation_seasonality_mean	Non Sig	1	1	1	0	55	535.6192520111182
Annual_temperature_mean	Non Sig	1	1	1	0	54	562.6079354320788
Isolation	Non Sig	1	1	1	0	50	228.26211461278663
Area_land	Non Sig	1	1	1	0	47	108.6870103624527
Latitude_abs_mean	Non Sig	1	0.8332149	1	0.04434399582453352	52	271.69844739271196
ratio_coastline_to_area	Non Sig	1	0.2961115	1	1.0916249498447286	46	107.59538541260797
Annual_precipitation_mean	Non Sig	1	0.089546	1	2.882516452763639	56	513.0669361279712
Temperature_seasonality_mean	Sig	1	0	1	290.8651440435423	53	271.7427913885365
EA033	Sig	1	0	1	71.61907273830556	51	200.0793746544064
Shoreline	Sig	1	0	1	112.33977675134814	49	115.92233786143849
Settlement_date_grouping_finer	Sig	1	0	1	38.247259064844144	48	77.67507879659435
NULL	NA	1	NA	NA	NA	57	515.9494525807348
