term	estimate	p.value	statistic	estimate_abs	sig
EA033	-3.815634	0	8.775397362924574	3.815634	Sig
Shoreline	26.6130153	2.5e-4	3.662799338269179	26.6130153	Sig
Shoreline:Settlement_date_grouping_finer	-16.207376	5.8e-4	3.4387455135881493	16.207376	Sig
Settlement_date_grouping_finer	23.7968513	0.019	2.3454460848594736	23.7968513	Sig
Isolation	2.0760656	0.03923	2.061772054971712	2.0760656	Sig
ratio_coastline_to_area	16.9516617	0.06125	1.8716777731444074	16.9516617	Non Sig
Precipitation_seasonality_mean	-5.5213919	0.06497	1.8454578040172522	5.5213919	Non Sig
Settlement_date_grouping_finer:Area_land	9.7925573	0.06658	1.834517893103894	9.7925573	Non Sig
Settlement_date_grouping_finer:ratio_coastline_to_area	-9.7174546	0.07276	1.7943167244220286	9.7174546	Non Sig
Area_land	-12.7290188	0.1317	1.5074403884867658	12.7290188	Non Sig
(Intercept)	-44.6949259	0.16996	1.3723185132785012	44.6949259	Non Sig
Annual_precipitation_mean:Precipitation_seasonality_mean	3.1515678	0.18408	1.3283050203440459	3.1515678	Non Sig
Latitude_abs_mean	-3.0226567	0.25014	1.1500044641928329	3.0226567	Non Sig
Annual_precipitation_mean	-1.2578402	0.6555	0.44613766009789363	1.2578402	Non Sig
Annual_temperature_mean:Temperature_seasonality_mean	1.6894599	0.78121	0.2777460305751017	1.6894599	Non Sig
Temperature_seasonality_mean	2.5280769	0.84069	0.20100941652751853	2.5280769	Non Sig
Annual_temperature_mean	1.0070398	0.94167	0.07316596794103088	1.0070398	Non Sig
